Source,Location ID,Jurisdiction,Latitude,Longitude,Time Zone,Local Time Zone,Distance to Shore,Directionality Coefficient,Energy Period,Maximum Energy Direction,Mean Absolute Period,Mean Wave Direction,Mean Zero-Crossing Period,Omni-Directional Wave Power,Peak Period,Significant Wave Height,Spectral Width,Water Depth,Version
DOE-WPTO US Wave dataset,572255,b'Oregon',44.6881,-124.136,0,-8,4500.5303,-,s,deg,s,deg,s,W/m,s,m,-,47,v1.0.0
Year,Month,Day,Hour,Minute,Significant Wave Height,Energy Period
2010,1,18,0,0,4.782569885253906,12.831700325012207
2010,1,18,3,0,5.8424601554870605,12.289999961853027
2010,1,18,6,0,6.791329860687256,12.035699844360352
2010,1,18,9,0,7.74213981628418,12.204299926757812
2010,1,18,12,0,6.962520122528076,13.428199768066406
2010,1,18,15,0,5.8460798263549805,13.890600204467773
2010,1,18,18,0,5.183509826660156,13.992500305175781
2010,1,18,21,0,4.76554012298584,13.946200370788574
2010,1,19,0,0,4.390699863433838,13.930500030517578
2010,1,19,3,0,4.096149921417236,14.002599716186523
2010,1,19,6,0,4.072919845581055,13.850799560546875
2010,1,19,9,0,5.811950206756592,10.782899856567383
2010,1,19,12,0,5.892340183258057,12.433699607849121
2010,1,19,15,0,5.399199962615967,13.314800262451172
2010,1,19,18,0,4.9526801109313965,13.1141996383667
2010,1,19,21,0,4.541609764099121,12.990900039672852
2010,1,20,0,0,4.616079807281494,11.871800422668457
2010,1,20,3,0,4.874879837036133,11.494400024414062
2010,1,20,6,0,4.986939907073975,12.144100189208984
2010,1,20,9,0,4.8384199142456055,13.206999778747559
2010,1,20,12,0,4.702829837799072,13.45930004119873
2010,1,20,15,0,4.515009880065918,13.463800430297852
2010,1,20,18,0,4.318900108337402,13.289799690246582
2010,1,20,21,0,4.132349967956543,13.103099822998047
2010,1,21,0,0,3.9412999153137207,12.945099830627441
2010,1,21,3,0,3.7385098934173584,12.79990005493164
2010,1,21,6,0,3.6589200496673584,12.576800346374512
2010,1,21,9,0,3.5979599952697754,12.366900444030762
2010,1,21,12,0,3.588789939880371,12.271599769592285
2010,1,21,15,0,3.9199299812316895,10.88759994506836
2010,1,21,18,0,4.757929801940918,9.93239974975586
2010,1,21,21,0,4.136990070343018,10.521400451660156
2010,1,22,0,0,3.6548399925231934,10.599599838256836
2010,1,22,3,0,3.2421200275421143,10.818699836730957
2010,1,22,6,0,2.9677200317382812,10.991700172424316
2010,1,22,9,0,2.7923600673675537,11.118900299072266
2010,1,22,12,0,2.7161600589752197,11.2701997756958
2010,1,22,15,0,2.741309881210327,11.55620002746582
2010,1,22,18,0,2.8653600215911865,12.187199592590332
2010,1,22,21,0,3.1453299522399902,13.066200256347656
2010,1,23,0,0,3.469099998474121,13.579299926757812
2010,1,23,3,0,3.619379997253418,13.670000076293945
2010,1,23,6,0,3.5864601135253906,13.482500076293945
2010,1,23,9,0,3.4437599182128906,13.143699645996094
2010,1,23,12,0,3.259860038757324,12.73009967803955
2010,1,23,15,0,3.1070799827575684,12.2608003616333
2010,1,23,18,0,2.9837300777435303,11.851200103759766
2010,1,23,21,0,2.856529951095581,11.526399612426758
2010,1,24,0,0,2.724669933319092,11.240300178527832
2010,1,24,3,0,2.6182401180267334,10.906200408935547
2010,1,24,6,0,2.5551300048828125,10.470199584960938
2010,1,24,9,0,2.480950117111206,10.150099754333496
2010,1,24,12,0,2.5641400814056396,9.241900444030762
2010,1,24,15,0,2.749880075454712,9.251899719238281
2010,1,24,18,0,3.4834399223327637,9.365599632263184
2010,1,24,21,0,4.23859977722168,10.96619987487793
2010,1,25,0,0,4.852729797363281,10.716400146484375
2010,1,25,3,0,4.870580196380615,10.871999740600586
2010,1,25,6,0,4.388800144195557,10.67300033569336
2010,1,25,9,0,4.002749919891357,10.917900085449219
2010,1,25,12,0,4.6390299797058105,12.828800201416016
2010,1,25,15,0,5.4939799308776855,14.047900199890137
2010,1,25,18,0,5.409019947052002,14.263199806213379
2010,1,25,21,0,5.039070129394531,14.029199600219727
2010,1,26,0,0,4.639999866485596,13.658900260925293
2010,1,26,3,0,4.260009765625,13.23069953918457
2010,1,26,6,0,3.940500020980835,12.821499824523926
2010,1,26,9,0,3.651819944381714,12.43809986114502
2010,1,26,12,0,3.4055099487304688,12.08080005645752
2010,1,26,15,0,3.202470064163208,11.761099815368652
2010,1,26,18,0,3.008359909057617,11.470399856567383
2010,1,26,21,0,2.8301401138305664,11.21969985961914
2010,1,27,0,0,2.665210008621216,11.000300407409668
2010,1,27,3,0,2.5206398963928223,10.806300163269043
2010,1,27,6,0,2.398250102996826,10.657400131225586
2010,1,27,9,0,2.2860898971557617,10.537199974060059
2010,1,27,12,0,2.1806299686431885,10.437199592590332
2010,1,27,15,0,2.087899923324585,10.371399879455566
2010,1,27,18,0,2.0146501064300537,10.35789966583252
2010,1,27,21,0,1.9609299898147583,10.393500328063965
2010,1,28,0,0,1.9164400100708008,10.416399955749512
2010,1,28,3,0,1.8578699827194214,10.342900276184082
2010,1,28,6,0,1.7708899974822998,10.199199676513672
2010,1,28,9,0,1.6876200437545776,10.21619987487793
2010,1,28,12,0,1.7162699699401855,10.719099998474121
2010,1,28,15,0,1.868209958076477,11.228300094604492
2010,1,28,18,0,2.082659959793091,11.347800254821777
2010,1,28,21,0,2.325129985809326,11.553999900817871
2010,1,29,0,0,2.5305099487304688,11.718400001525879
2010,1,29,3,0,2.7072699069976807,11.911299705505371
2010,1,29,6,0,2.9755499362945557,12.126199722290039
2010,1,29,9,0,3.387049913406372,12.262299537658691
2010,1,29,12,0,3.6951398849487305,12.482600212097168
2010,1,29,15,0,3.7744600772857666,12.621399879455566
2010,1,29,18,0,3.658590078353882,12.639800071716309
2010,1,29,21,0,3.4452199935913086,12.585599899291992
2010,1,30,0,0,3.2850799560546875,12.422300338745117
2010,1,30,3,0,3.158869981765747,12.241000175476074
2010,1,30,6,0,3.0486299991607666,12.11340045928955
2010,1,30,9,0,2.967050075531006,12.146300315856934
2010,1,30,12,0,2.943000078201294,12.270700454711914
2010,1,30,15,0,2.9610300064086914,12.418399810791016
2010,1,30,18,0,2.9624900817871094,12.468000411987305
2010,1,30,21,0,2.915070056915283,12.38230037689209
2010,1,31,0,0,2.827270030975342,12.207599639892578
2010,1,31,3,0,2.7169699668884277,11.986900329589844
2010,1,31,6,0,2.5904300212860107,11.726300239562988
2010,1,31,9,0,2.4579200744628906,11.439299583435059
2010,1,31,12,0,2.3169100284576416,11.132499694824219
2010,1,31,15,0,2.169379949569702,10.809200286865234
2010,1,31,18,0,2.0248100757598877,10.486499786376953
2010,1,31,21,0,1.8927700519561768,10.19540023803711
2010,2,1,0,0,1.7684500217437744,9.940400123596191
2010,2,1,3,0,1.6381399631500244,9.6697998046875
2010,2,1,6,0,1.505270004272461,9.316300392150879
2010,2,1,9,0,1.3839399814605713,8.876199722290039
2010,2,1,12,0,1.3558800220489502,8.443599700927734
2010,2,1,15,0,1.5307799577713013,8.334199905395508
2010,2,1,18,0,1.840459942817688,8.320500373840332
2010,2,1,21,0,2.040760040283203,8.627900123596191
2010,2,2,0,0,2.1613199710845947,8.517999649047852
2010,2,2,3,0,2.2124099731445312,8.800700187683105
2010,2,2,6,0,2.2518699169158936,9.444299697875977
2010,2,2,9,0,2.4492099285125732,10.741800308227539
2010,2,2,12,0,2.7477800846099854,11.617300033569336
2010,2,2,15,0,2.849669933319092,11.833800315856934
2010,2,2,18,0,2.765470027923584,11.667200088500977
2010,2,2,21,0,2.6364400386810303,11.352999687194824
2010,2,3,0,0,2.5058200359344482,11.001399993896484
2010,2,3,3,0,2.3649001121520996,10.68239974975586
2010,2,3,6,0,2.278320074081421,10.287099838256836
2010,2,3,9,0,2.211829900741577,9.908900260925293
2010,2,3,12,0,2.125999927520752,9.608200073242188
2010,2,3,15,0,2.074350118637085,9.239299774169922
2010,2,3,18,0,2.111069917678833,8.945799827575684
2010,2,3,21,0,2.2135300636291504,8.76550006866455
2010,2,4,0,0,2.349179983139038,8.662500381469727
2010,2,4,3,0,2.317150115966797,9.06470012664795
2010,2,4,6,0,2.2999799251556396,9.15999984741211
2010,2,4,9,0,2.2041800022125244,9.556300163269043
2010,2,4,12,0,2.117609977722168,9.7878999710083
2010,2,4,15,0,2.1023499965667725,9.737299919128418
2010,2,4,18,0,2.2034900188446045,9.603599548339844
2010,2,4,21,0,2.277470111846924,9.69320011138916
2010,2,5,0,0,2.4040400981903076,10.093700408935547
2010,2,5,3,0,3.4422800540924072,11.885600090026855
2010,2,5,6,0,3.90051007270813,12.265899658203125
2010,2,5,9,0,3.723180055618286,10.919400215148926
2010,2,5,12,0,3.3811399936676025,10.75469970703125
2010,2,5,15,0,3.3169798851013184,10.987799644470215
2010,2,5,18,0,3.266279935836792,10.881099700927734
2010,2,5,21,0,3.057460069656372,10.522299766540527
2010,2,6,0,0,2.8783299922943115,10.420900344848633
2010,2,6,3,0,2.7631499767303467,10.426600456237793
2010,2,6,6,0,2.8142499923706055,10.611300468444824
2010,2,6,9,0,3.12283992767334,11.068900108337402
2010,2,6,12,0,3.097939968109131,11.150199890136719
2010,2,6,15,0,3.008120059967041,11.385299682617188
2010,2,6,18,0,2.9466800689697266,11.782899856567383
2010,2,6,21,0,2.8701400756835938,12.235699653625488
2010,2,7,0,0,2.8160400390625,12.667699813842773
2010,2,7,3,0,2.8884599208831787,13.321999549865723
2010,2,7,6,0,2.9904699325561523,13.703300476074219
2010,2,7,9,0,3.0826098918914795,13.687199592590332
2010,2,7,12,0,3.2655200958251953,13.553000450134277
2010,2,7,15,0,3.4556798934936523,13.404600143432617
2010,2,7,18,0,3.4570600986480713,13.191399574279785
2010,2,7,21,0,3.285409927368164,12.837200164794922
2010,2,8,0,0,3.0558900833129883,12.392600059509277
2010,2,8,3,0,2.849139928817749,12.02750015258789
2010,2,8,6,0,2.664750099182129,11.765700340270996
2010,2,8,9,0,2.480870008468628,11.510899543762207
2010,2,8,12,0,2.314189910888672,11.242500305175781
2010,2,8,15,0,2.224030017852783,11.076199531555176
2010,2,8,18,0,2.2000598907470703,11.022100448608398
2010,2,8,21,0,2.175299882888794,10.938899993896484
2010,2,9,0,0,2.120569944381714,10.730899810791016
2010,2,9,3,0,2.035520076751709,10.479100227355957
2010,2,9,6,0,1.9520299434661865,10.297300338745117
2010,2,9,9,0,1.911829948425293,10.263400077819824
2010,2,9,12,0,1.9480600357055664,10.35770034790039
2010,2,9,15,0,2.034749984741211,10.381600379943848
2010,2,9,18,0,2.0962400436401367,10.287199974060059
2010,2,9,21,0,2.1009299755096436,10.226300239562988
2010,2,10,0,0,2.0873000621795654,10.24120044708252
2010,2,10,3,0,2.073590040206909,10.260299682617188
2010,2,10,6,0,2.0432701110839844,10.256600379943848
2010,2,10,9,0,1.9941999912261963,10.22819995880127
2010,2,10,12,0,1.9227800369262695,10.144499778747559
2010,2,10,15,0,1.8329600095748901,9.927200317382812
2010,2,10,18,0,1.9005099534988403,8.518899917602539
2010,2,10,21,0,2.2852001190185547,7.1230998039245605
2010,2,11,0,0,3.303420066833496,7.951900005340576
2010,2,11,3,0,3.7485098838806152,8.924500465393066
2010,2,11,6,0,3.64247989654541,9.437800407409668
2010,2,11,9,0,3.4595301151275635,9.480199813842773
2010,2,11,12,0,3.4849300384521484,9.181599617004395
2010,2,11,15,0,3.2883999347686768,9.42490005493164
2010,2,11,18,0,3.251159906387329,9.628299713134766
2010,2,11,21,0,3.5661799907684326,10.14229965209961
2010,2,12,0,0,4.35699987411499,10.087599754333496
2010,2,12,3,0,5.577089786529541,11.292699813842773
2010,2,12,6,0,5.1426100730896,11.996800422668457
2010,2,12,9,0,4.610459804534912,12.883299827575684
2010,2,12,12,0,4.432429790496826,13.302300453186035
2010,2,12,15,0,4.828479766845703,12.015399932861328
2010,2,12,18,0,5.846720218658447,11.10420036315918
2010,2,12,21,0,5.6696600914001465,11.539299964904785
2010,2,13,0,0,5.2754597663879395,11.619500160217285
2010,2,13,3,0,4.814889907836914,12.339900016784668
2010,2,13,6,0,4.886189937591553,13.51550006866455
2010,2,13,9,0,5.333740234375,14.785400390625
2010,2,13,12,0,5.503049850463867,15.207900047302246
2010,2,13,15,0,5.21353006362915,14.978500366210938
2010,2,13,18,0,4.827290058135986,14.09850025177002
2010,2,13,21,0,4.653480052947998,13.00100040435791
2010,2,14,0,0,4.604790210723877,12.576800346374512
2010,2,14,3,0,4.664949893951416,12.498600006103516
2010,2,14,6,0,5.1005401611328125,13.152400016784668
2010,2,14,9,0,5.624410152435303,14.590999603271484
2010,2,14,12,0,5.658880233764648,15.118399620056152
2010,2,14,15,0,5.351830005645752,14.949000358581543
2010,2,14,18,0,5.028779983520508,14.652199745178223
2010,2,14,21,0,4.813169956207275,14.414999961853027
2010,2,15,0,0,4.634210109710693,14.227100372314453
2010,2,15,3,0,4.4527997970581055,14.011500358581543
2010,2,15,6,0,4.280330181121826,13.791799545288086
2010,2,15,9,0,4.097020149230957,13.57349967956543
2010,2,15,12,0,3.9103400707244873,13.365300178527832
2010,2,15,15,0,3.715780019760132,13.152999877929688
2010,2,15,18,0,3.510319948196411,12.917499542236328
2010,2,15,21,0,3.276940107345581,12.655200004577637
2010,2,16,0,0,2.9917900562286377,12.322999954223633
2010,2,16,3,0,2.8912899494171143,11.066100120544434
2010,2,16,6,0,3.1261699199676514,9.925299644470215
2010,2,16,9,0,3.0303399562835693,10.110799789428711
