Manufacturer,Model,Technology,Message,Parameters,Nser
Seraphim Energy Group Inc.,SEG-6PB-255BW,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=30.5 isc=8.65 imp=8.37 beta_voc=-0.141 voc=37.6 alpha_isc=0.00519 gamma_pmp=-0.46 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6PB-255WB,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=30.5 isc=8.65 imp=8.37 beta_voc=-0.0986248 voc=37.6 alpha_isc=0.00369355 gamma_pmp=-0.4573 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6PB-255WW,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=30.5 isc=8.65 imp=8.37 beta_voc=-0.0986248 voc=37.6 alpha_isc=0.00369355 gamma_pmp=-0.4573 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6MB-260WB,Mono-c-Si,"""could not solve, check inputs""",{ celltype=mono vmp=30.2 isc=8.88 imp=8.61 beta_voc=-0.0926592 voc=38.1 alpha_isc=0.00312576 gamma_pmp=-0.4578 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6MB-260WW,Mono-c-Si,"""could not solve, check inputs""",{ celltype=mono vmp=30.2 isc=8.88 imp=8.61 beta_voc=-0.0926592 voc=38.1 alpha_isc=0.00312576 gamma_pmp=-0.4578 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6PB-260BB,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=30.9 isc=8.72 imp=8.42 beta_voc=-0.1425 voc=38 alpha_isc=0.005232 gamma_pmp=-0.46 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6PB-260BW,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=30.9 isc=8.72 imp=8.42 beta_voc=-0.1425 voc=38 alpha_isc=0.005232 gamma_pmp=-0.46 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6PB-260WB,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=30.9 isc=8.72 imp=8.42 beta_voc=-0.099674 voc=38 alpha_isc=0.00372344 gamma_pmp=-0.4573 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6PB-260WW,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=30.9 isc=8.72 imp=8.42 beta_voc=-0.099674 voc=38 alpha_isc=0.00372344 gamma_pmp=-0.4573 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6MB-265WB,Mono-c-Si,"""could not solve, check inputs""",{ celltype=mono vmp=30.5 isc=8.96 imp=8.69 beta_voc=-0.0931456 voc=38.3 alpha_isc=0.00315392 gamma_pmp=-0.4578 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6MB-265WW,Mono-c-Si,"""could not solve, check inputs""",{ celltype=mono vmp=30.5 isc=8.96 imp=8.69 beta_voc=-0.0931456 voc=38.3 alpha_isc=0.00315392 gamma_pmp=-0.4578 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6PB-265BB,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=31.1 isc=8.83 imp=8.53 beta_voc=-0.143625 voc=38.3 alpha_isc=0.005298 gamma_pmp=-0.46 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6PB-265BW,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=31.1 isc=8.83 imp=8.53 beta_voc=-0.143625 voc=38.3 alpha_isc=0.005298 gamma_pmp=-0.46 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6MB-270WB,Mono-c-Si,"""could not solve, check inputs""",{ celltype=mono vmp=30.8 isc=9.04 imp=8.77 beta_voc=-0.093632 voc=38.5 alpha_isc=0.00318208 gamma_pmp=-0.4578 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6MB-270WW,Mono-c-Si,"""could not solve, check inputs""",{ celltype=mono vmp=30.8 isc=9.04 imp=8.77 beta_voc=-0.093632 voc=38.5 alpha_isc=0.00318208 gamma_pmp=-0.4578 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6PB-270BB,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=31.3 isc=8.94 imp=8.63 beta_voc=-0.144375 voc=38.5 alpha_isc=0.005364 gamma_pmp=-0.46 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6PB-270BW,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=31.3 isc=8.94 imp=8.63 beta_voc=-0.144375 voc=38.5 alpha_isc=0.005364 gamma_pmp=-0.46 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6PB-270WB,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=31.3 isc=8.94 imp=8.63 beta_voc=-0.100985 voc=38.5 alpha_isc=0.00381738 gamma_pmp=-0.4573 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6PB-270WW,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=31.3 isc=8.94 imp=8.63 beta_voc=-0.100985 voc=38.5 alpha_isc=0.00381738 gamma_pmp=-0.4573 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6MB-275WB,Mono-c-Si,"""could not solve, check inputs""",{ celltype=mono vmp=31.1 isc=9.12 imp=8.85 beta_voc=-0.0941184 voc=38.7 alpha_isc=0.00321024 gamma_pmp=-0.4578 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6MB-275WW,Mono-c-Si,"""could not solve, check inputs""",{ celltype=mono vmp=31.1 isc=9.12 imp=8.85 beta_voc=-0.0941184 voc=38.7 alpha_isc=0.00321024 gamma_pmp=-0.4578 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6PB-275BB,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=31.6 isc=9.02 imp=8.71 beta_voc=-0.1455 voc=38.8 alpha_isc=0.005412 gamma_pmp=-0.46 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6PB-275BW,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=31.6 isc=9.02 imp=8.71 beta_voc=-0.1455 voc=38.8 alpha_isc=0.005412 gamma_pmp=-0.46 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6PB-275WB,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=31.6 isc=9.02 imp=8.71 beta_voc=-0.101772 voc=38.8 alpha_isc=0.00385154 gamma_pmp=-0.4573 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6PB-275WW,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=31.6 isc=9.02 imp=8.71 beta_voc=-0.101772 voc=38.8 alpha_isc=0.00385154 gamma_pmp=-0.4573 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6MB-280BW,Mono-c-Si,"""could not solve, check inputs""",{ celltype=mono vmp=31.3 isc=9.22 imp=8.95 beta_voc=-0.145097 voc=38.9 alpha_isc=0.0053476 gamma_pmp=-0.457 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6MB-280WB,Mono-c-Si,"""could not solve, check inputs""",{ celltype=mono vmp=31.3 isc=9.22 imp=8.95 beta_voc=-0.0946048 voc=38.9 alpha_isc=0.00324544 gamma_pmp=-0.4578 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6MB-280WW,Mono-c-Si,"""could not solve, check inputs""",{ celltype=mono vmp=31.3 isc=9.22 imp=8.95 beta_voc=-0.0946048 voc=38.9 alpha_isc=0.00324544 gamma_pmp=-0.4578 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6MB-285BW,Mono-c-Si,"""could not solve, check inputs""",{ celltype=mono vmp=31.5 isc=9.33 imp=9.05 beta_voc=-0.145843 voc=39.1 alpha_isc=0.0054114 gamma_pmp=-0.457 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6MB-285WB,Mono-c-Si,"""could not solve, check inputs""",{ celltype=mono vmp=31.5 isc=9.33 imp=9.05 beta_voc=-0.0950912 voc=39.1 alpha_isc=0.00328416 gamma_pmp=-0.4578 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6MB-285WW,Mono-c-Si,"""could not solve, check inputs""",{ celltype=mono vmp=31.5 isc=9.33 imp=9.05 beta_voc=-0.0950912 voc=39.1 alpha_isc=0.00328416 gamma_pmp=-0.4578 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6MB-290BW,Mono-c-Si,"""could not solve, check inputs""",{ celltype=mono vmp=31.7 isc=9.44 imp=9.15 beta_voc=-0.146589 voc=39.3 alpha_isc=0.0054752 gamma_pmp=-0.457 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6PA-290WB,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=35.8 isc=8.65 imp=8.11 beta_voc=-0.137419 voc=44.3 alpha_isc=0.0041174 gamma_pmp=-0.4522 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6PA-290WW,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=35.8 isc=8.65 imp=8.11 beta_voc=-0.137419 voc=44.3 alpha_isc=0.0041174 gamma_pmp=-0.4522 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6MB-295BW,Mono-c-Si,"""could not solve, check inputs""",{ celltype=mono vmp=31.9 isc=9.56 imp=9.25 beta_voc=-0.147335 voc=39.5 alpha_isc=0.0055448 gamma_pmp=-0.457 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6PA-295WB,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=35.9 isc=8.78 imp=8.22 beta_voc=-0.137729 voc=44.4 alpha_isc=0.00417928 gamma_pmp=-0.4522 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6PA-295WW,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=35.9 isc=8.78 imp=8.22 beta_voc=-0.137729 voc=44.4 alpha_isc=0.00417928 gamma_pmp=-0.4522 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6MB-300BW,Mono-c-Si,"""could not solve, check inputs""",{ celltype=mono vmp=32.1 isc=9.65 imp=9.35 beta_voc=-0.148081 voc=39.7 alpha_isc=0.005597 gamma_pmp=-0.457 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6PA-300WB,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=35.8 isc=8.68 imp=8.38 beta_voc=-0.138659 voc=44.7 alpha_isc=0.00413168 gamma_pmp=-0.4522 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6PA-300WW,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=35.8 isc=8.68 imp=8.38 beta_voc=-0.138659 voc=44.7 alpha_isc=0.00413168 gamma_pmp=-0.4522 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6PA-305BB,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=36.2 isc=8.73 imp=8.43 beta_voc=-0.1593 voc=45 alpha_isc=0.0050634 gamma_pmp=-0.438 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6PA-305BW,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=36.2 isc=8.73 imp=8.43 beta_voc=-0.1593 voc=45 alpha_isc=0.0050634 gamma_pmp=-0.438 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6PA-305WB,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=36.2 isc=8.73 imp=8.43 beta_voc=-0.13959 voc=45 alpha_isc=0.00415548 gamma_pmp=-0.4522 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6PA-305WW,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=36.2 isc=8.73 imp=8.43 beta_voc=-0.13959 voc=45 alpha_isc=0.00415548 gamma_pmp=-0.4522 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6MA-310WB,Mono-c-Si,"""could not solve, check inputs""",{ celltype=mono vmp=36.4 isc=8.81 imp=8.52 beta_voc=-0.12882 voc=45.2 alpha_isc=0.00414951 gamma_pmp=-0.4533 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6MA-310WW,Mono-c-Si,"""could not solve, check inputs""",{ celltype=mono vmp=36.4 isc=8.81 imp=8.52 beta_voc=-0.12882 voc=45.2 alpha_isc=0.00414951 gamma_pmp=-0.4533 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6PA-310BB,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=36.5 isc=8.8 imp=8.5 beta_voc=-0.160008 voc=45.2 alpha_isc=0.005104 gamma_pmp=-0.438 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6PA-310BW,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=36.5 isc=8.8 imp=8.5 beta_voc=-0.160008 voc=45.2 alpha_isc=0.005104 gamma_pmp=-0.438 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6PA-310WB,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=36.5 isc=8.8 imp=8.5 beta_voc=-0.14021 voc=45.2 alpha_isc=0.0041888 gamma_pmp=-0.4522 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6PA-310WW,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=36.5 isc=8.8 imp=8.5 beta_voc=-0.14021 voc=45.2 alpha_isc=0.0041888 gamma_pmp=-0.4522 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6MA-315WB,Mono-c-Si,"""could not solve, check inputs""",{ celltype=mono vmp=36.7 isc=8.87 imp=8.59 beta_voc=-0.129675 voc=45.5 alpha_isc=0.00417777 gamma_pmp=-0.4533 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6MA-315WW,Mono-c-Si,"""could not solve, check inputs""",{ celltype=mono vmp=36.7 isc=8.87 imp=8.59 beta_voc=-0.129675 voc=45.5 alpha_isc=0.00417777 gamma_pmp=-0.4533 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6PA-315BB,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=36.8 isc=8.87 imp=8.56 beta_voc=-0.160362 voc=45.3 alpha_isc=0.0051446 gamma_pmp=-0.438 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6PA-315BW,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=36.8 isc=8.87 imp=8.56 beta_voc=-0.160362 voc=45.3 alpha_isc=0.0051446 gamma_pmp=-0.438 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6PA-315WB,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=36.8 isc=8.87 imp=8.56 beta_voc=-0.140521 voc=45.3 alpha_isc=0.00422212 gamma_pmp=-0.4522 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6PA-315WW,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=36.8 isc=8.87 imp=8.56 beta_voc=-0.140521 voc=45.3 alpha_isc=0.00422212 gamma_pmp=-0.4522 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6MA-320WB,Mono-c-Si,"""could not solve, check inputs""",{ celltype=mono vmp=36.9 isc=8.99 imp=8.68 beta_voc=-0.12996 voc=45.6 alpha_isc=0.00423429 gamma_pmp=-0.4533 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6MA-320WW,Mono-c-Si,"""could not solve, check inputs""",{ celltype=mono vmp=36.9 isc=8.99 imp=8.68 beta_voc=-0.12996 voc=45.6 alpha_isc=0.00423429 gamma_pmp=-0.4533 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6PA-320BB,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=37 isc=8.96 imp=8.65 beta_voc=-0.16107 voc=45.5 alpha_isc=0.0051968 gamma_pmp=-0.438 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6PA-320BW,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=37 isc=8.96 imp=8.65 beta_voc=-0.16107 voc=45.5 alpha_isc=0.0051968 gamma_pmp=-0.438 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6PA-320WB,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=37 isc=8.96 imp=8.65 beta_voc=-0.141141 voc=45.5 alpha_isc=0.00426496 gamma_pmp=-0.4522 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6MA-325WB,Mono-c-Si,"""could not solve, check inputs""",{ celltype=mono vmp=37.1 isc=9.04 imp=8.77 beta_voc=-0.130815 voc=45.9 alpha_isc=0.00425784 gamma_pmp=-0.4533 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6MA-325WW,Mono-c-Si,"""could not solve, check inputs""",{ celltype=mono vmp=37.1 isc=9.04 imp=8.77 beta_voc=-0.130815 voc=45.9 alpha_isc=0.00425784 gamma_pmp=-0.4533 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6PA-325BB,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=37.3 isc=9.03 imp=8.72 beta_voc=-0.161778 voc=45.7 alpha_isc=0.0052374 gamma_pmp=-0.438 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6PA-325BW,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=37.3 isc=9.03 imp=8.72 beta_voc=-0.161778 voc=45.7 alpha_isc=0.0052374 gamma_pmp=-0.438 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6PA-325WB,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=37.3 isc=9.03 imp=8.72 beta_voc=-0.141761 voc=45.7 alpha_isc=0.00429828 gamma_pmp=-0.4522 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6PA-325WW,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=37.3 isc=9.03 imp=8.72 beta_voc=-0.141761 voc=45.7 alpha_isc=0.00429828 gamma_pmp=-0.4522 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6MA-330WB,Mono-c-Si,"""could not solve, check inputs""",{ celltype=mono vmp=37.3 isc=9.14 imp=8.85 beta_voc=-0.131385 voc=46.1 alpha_isc=0.00430494 gamma_pmp=-0.4533 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6MA-330WW,Mono-c-Si,"""could not solve, check inputs""",{ celltype=mono vmp=37.3 isc=9.14 imp=8.85 beta_voc=-0.131385 voc=46.1 alpha_isc=0.00430494 gamma_pmp=-0.4533 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6PA-330BB,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=37.5 isc=9.12 imp=8.8 beta_voc=-0.162486 voc=45.9 alpha_isc=0.0052896 gamma_pmp=-0.438 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6PA-330BW,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=37.5 isc=9.12 imp=8.8 beta_voc=-0.162486 voc=45.9 alpha_isc=0.0052896 gamma_pmp=-0.438 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6PA-330WB,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=37.5 isc=9.12 imp=8.8 beta_voc=-0.142382 voc=45.9 alpha_isc=0.00434112 gamma_pmp=-0.4522 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6PA-330WW,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=37.5 isc=9.12 imp=8.8 beta_voc=-0.142382 voc=45.9 alpha_isc=0.00434112 gamma_pmp=-0.4522 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6MA-335BB,Mono-c-Si,"""could not solve, check inputs""",{ celltype=mono vmp=37.5 isc=9.23 imp=8.94 beta_voc=-0.164256 voc=46.4 alpha_isc=0.0056303 gamma_pmp=-0.447 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6MA-335BW,Mono-c-Si,"""could not solve, check inputs""",{ celltype=mono vmp=37.5 isc=9.23 imp=8.94 beta_voc=-0.164256 voc=46.4 alpha_isc=0.0056303 gamma_pmp=-0.447 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6MA-335WB,Mono-c-Si,"""could not solve, check inputs""",{ celltype=mono vmp=37.5 isc=9.23 imp=8.94 beta_voc=-0.13224 voc=46.4 alpha_isc=0.00434733 gamma_pmp=-0.4533 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6PA-335BB,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=37.7 isc=9.2 imp=8.89 beta_voc=-0.163548 voc=46.2 alpha_isc=0.005336 gamma_pmp=-0.438 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6PA-335BW,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=37.7 isc=9.2 imp=8.89 beta_voc=-0.163548 voc=46.2 alpha_isc=0.005336 gamma_pmp=-0.438 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6MA-340BB,Mono-c-Si,"""could not solve, check inputs""",{ celltype=mono vmp=37.7 isc=9.32 imp=9.02 beta_voc=-0.164964 voc=46.6 alpha_isc=0.0056852 gamma_pmp=-0.447 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6MA-340BW,Mono-c-Si,"""could not solve, check inputs""",{ celltype=mono vmp=37.7 isc=9.32 imp=9.02 beta_voc=-0.164964 voc=46.6 alpha_isc=0.0056852 gamma_pmp=-0.447 n_ser=1 t_ref=25 },1
