name,lat,lon
"Greenwood, SC",34.17,-82.12
"Griffin, GA",33.22,-84.27
"Hagerstown, MD",39.7,-77.73
"Hamilton AFB, CA",38.07,-122.5
"Hamilton, OH",39.4,-84.58
"Hannibal, MO",39.7,-91.35
"Harlingen, TX",26.23,-97.65
"Harrisburg, PA",40.27,-76.89
"Harrisonburg, VA",38.45,-78.9
"Hartford, CT",41.77,-72.67
"Hastings, NE",40.6,-98.43
"Hattiesburg, MS",31.27,-89.25
"Havre, MT",48.57,-109.67
"Helena, MT",46.59,-112.04
"Henderson, NC",36.37,-78.42
"Hickory, NC",35.75,-81.38
"Hilo Airport - South, HI",19.72,-155.08
"Hobart, IN",41.53,-87.25
"Hobbs Airport, NM",32.75,-103.22
"Holland, MI",42.7,-86.1
"Holloman AFB, NM",32.85,-106.1
"Honolulu, HI",21.31,-157.86
"Hopkinsville, Ft Campbell, KY",36.67,-87.48
"Hornell, NY",42.35,-77.7
"Hot Springs, AR",34.48,-93.1
"Houma, LA",29.52,-90.67
"Houston Airport, TX",29.97,-95.35
"Houston, TX",29.98,-95.37
"Huntington, IN",40.88,-85.5
"Huntington, WV",38.42,-82.5
"Huntsville Airport, AL",34.7,-86.58
"Huntsville, TX",30.72,-95.55
"Huron Airport, SD",44.38,-98.22
"Hutchinson Airport, KS",38.07,-97.87
"Idaho Falls Airport, ID",43.52,-112.07
"Indianapolis, IN",39.77,-86.16
"International Falls Airport, MN",48.57,-93.38
"Iowa City, IA",41.63,-91.55
"Ithaca - South, NY",42.45,-76.48
"Jackson Airport, MI",42.27,-84.47
"Jackson, MS",32.3,-90.18
"Jackson Airport, TN",35.6,-88.92
"Jacksonville Airport, FL",30.5,-81.7
"Jacksonville, NC",34.83,-77.62
"Jamestown Airport, ND",46.92,-98.68
"Jamestown, NY",42.12,-79.23
"Jefferson City, MO",38.57,-92.18
"Jeffersonville, IN",38.28,-85.75
"Johnstown, PA",40.32,-78.83
"Joliet, IL",41.52,-88.17
"Jonesboro, AR",35.83,-90.7
"Joplin Airport, MO",37.15,-94.5
"Juneau , AK",58.3,-134.42
"Kalamazoo, MI",42.28,-85.6
"Kalispell Airport, MT",48.3,-114.27
"Kaneohe Bay MCAS, HI",21.45,-157.77
"Kankakee, IL",41.08,-87.92
"Kansas City Airport, MO",39.12,-94.58
"Kearney, NE",40.73,-99.02
"Keene, NH",42.92,-72.28
"Kennewick, WA",46.22,-119.13
"Keokuk, IA",40.4,-91.4
"Key West Airport, FL",24.55,-81.75
"Killeen, Robert Gray AAF, TX",31.08,-97.68
"Kingman Airport, AZ",35.2,-114.02
"Kingston, NY",41.93,-74
"Kirksville Airport, MO",40.1,-92.55
"Klamath Falls Airport, OR",42.15,-121.73
"Knoxville Airport, TN",35.82,-83.98
"Kodiak, AK",57.75,-152.48
"Kokomo, IN",40.42,-86.05
"La Crosse Airport, WI",43.87,-91.25
"La Porte, IN",41.6,-86.72
"La Salle-Peru, IL",41.32,-89.1
"Laconia, NH",43.05,-71.05
"Lafayette Airport, LA",30.2,-92
"Lafayette, IN",40.03,-86.08
"LaGrange, GA",33.02,-85.07
"Laguna Beach, CA",33.55,-117.78
"Lajunta Airport, CO",38.05,-103.5
"Lake Charles Airport - South, LA",30.12,-93.22
"Lakeland - South, FL",28.03,-81.95
"Lamesa, TX",32.7,-101.93
"Lancaster, OH",39.73,-82.63
"Lancaster, PA",40.12,-76.3
"Lander Airport - South, WY",42.82,-108.73
"Lansing, MI",42.73,-84.56
"Laramie Airport - South, WY",41.32,-105.68
"Laredo AFB, TX",27.53,-99.45
"Las Cruces, NM",32.3,-106.92
"Las Vegas Airport - South, NV",36.08,-115.17
"Laurel, MS",31.67,-89.17
"Lawrence, MA",42.7,-71.17
"Lawton Airport, OK",34.57,-98.42
"Leadville, CO",39.25,-106.3
"Lewiston Airport, ID",46.38,-117.02
"Lewiston Airport, MT",47.07,-109.45
"Lewiston, ME",44.03,-70.25
"Lexington Airport - South, KY",38.03,-84.6
"Liberal, KS",37.05,-100.97
"Lima, OH",40.7,-84.03
"Lincoln, NE",40.81,-96.7
"Little Rock, AR",34.75,-92.29
"Livermore, CA",37.7,-121.95
"Livingstown Airport, MT",45.7,-110.43
"Lockport, NY",43.15,-79.25
"Logan, UT",41.75,-111.82
"Lompoc, Vandenberg AFB, CA",34.72,-120.57
"Long Beach Airport, CA",33.82,-118.15
"Long Branch, NJ",40.32,-74.02
"Longview, TX",32.47,-94.73
"Longview, WA",46.17,-122.93
"Los Alamos, NM",35.87,-106.32
"Los Angeles - South, CA",34.05,-118.23
"Los Angeles Airport - South, CA",33.93,-118.4
"Louisville Airport, KY",38.18,-85.73
"Lovelock Airport, NV",40.07,-118.55
"Lowell, MA",42.65,-71.32
"Lubbock Airport, TX",33.65,-101.82
"Lufkin Airport, TX",31.42,-94.8
"Lumberton, NC",34.62,-79.07
"Lynchburg Airport, VA",37.33,-79.2
"Macomb, IL",40.47,-90.67
"Macon Airport, GA",32.7,-83.65
"Madison, WI",43.07,-89.38
"Madisonville, KY",37.32,-87.48
"Manchester, Grenier AFB, NH",42.93,-71.43
"Manhattan, Ft Riley - South, KS",39.05,-96.77
"Manitowoc, WI",44.1,-87.68
"Mankato, MN",44.15,-93.98
"Mansfield Airport, OH",40.82,-82.52
"Marietta, Dobbins AFB, GA",33.92,-84.52
"Marinette, WI",45.1,-87.63
"Marion, IN",40.48,-85.68
"Marion, OH",40.6,-83.17
"Marquette, MI",46.57,-87.4
"Marshalltown, IA",42.07,-92.93
"Martinsburg Airport, WV",39.4,-77.98
"Mason City Airport, IA",43.15,-93.33
"Massena Airport, NY",44.93,-74.85
"McAlester, OK",34.83,-95.92
"Mcallen, TX",26.2,-98.22
"Mccomb Airport, MS",31.25,-90.47
"McCook, NE",40.2,-100.63
"Meadville, PA",41.63,-80.17
"Medford Airport - South, OR",42.37,-122.87
"Memphis Airport, TN",35.05,-90
"Merced-Castle AFB, CA",37.38,-120.57
"Meridian Airport, MS",32.33,-88.75
"Mexico, MO",39.18,-91.9
"Miami Airport - South, FL",25.8,-80.27
"Miami Beach, FL",25.78,-80.28
"Middletown, OH",39.52,-84.42
"Midland Airport - South, TX",31.95,-102.18
"Miles City Airport, MT",46.43,-105.87
"Millinocket Airport, ME",45.65,-68.7
"Milwaukee Airport, WI",42.95,-87.9
"Minden, LA",32.6,-93.3
"Mineral Wells Airport, TX",32.78,-98.07
"Minneapolis-St Paul Airport, MN",44.88,-93.22
"Minot Airport, ND",48.42,-101.35
"Missoula Airport, MT",46.92,-114.08
"Mitchell, SD",43.68,-98.02
"Moab, UT",38.6,-109.6
"Moberly, MO",39.4,-92.43
"Mobile Airport, AL",30.68,-88.25
"Mobile, AL",30.67,-88.25
"Modesto, CA",37.65,-121
"Moline Airport, IL",41.45,-90.52
"Monroe Airport, LA",32.52,-92.03
"Monterey, CA",36.6,-121.9
"Montgomery, AL",32.38,-86.3
"Montpelier, VT",44.26,-72.58
"Morgantown Airport, WV",39.65,-79.92
"Moscow, ID",46.73,-116.97
"Moses Lake, Larson AFB, WA",47.2,-119.32
"Mountain Home AFB, ID",43.03,-115.9
"Mt Pleasant, MI",43.58,-84.77
"Mt Vernon, IL",38.32,-88.87
"Muncie, IN",40.18,-85.35
"Murfreesboro, TN",34.92,-86.47
"Muskegon Airport, MI",43.17,-86.23
"Muskogee Airport, OK",35.67,-95.37
"Napa, CA",38.22,-122.28
"Nashville, TN",36.17,-86.78
"Natchez, MS",31.55,-91.38
"Natchitoches, LA",31.77,-93.08
"Needles Airport, CA",34.6,-114.62
"New Bedford, MA",41.68,-70.97
"New Bern Airport, NC",35.08,-77.05
"New Brunswick, NJ",40.48,-74.43
"New Castle, PA",41.02,-80.37
"New Haven Airport, CT",41.32,-73.92
"New London, CT",41.35,-72.1
"New Orleans Airport, LA",29.98,-90.25
"Newark Airport, NJ",40.7,-74.17
"Newark, OH",40.02,-82.47
"Newburgh, Stewart AFB, NY",41.5,-74.1
"Newcastle, WY",43.85,-104.22
"Newport - South, RI",41.5,-71.33
"Newton, IA",41.68,-93.03
"Niagara Falls Airport, NY",43.1,-79.95
"Nogales, AZ",31.35,-110.92
"Norfolk Airport, VA",36.9,-76.2
"Norfolk, NE",41.98,-97.43
"Norman, OK",35.25,-97.48
"North Platte Airport - South, NE",41.13,-100.68
"Norwalk, CT",41.12,-73.42
"Norwalk, OH",41.27,-82.62
"Norwick, CT",41.53,-72.07
"NYC-Central Park - South, NY",40.78,-73.97
"NYC-Kennedy Airport, NY",40.65,-73.78
"NYC-La Guardia Airport, NY",40.77,-73.9
"Oakland Airport, CA",37.82,-122.32
"Ocala, FL",29.18,-82.13
"Oceanside, CA",33.23,-117.42
"Ogden Airport, UT",41.2,-112.02
"Oklahoma City, OK",35.49,-97.5
"Olean, NY",42.23,-78.37
"Olympia Airport, WA",46.97,-122.9
"Omaha Airport, NE",41.3,-95.9
"Oneonta, NY",42.52,-75.07
"Ontario, CA",34.05,-117.6
"Orangeburg, SC",33.5,-80.87
"Orlando Airport, FL",28.55,-81.38
"Oswego, NY",43.47,-76.55
"Ottumwa Airport, IA",41.1,-92.45
"Owensboro, KY",37.75,-87.17
"Oxnard, CA",34.2,-119.18
"Paducah Airport, KY",37.07,-88.77
"Palestine, TX",31.78,-95.63
"Palm Springs, CA",33.82,-116.53
"Palmdale Airport, CA",34.63,-118.1
"Pampa, TX",35.53,-100.98
"Panama City, Tyndall AFB, FL",30.07,-85.58
"Parkersburg, WV",39.27,-81.57
"Parsons, KS",37.33,-95.52
"Pasadena, CA",34.15,-118.15
"Paterson, NJ",40.9,-74.15
"Pecos, TX",31.42,-103.5
"Pendleton Airport, OR",45.68,-118.85
"Pensacola, FL",30.42,-87.22
"Peoria Airport, IL",40.67,-89.68
"Peru, Grissom AFB, IN",40.65,-86.15
"Petaluma, CA",38.23,-122.63
"Petersburg, VA",37.18,-77.52
"Philadelphia Airport, PA",39.88,-75.25
"Phillipsburg, NJ",40.68,-75.18
"Phoenix, AZ",33.45,-112.1
"Pierre, SD",44.37,-100.35
"Pine Bluff Airport, AR",34.3,-92.08
"Pittsburgh Airport, PA",40.5,-80.22
"Pittsburgh, PA",40.45,-80
"Pittsfield Airport, MA",42.43,-73.3
"Plainview, TX",34.18,-101.7
"Plattsburg AFB, NY",44.65,-73.47
"Pocatello Airport, ID",42.92,-112.6
"Pomona, CA",34.05,-117.75
"Ponca City, OK",36.73,-97.1
"Pontiac, MI",42.67,-83.42
"Poplar Bluff, MO",36.77,-90.42
"Port Angeles, WA",48.12,-123.43
"Port Arthur Airport, TX",29.95,-94.02
"Port Huron, MI",42.98,-82.42
"Portland - South, ME",43.65,-70.32
"Portland Airport, OR",45.6,-122.6
"Portland, OR",45.53,-122.67
"Portsmouth, OH",38.75,-82.92
"Portsmouth, Pease AFB, NH",43.07,-70.82
"Poughkeepsie, NY",41.63,-73.92
"Prescott Airport, AZ",34.65,-112.43
"Price, UT",39.62,-110.83
"Providence, RI",41.83,-71.41
"Provo, UT",40.22,-111.72
"Pueblo Airport, CO",38.3,-104.48
"Quincy Airport, IL",39.95,-91.2
"Racine, WI",42.72,-87.85
"Raleigh, NC",35.78,-78.64
"Rantoul, Chanute AFB, IL",40.3,-88.13
"Rapid City Airport - South, SD",44.05,-103.07
"Raton Airport, NM",36.75,-104.5
"Rawlins, WY",41.8,-107.2
"Reading, PA",40.33,-75.63
"Redding Airport, CA",40.52,-122.3
"Redlands, CA",34.05,-117.18
"Reno Airport - South, NV",39.5,-119.78
"Reno, NV",39.5,-119.78
"Richfield, UT",38.77,-112.08
"Richmond Airport, IN",39.77,-84.83
"Richmond, VA",37.54,-77.43
"Richmond, CA",37.93,-122.35
"Riverside-March AFB - South, CA",33.9,-117.25
"Roanoke Airport, VA",37.32,-79.97
"Rochester Airport, MN",43.92,-92.5
"Rochester Airport, NY",43.12,-77.67
"Rock Hill, SC",34.98,-80.97
"Rock Springs Airport, WY",41.6,-109
"Rockford, IL",42.35,-89.05
"Rocky Mount, NC",35.97,-77.8
"Rolla, MO",37.98,-91.72
"Rome, Griffiss AFB, NY",43.23,-75.42
"Roseburg Airport, OR",43.23,-123.37
"Roswell, Walker AFB, NM",33.3,-104.53
"Russell Airport, KS",38.87,-98.82
"Rutland, VT",43.6,-72.97
"Sacramento, CA",38.58,-121.49
"Saginaw Airport, MI",43.53,-84.08
"Salem, OR",44.94,-123.03
"Salina, KS",38.8,-97.65
"Salinas Airport, CA",36.67,-121.6
"Salisbury - South, MD",38.33,-75.5
"Salt Lake City, UT",40.78,-111.89
"San Antonio Airport - South, TX",29.53,-98.47
"San Bernadino, Norton AFB, CA",34.13,-117.27
"San Diego Airport, CA",32.73,-117.17
"San Fernando, CA",34.28,-118.47
"San Francisco Airport, CA",37.62,-122.38
"San Francisco, CA",37.77,-122.43
"San Jose Airport, CA",37.37,-121.93
"San Luis Obispo, CA",35.33,-120.72
"Sandusky, OH",41.45,-82.72
"Santa Ana Airport, CA",33.75,-117.87
"Santa Barbara MAP, CA",34.43,-119.83
"Santa Cruz, CA",36.98,-122.02
"Santa Fe, NM",35.62,-106.08
"Santa Maria Airport - South, CA",34.9,-120.45
"Santa Monica CIC, CA",34.02,-118.48
"Santa Paula, CA",34.35,-119.08
"Santa Rosa, CA",38.52,-122.82
"Sarasota, FL",27.38,-82.55
"Sault Ste. Marie Airport - South, MI",46.47,-84.37
"Savannah, GA",32.13,-81.2
"Schenectady - South, NY",42.85,-73.95
"Scottsbluff Airport, NE",41.87,-103.6
"Scranton-Wilkes-Barre, PA",41.33,-75.73
"Seattle - South, WA",47.65,-122.3
"Seattle-Boeing Field, WA",47.53,-122.3
"Seattle-Tacoma Airport - South, WA",47.45,-122.3
"Sedalia-Whiteman AFB, MO",38.72,-93.55
"Selma-Craig AFB, AL",32.33,-87.98
"Seminole, OK",35.23,-96.67
"Sheboygan, WI",43.75,-87.72
"Shelbyville, IN",39.52,-85.78
"Sheridan Airport, WY",44.77,-106.97
"Sherman, Perrin AFB, TX",33.72,-96.67
"Shreveport Airport - South, LA",32.47,-93.82
"Sidney Airport, NE",41.22,-103.1
"Sikeston, MO",36.88,-89.6
"Sikeston, MO",36.88,-89.6
"Silver City Airport, NM",32.63,-108.17
"Sioux City Airport, IA",42.4,-96.38
"Sioux Falls Airport, SD",43.57,-96.73
"Snyder, TX",32.72,-100.92
"Socorro Airport, NM",34.05,-106.88
"South Bend Airport, IN",41.7,-86.32
"Spartanburg Airport, SC",34.97,-82
"Spokane Airport - South, WA",47.63,-117.52
"Springfield, IL",39.8,-89.65
"Springfield Airport, MO",37.23,-93.38
"Springfield, OH",39.83,-83.83
"Springfield, Westover AFB, MA",42.2,-72.53
"St George, UT",37.03,-113.52
"St Augustine, FL",29.97,-81.33
"St Cloud Airport - South, MN",45.58,-94.18
"St Joseph Airport, MO",39.77,-94.92
"St Louis Airport, MO",38.75,-90.38
"St Louis, MO",38.65,-90.63
"St Petersburg, FL",27.77,-83.33
"St Paul, MN",44.96,-93.1
"Stanford, FL",28.77,-81.28
"State College - South, PA",40.8,-77.87
"Staunton, VA",38.27,-78.9
"Sterling, CO",40.62,-103.2
"Steubenville, OH",40.38,-80.63
"Stevens Point, WI",44.5,-89.57
"Stillwater - South, OK",36.17,-97.08
"Stockton Airport, CA",37.9,-121.25
"Suffolk County AFB, NY",40.85,-72.63
"Sumter, Shaw AFB, SC",33.9,-80.37
"Sunbury, PA",40.88,-76.77
"Syracuse Airport, NY",43.12,-76.12
"Tacoma, McChord AFB, WA",47.25,-122.5
"Talladega, AL",33.45,-86.1
"Tallahassee, FL",30.44,-84.28
"Tampa Airport - South, FL",27.97,-82.53
"Taunton, MA",41.9,-71.07
"Temple, TX",31.1,-97.35
"Terre Haute Airport, IN",39.45,-87.3
"Texarkana Airport, AR",33.45,-93.98
"The Dalles, OR",45.6,-121.2
