,Diffuse irradiance|W/m2,Global horizontal irradiance|W/m2,Beam irradiance|W/m2,Plane of array irradiance|W/m2
"Jan 2, 05:00 pm",6,6,3,6.35565
"Jan 2, 06:00 pm",0,0,0,0
"Jan 2, 07:00 pm",0,0,0,0
"Jan 2, 08:00 pm",0,0,0,0
"Jan 2, 09:00 pm",0,0,0,0
"Jan 2, 10:00 pm",0,0,0,0
"Jan 2, 11:00 pm",0,0,0,0
"Jan 3, 12:00 am",0,0,0,0
"Jan 3, 01:00 am",0,0,0,0
"Jan 3, 02:00 am",0,0,0,0
"Jan 3, 03:00 am",0,0,0,0
"Jan 3, 04:00 am",0,0,0,0
"Jan 3, 05:00 am",0,0,0,0
"Jan 3, 06:00 am",0,0,0,0
"Jan 3, 07:00 am",4,10,55,20.2787
"Jan 3, 08:00 am",41,131,543,314.547
"Jan 3, 09:00 am",46,284,745,549.913
"Jan 3, 10:00 am",92,444,786,758.118
"Jan 3, 11:00 am",128,527,759,859.788
"Jan 3, 12:00 pm",133,559,769,902.284
"Jan 3, 01:00 pm",193,452,489,689.758
"Jan 3, 02:00 pm",217,220,20,235.135
"Jan 3, 03:00 pm",113,108,0,108.272
"Jan 3, 04:00 pm",38,36,0,33.905
"Jan 3, 05:00 pm",3,3,0,2.65837
"Jan 3, 06:00 pm",0,0,0,0
"Jan 3, 07:00 pm",0,0,0,0
"Jan 3, 08:00 pm",0,0,0,0
"Jan 3, 09:00 pm",0,0,0,0
"Jan 3, 10:00 pm",0,0,0,0
"Jan 3, 11:00 pm",0,0,0,0
"Jan 4, 12:00 am",0,0,0,0
"Jan 4, 01:00 am",0,0,0,0
"Jan 4, 02:00 am",0,0,0,0
"Jan 4, 03:00 am",0,0,0,0
"Jan 4, 04:00 am",0,0,0,0
"Jan 4, 05:00 am",0,0,0,0
"Jan 4, 06:00 am",0,0,0,0
"Jan 4, 07:00 am",8,9,0,7.35468
"Jan 4, 08:00 am",59,59,0,58.5111
"Jan 4, 09:00 am",133,141,16,142.507
"Jan 4, 10:00 am",118,120,1,110.2
"Jan 4, 11:00 am",305,337,60,396.362
"Jan 4, 12:00 pm",233,461,409,661.162
"Jan 4, 01:00 pm",245,464,411,666.195
"Jan 4, 02:00 pm",218,249,69,292.654
"Jan 4, 03:00 pm",173,188,47,225.045
"Jan 4, 04:00 pm",85,85,10,95.3642
"Jan 4, 05:00 pm",5,5,0,4.43506
"Jan 4, 06:00 pm",0,0,0,0
"Jan 4, 07:00 pm",0,0,0,0
"Jan 4, 08:00 pm",0,0,0,0
"Jan 4, 09:00 pm",0,0,0,0
"Jan 4, 10:00 pm",0,0,0,0
"Jan 4, 11:00 pm",0,0,0,0
"Jan 5, 12:00 am",0,0,0,0
"Jan 5, 01:00 am",0,0,0,0
"Jan 5, 02:00 am",0,0,0,0
"Jan 5, 03:00 am",0,0,0,0
"Jan 5, 04:00 am",0,0,0,0
"Jan 5, 05:00 am",0,0,0,0
"Jan 5, 06:00 am",0,0,0,0
"Jan 5, 07:00 am",3,3,0,2.75801
"Jan 5, 08:00 am",18,18,0,16.0053
"Jan 5, 09:00 am",32,32,0,28.5102
"Jan 5, 10:00 am",71,71,0,63.4937
"Jan 5, 11:00 am",76,76,0,68.0178
"Jan 5, 12:00 pm",189,189,0,180.749
"Jan 5, 01:00 pm",200,200,0,193.692
"Jan 5, 02:00 pm",143,143,0,135.191
"Jan 5, 03:00 pm",79,79,0,71.857
"Jan 5, 04:00 pm",23,23,0,20.4671
"Jan 5, 05:00 pm",5,5,0,4.43495
"Jan 5, 06:00 pm",0,0,0,0
"Jan 5, 07:00 pm",0,0,0,0
"Jan 5, 08:00 pm",0,0,0,0
"Jan 5, 09:00 pm",0,0,0,0
"Jan 5, 10:00 pm",0,0,0,0
"Jan 5, 11:00 pm",0,0,0,0
"Jan 6, 12:00 am",0,0,0,0
"Jan 6, 01:00 am",0,0,0,0
"Jan 6, 02:00 am",0,0,0,0
"Jan 6, 03:00 am",0,0,0,0
"Jan 6, 04:00 am",0,0,0,0
"Jan 6, 05:00 am",0,0,0,0
"Jan 6, 06:00 am",0,0,0,0
"Jan 6, 07:00 am",8,8,7,9.44088
"Jan 6, 08:00 am",64,70,31,84.3418
"Jan 6, 09:00 am",128,139,1,126.763
"Jan 6, 10:00 am",242,403,356,578.264
"Jan 6, 11:00 am",169,531,683,837.136
"Jan 6, 12:00 pm",181,569,693,885.966
"Jan 6, 01:00 pm",193,551,670,854.547
"Jan 6, 02:00 pm",195,460,587,725.668
"Jan 6, 03:00 pm",155,340,561,573.038
"Jan 6, 04:00 pm",82,129,255,228.968
"Jan 6, 05:00 pm",5,9,44,25.1752
"Jan 6, 06:00 pm",0,0,0,0
"Jan 6, 07:00 pm",0,0,0,0
"Jan 6, 08:00 pm",0,0,0,0
"Jan 6, 09:00 pm",0,0,0,0
"Jan 6, 10:00 pm",0,0,0,0
"Jan 6, 11:00 pm",0,0,0,0
"Jan 7, 12:00 am",0,0,0,0
"Jan 7, 01:00 am",0,0,0,0
"Jan 7, 02:00 am",0,0,0,0
"Jan 7, 03:00 am",0,0,0,0
"Jan 7, 04:00 am",0,0,0,0
"Jan 7, 05:00 am",0,0,0,0
"Jan 7, 06:00 am",0,0,0,0
"Jan 7, 07:00 am",7,7,1,6.73206
"Jan 7, 08:00 am",65,74,55,96.4507
"Jan 7, 09:00 am",87,258,515,457.433
"Jan 7, 10:00 am",147,387,529,614.889
"Jan 7, 11:00 am",187,526,638,813.401
"Jan 7, 12:00 pm",257,518,464,742.122
"Jan 7, 01:00 pm",264,509,457,731.946
"Jan 7, 02:00 pm",188,396,452,608.896
"Jan 7, 03:00 pm",149,277,386,440.933
"Jan 7, 04:00 pm",77,80,27,97.6973
"Jan 7, 05:00 pm",9,10,0,7.99783
"Jan 7, 06:00 pm",0,0,0,0
"Jan 7, 07:00 pm",0,0,0,0
"Jan 7, 08:00 pm",0,0,0,0
"Jan 7, 09:00 pm",0,0,0,0
"Jan 7, 10:00 pm",0,0,0,0
"Jan 7, 11:00 pm",0,0,0,0
"Jan 8, 12:00 am",0,0,0,0
"Jan 8, 01:00 am",0,0,0,0
"Jan 8, 02:00 am",0,0,0,0
"Jan 8, 03:00 am",0,0,0,0
"Jan 8, 04:00 am",0,0,0,0
"Jan 8, 05:00 am",0,0,0,0
"Jan 8, 06:00 am",0,0,0,0
"Jan 8, 07:00 am",6,8,23,12.3097
"Jan 8, 08:00 am",60,109,291,218.046
"Jan 8, 09:00 am",121,266,424,433.117
"Jan 8, 10:00 am",151,407,562,645.665
"Jan 8, 11:00 am",174,528,665,826.484
"Jan 8, 12:00 pm",165,547,679,857.282
"Jan 8, 01:00 pm",170,511,632,799.913
"Jan 8, 02:00 pm",173,438,570,688.9
"Jan 8, 03:00 pm",147,278,382,436.179
"Jan 8, 04:00 pm",82,118,188,196.926
"Jan 8, 05:00 pm",6,7,9,8.88532
"Jan 8, 06:00 pm",0,0,0,0
"Jan 8, 07:00 pm",0,0,0,0
"Jan 8, 08:00 pm",0,0,0,0
"Jan 8, 09:00 pm",0,0,0,0
"Jan 8, 10:00 pm",0,0,0,0
"Jan 8, 11:00 pm",0,0,0,0
"Jan 9, 12:00 am",0,0,0,0
"Jan 9, 01:00 am",0,0,0,0
"Jan 9, 02:00 am",0,0,0,0
"Jan 9, 03:00 am",0,0,0,0
"Jan 9, 04:00 am",0,0,0,0
"Jan 9, 05:00 am",0,0,0,0
"Jan 9, 06:00 am",0,0,0,0
"Jan 9, 07:00 am",6,9,33,15.2189
"Jan 9, 08:00 am",53,115,373,246.937
"Jan 9, 09:00 am",72,260,576,478.35
"Jan 9, 10:00 am",98,436,745,735.827
"Jan 9, 11:00 am",128,541,772,872.255
"Jan 9, 12:00 pm",136,574,775,914.655
"Jan 9, 01:00 pm",131,555,782,893.581
"Jan 9, 02:00 pm",127,471,735,777.711
"Jan 9, 03:00 pm",100,321,634,567.245
"Jan 9, 04:00 pm",78,133,284,245.677
"Jan 9, 05:00 pm",3,9,60,26.0587
"Jan 9, 06:00 pm",0,0,0,0
"Jan 9, 07:00 pm",0,0,0,0
"Jan 9, 08:00 pm",0,0,0,0
"Jan 9, 09:00 pm",0,0,0,0
"Jan 9, 10:00 pm",0,0,0,0
"Jan 9, 11:00 pm",0,0,0,0
"Jan 10, 12:00 am",0,0,0,0
"Jan 10, 01:00 am",0,0,0,0
"Jan 10, 02:00 am",0,0,0,0
"Jan 10, 03:00 am",0,0,0,0
"Jan 10, 04:00 am",0,0,0,0
"Jan 10, 05:00 am",0,0,0,0
"Jan 10, 06:00 am",0,0,0,0
"Jan 10, 07:00 am",5,9,44,17.4735
"Jan 10, 08:00 am",55,128,434,275.454
"Jan 10, 09:00 am",65,281,656,520.604
"Jan 10, 10:00 am",114,437,708,725.185
"Jan 10, 11:00 am",165,531,683,833.884
"Jan 10, 12:00 pm",144,597,801,948.894
"Jan 10, 01:00 pm",126,574,824,926.751
"Jan 10, 02:00 pm",124,504,805,832.895
"Jan 10, 03:00 pm",128,296,487,496.99
"Jan 10, 04:00 pm",101,120,124,185.311
"Jan 10, 05:00 pm",10,15,43,27.013
"Jan 10, 06:00 pm",0,0,0,0
"Jan 10, 07:00 pm",0,0,0,0
"Jan 10, 08:00 pm",0,0,0,0
"Jan 10, 09:00 pm",0,0,0,0
"Jan 10, 10:00 pm",0,0,0,0
"Jan 10, 11:00 pm",0,0,0,0
"Jan 11, 12:00 am",0,0,0,0
"Jan 11, 01:00 am",0,0,0,0
"Jan 11, 02:00 am",0,0,0,0
"Jan 11, 03:00 am",0,0,0,0
"Jan 11, 04:00 am",0,0,0,0
"Jan 11, 05:00 am",0,0,0,0
"Jan 11, 06:00 am",0,0,0,0
"Jan 11, 07:00 am",4,4,0,3.67734
"Jan 11, 08:00 am",53,53,0,50.8206
"Jan 11, 09:00 am",97,105,0,90.9645
"Jan 11, 10:00 am",195,200,2,194.341
"Jan 11, 11:00 am",308,334,47,385.925
"Jan 11, 12:00 pm",326,382,99,455.785
"Jan 11, 01:00 pm",287,343,108,412.865
"Jan 11, 02:00 pm",216,209,2,216.978
"Jan 11, 03:00 pm",179,181,22,198.797
"Jan 11, 04:00 pm",94,95,22,109.577
"Jan 11, 05:00 pm",12,14,20,19.3125
"Jan 11, 06:00 pm",0,0,0,0
"Jan 11, 07:00 pm",0,0,0,0
"Jan 11, 08:00 pm",0,0,0,0
"Jan 11, 09:00 pm",0,0,0,0
"Jan 11, 10:00 pm",0,0,0,0
"Jan 11, 11:00 pm",0,0,0,0
"Jan 12, 12:00 am",0,0,0,0
"Jan 12, 01:00 am",0,0,0,0
"Jan 12, 02:00 am",0,0,0,0
"Jan 12, 03:00 am",0,0,0,0
"Jan 12, 04:00 am",0,0,0,0
"Jan 12, 05:00 am",0,0,0,0
"Jan 12, 06:00 am",0,0,0,0
"Jan 12, 07:00 am",3,9,63,21.019
"Jan 12, 08:00 am",36,124,523,290.508
"Jan 12, 09:00 am",33,284,758,535.526
"Jan 12, 10:00 am",62,456,861,772.381
"Jan 12, 11:00 am",90,558,867,907.421
"Jan 12, 12:00 pm",91,608,906,979.284
"Jan 12, 01:00 pm",90,599,927,973.867
"Jan 12, 02:00 pm",93,516,887,861.68
"Jan 12, 03:00 pm",73,363,811,655.977
"Jan 12, 04:00 pm",69,158,445,314.779
"Jan 12, 05:00 pm",2,14,110,38.5415
"Jan 12, 06:00 pm",0,0,0,0
"Jan 12, 07:00 pm",0,0,0,0
"Jan 12, 08:00 pm",0,0,0,0
"Jan 12, 09:00 pm",0,0,0,0
"Jan 12, 10:00 pm",0,0,0,0
"Jan 12, 11:00 pm",0,0,0,0
"Jan 13, 12:00 am",0,0,0,0
"Jan 13, 01:00 am",0,0,0,0
"Jan 13, 02:00 am",0,0,0,0
"Jan 13, 03:00 am",0,0,0,0
"Jan 13, 04:00 am",0,0,0,0
"Jan 13, 05:00 am",0,0,0,0
"Jan 13, 06:00 am",0,0,0,0
"Jan 13, 07:00 am",9,22,113,40.8671
"Jan 13, 08:00 am",28,132,618,318.861
"Jan 13, 09:00 am",42,315,821,588.025
"Jan 13, 10:00 am",54,472,910,800.983
"Jan 13, 11:00 am",61,578,954,940.543
"Jan 13, 12:00 pm",80,619,941,989.847
"Jan 13, 01:00 pm",115,605,888,969.042
"Jan 13, 02:00 pm",134,513,790,835.641
"Jan 13, 03:00 pm",139,294,429,472.442
"Jan 13, 04:00 pm",84,138,263,236.084
"Jan 13, 05:00 pm",22,34,109,70.7042
"Jan 13, 06:00 pm",0,0,0,0
"Jan 13, 07:00 pm",0,0,0,0
"Jan 13, 08:00 pm",0,0,0,0
"Jan 13, 09:00 pm",0,0,0,0
"Jan 13, 10:00 pm",0,0,0,0
"Jan 13, 11:00 pm",0,0,0,0
"Jan 14, 12:00 am",0,0,0,0
"Jan 14, 01:00 am",0,0,0,0
"Jan 14, 02:00 am",0,0,0,0
"Jan 14, 03:00 am",0,0,0,0
"Jan 14, 04:00 am",0,0,0,0
"Jan 14, 05:00 am",0,0,0,0
"Jan 14, 06:00 am",0,0,0,0
"Jan 14, 07:00 am",11,19,76,31.9244
"Jan 14, 08:00 am",35,126,532,292.304
"Jan 14, 09:00 am",53,309,767,572.754
"Jan 14, 10:00 am",68,466,863,781.741
"Jan 14, 11:00 am",77,573,914,925.653
"Jan 14, 12:00 pm",80,618,933,983.274
"Jan 14, 01:00 pm",78,592,927,952.476
"Jan 14, 02:00 pm",70,498,888,829.861
"Jan 14, 03:00 pm",57,350,805,635.505
"Jan 14, 04:00 pm",40,168,620,368.769
"Jan 14, 05:00 pm",17,33,153,80.317
"Jan 14, 06:00 pm",0,0,0,0
"Jan 14, 07:00 pm",0,0,0,0
"Jan 14, 08:00 pm",0,0,0,0
"Jan 14, 09:00 pm",0,0,0,0
"Jan 14, 10:00 pm",0,0,0,0
"Jan 14, 11:00 pm",0,0,0,0
"Jan 15, 12:00 am",0,0,0,0
"Jan 15, 01:00 am",0,0,0,0
"Jan 15, 02:00 am",0,0,0,0
"Jan 15, 03:00 am",0,0,0,0
"Jan 15, 04:00 am",0,0,0,0
"Jan 15, 05:00 am",0,0,0,0
"Jan 15, 06:00 am",0,0,0,0
"Jan 15, 07:00 am",7,7,1,6.72089
"Jan 15, 08:00 am",70,70,2,72.6234
"Jan 15, 09:00 am",171,171,13,185.187
"Jan 15, 10:00 am",255,270,35,291.004
"Jan 15, 11:00 am",295,307,22,321.031
"Jan 15, 12:00 pm",281,282,2,283.367
"Jan 15, 01:00 pm",228,228,0,222.737
"Jan 15, 02:00 pm",203,204,0,199.199
"Jan 15, 03:00 pm",152,153,0,149.802
"Jan 15, 04:00 pm",73,76,13,77.0302
"Jan 15, 05:00 pm",5,5,0,4.43404
"Jan 15, 06:00 pm",0,0,0,0
"Jan 15, 07:00 pm",0,0,0,0
"Jan 15, 08:00 pm",0,0,0,0
"Jan 15, 09:00 pm",0,0,0,0
"Jan 15, 10:00 pm",0,0,0,0
"Jan 15, 11:00 pm",0,0,0,0
"Jan 16, 12:00 am",0,0,0,0
"Jan 16, 01:00 am",0,0,0,0
"Jan 16, 02:00 am",0,0,0,0
"Jan 16, 03:00 am",0,0,0,0
"Jan 16, 04:00 am",0,0,0,0
"Jan 16, 05:00 am",0,0,0,0
"Jan 16, 06:00 am",0,0,0,0
"Jan 16, 07:00 am",4,4,0,3.67734
"Jan 16, 08:00 am",65,66,3,66.3801
"Jan 16, 09:00 am",127,179,162,246.758
"Jan 16, 10:00 am",206,276,156,357.513
"Jan 16, 11:00 am",262,483,404,677.499
"Jan 16, 12:00 pm",203,613,708,928.869
"Jan 16, 01:00 pm",139,533,700,835.07
"Jan 16, 02:00 pm",138,465,654,731.202
"Jan 16, 03:00 pm",113,356,635,589.957
"Jan 16, 04:00 pm",118,165,210,249.44
"Jan 16, 05:00 pm",12,21,87,48.8749
"Jan 16, 06:00 pm",0,0,0,0
"Jan 16, 07:00 pm",0,0,0,0
"Jan 16, 08:00 pm",0,0,0,0
"Jan 16, 09:00 pm",0,0,0,0
"Jan 16, 10:00 pm",0,0,0,0
"Jan 16, 11:00 pm",0,0,0,0
"Jan 17, 12:00 am",0,0,0,0
"Jan 17, 01:00 am",0,0,0,0
"Jan 17, 02:00 am",0,0,0,0
"Jan 17, 03:00 am",0,0,0,0
"Jan 17, 04:00 am",0,0,0,0
"Jan 17, 05:00 am",0,0,0,0
"Jan 17, 06:00 am",0,0,0,0
"Jan 17, 07:00 am",4,4,0,3.54664
"Jan 17, 08:00 am",35,35,0,31.2167
"Jan 17, 09:00 am",107,113,14,110.242
"Jan 17, 10:00 am",222,228,12,232.212
"Jan 17, 11:00 am",232,234,3,230.236
"Jan 17, 12:00 pm",229,232,5,227.054
"Jan 17, 01:00 pm",284,328,79,380.216
"Jan 17, 02:00 pm",225,313,180,404.313
"Jan 17, 03:00 pm",115,114,0,108.203
"Jan 17, 04:00 pm",14,14,0,12.4407
"Jan 17, 05:00 pm",2,2,0,1.77142
"Jan 17, 06:00 pm",0,0,0,0
"Jan 17, 07:00 pm",0,0,0,0
"Jan 17, 08:00 pm",0,0,0,0
"Jan 17, 09:00 pm",0,0,0,0
"Jan 17, 10:00 pm",0,0,0,0
"Jan 17, 11:00 pm",0,0,0,0
"Jan 18, 12:00 am",0,0,0,0
"Jan 18, 01:00 am",0,0,0,0
"Jan 18, 02:00 am",0,0,0,0
"Jan 18, 03:00 am",0,0,0,0
"Jan 18, 04:00 am",0,0,0,0
"Jan 18, 05:00 am",0,0,0,0
"Jan 18, 06:00 am",0,0,0,0
"Jan 18, 07:00 am",2,2,1,2.08591
"Jan 18, 08:00 am",18,19,0,16.0047
"Jan 18, 09:00 am",58,63,1,52.4457
"Jan 18, 10:00 am",116,119,0,106.779
"Jan 18, 11:00 am",156,157,1,146.752
"Jan 18, 12:00 pm",270,280,15,281.983
"Jan 18, 01:00 pm",184,185,5,179.172
"Jan 18, 02:00 pm",144,138,0,134.787
"Jan 18, 03:00 pm",196,194,19,214.192
"Jan 18, 04:00 pm",42,40,0,37.4711
"Jan 18, 05:00 pm",14,15,10,15.8228
"Jan 18, 06:00 pm",0,0,0,0
"Jan 18, 07:00 pm",0,0,0,0
"Jan 18, 08:00 pm",0,0,0,0
"Jan 18, 09:00 pm",0,0,0,0
"Jan 18, 10:00 pm",0,0,0,0
"Jan 18, 11:00 pm",0,0,0,0
"Jan 19, 12:00 am",0,0,0,0
"Jan 19, 01:00 am",0,0,0,0
"Jan 19, 02:00 am",0,0,0,0
"Jan 19, 03:00 am",0,0,0,0
"Jan 19, 04:00 am",0,0,0,0
"Jan 19, 05:00 am",0,0,0,0
"Jan 19, 06:00 am",0,0,0,0
"Jan 19, 07:00 am",7,11,31,17.6696
"Jan 19, 08:00 am",31,129,559,297.026
"Jan 19, 09:00 am",30,296,779,543.106
"Jan 19, 10:00 am",64,468,858,773.478
"Jan 19, 11:00 am",91,574,869,914.164
"Jan 19, 12:00 pm",130,626,842,978.178
"Jan 19, 01:00 pm",130,586,802,921.323
"Jan 19, 02:00 pm",116,529,834,859.772
"Jan 19, 03:00 pm",97,375,745,652.27
"Jan 19, 04:00 pm",91,174,385,314.781
"Jan 19, 05:00 pm",18,30,107,64.8355
"Jan 19, 06:00 pm",0,0,0,0
"Jan 19, 07:00 pm",0,0,0,0
"Jan 19, 08:00 pm",0,0,0,0
"Jan 19, 09:00 pm",0,0,0,0
"Jan 19, 10:00 pm",0,0,0,0
"Jan 19, 11:00 pm",0,0,0,0
"Jan 20, 12:00 am",0,0,0,0
"Jan 20, 01:00 am",0,0,0,0
"Jan 20, 02:00 am",0,0,0,0
"Jan 20, 03:00 am",0,0,0,0
"Jan 20, 04:00 am",0,0,0,0
"Jan 20, 05:00 am",0,0,0,0
"Jan 20, 06:00 am",0,0,0,0
"Jan 20, 07:00 am",4,12,75,29.4913
"Jan 20, 08:00 am",23,132,612,305.258
"Jan 20, 09:00 am",34,317,828,579.978
"Jan 20, 10:00 am",56,488,916,809.78
"Jan 20, 11:00 am",79,597,929,945.427
"Jan 20, 12:00 pm",85,647,950,1011.65
"Jan 20, 01:00 pm",82,646,987,1020.67
"Jan 20, 02:00 pm",82,560,954,908.725
"Jan 20, 03:00 pm",73,401,856,698.823
"Jan 20, 04:00 pm",81,180,437,329.971
"Jan 20, 05:00 pm",7,24,169,66.4872
"Jan 20, 06:00 pm",0,0,0,0
"Jan 20, 07:00 pm",0,0,0,0
"Jan 20, 08:00 pm",0,0,0,0
"Jan 20, 09:00 pm",0,0,0,0
"Jan 20, 10:00 pm",0,0,0,0
"Jan 20, 11:00 pm",0,0,0,0
"Jan 21, 12:00 am",0,0,0,0
"Jan 21, 01:00 am",0,0,0,0
"Jan 21, 02:00 am",0,0,0,0
"Jan 21, 03:00 am",0,0,0,0
"Jan 21, 04:00 am",0,0,0,0
"Jan 21, 05:00 am",0,0,0,0
"Jan 21, 06:00 am",0,0,0,0
"Jan 21, 07:00 am",6,6,2,5.97736
"Jan 21, 08:00 am",39,103,349,216.281
"Jan 21, 09:00 am",41,319,802,572.827
"Jan 21, 10:00 am",65,486,887,798.545
"Jan 21, 11:00 am",80,578,890,912.166
"Jan 21, 12:00 pm",90,632,912,982.956
"Jan 21, 01:00 pm",99,619,905,976.312
"Jan 21, 02:00 pm",105,524,830,840.921
"Jan 21, 03:00 pm",95,379,733,644.178
"Jan 21, 04:00 pm",82,176,411,318.55
"Jan 21, 05:00 pm",6,24,172,65.5308
"Jan 21, 06:00 pm",0,0,0,0
"Jan 21, 07:00 pm",0,0,0,0
"Jan 21, 08:00 pm",0,0,0,0
"Jan 21, 09:00 pm",0,0,0,0
"Jan 21, 10:00 pm",0,0,0,0
"Jan 21, 11:00 pm",0,0,0,0
"Jan 22, 12:00 am",0,0,0,0
"Jan 22, 01:00 am",0,0,0,0
"Jan 22, 02:00 am",0,0,0,0
"Jan 22, 03:00 am",0,0,0,0
"Jan 22, 04:00 am",0,0,0,0
"Jan 22, 05:00 am",0,0,0,0
"Jan 22, 06:00 am",0,0,0,0
"Jan 22, 07:00 am",2,14,113,34.8737
"Jan 22, 08:00 am",24,139,648,321.746
"Jan 22, 09:00 am",38,331,851,600.131
"Jan 22, 10:00 am",63,513,944,841.977
"Jan 22, 11:00 am",83,635,980,998.071
"Jan 22, 12:00 pm",83,673,988,1047.44
"Jan 22, 01:00 pm",88,655,979,1023.55
"Jan 22, 02:00 pm",88,572,950,923.417
"Jan 22, 03:00 pm",74,420,883,721.742
"Jan 22, 04:00 pm",79,194,485,352.997
"Jan 22, 05:00 pm",3,25,224,76.0039
"Jan 22, 06:00 pm",0,0,0,0
"Jan 22, 07:00 pm",0,0,0,0
"Jan 22, 08:00 pm",0,0,0,0
"Jan 22, 09:00 pm",0,0,0,0
"Jan 22, 10:00 pm",0,0,0,0
"Jan 22, 11:00 pm",0,0,0,0
"Jan 23, 12:00 am",0,0,0,0
"Jan 23, 01:00 am",0,0,0,0
"Jan 23, 02:00 am",0,0,0,0
"Jan 23, 03:00 am",0,0,0,0
"Jan 23, 04:00 am",0,0,0,0
"Jan 23, 05:00 am",0,0,0,0
"Jan 23, 06:00 am",0,0,0,0
"Jan 23, 07:00 am",2,16,122,37.1602
"Jan 23, 08:00 am",23,143,664,326.931
"Jan 23, 09:00 am",35,334,853,597.342
"Jan 23, 10:00 am",60,504,926,824.163
"Jan 23, 11:00 am",82,616,944,965.076
"Jan 23, 12:00 pm",85,650,941,1006.51
"Jan 23, 01:00 pm",100,633,916,990.382
"Jan 23, 02:00 pm",159,550,764,853.825
"Jan 23, 03:00 pm",166,422,659,669.54
"Jan 23, 04:00 pm",115,194,347,319.11
"Jan 23, 05:00 pm",16,26,96,58.3684
"Jan 23, 06:00 pm",0,0,0,0
"Jan 23, 07:00 pm",0,0,0,0
"Jan 23, 08:00 pm",0,0,0,0
"Jan 23, 09:00 pm",0,0,0,0
"Jan 23, 10:00 pm",0,0,0,0
"Jan 23, 11:00 pm",0,0,0,0
"Jan 24, 12:00 am",0,0,0,0
"Jan 24, 01:00 am",0,0,0,0
"Jan 24, 02:00 am",0,0,0,0
"Jan 24, 03:00 am",0,0,0,0
"Jan 24, 04:00 am",0,0,0,0
"Jan 24, 05:00 am",0,0,0,0
"Jan 24, 06:00 am",0,0,0,0
"Jan 24, 07:00 am",11,24,127,54.8937
"Jan 24, 08:00 am",31,147,630,323.224
"Jan 24, 09:00 am",47,337,827,596.864
"Jan 24, 10:00 am",59,499,911,811.332
"Jan 24, 11:00 am",67,607,949,951.644
"Jan 24, 12:00 pm",71,655,969,1016.79
"Jan 24, 01:00 pm",69,630,959,984.169
"Jan 24, 02:00 pm",63,546,939,878.412
"Jan 24, 03:00 pm",56,399,866,684.897
"Jan 24, 04:00 pm",39,210,713,421.137
"Jan 24, 05:00 pm",18,49,296,126.035
"Jan 24, 06:00 pm",0,0,0,0
"Jan 24, 07:00 pm",0,0,0,0
"Jan 24, 08:00 pm",0,0,0,0
"Jan 24, 09:00 pm",0,0,0,0
"Jan 24, 10:00 pm",0,0,0,0
"Jan 24, 11:00 pm",0,0,0,0
"Jan 25, 12:00 am",0,0,0,0
"Jan 25, 01:00 am",0,0,0,0
"Jan 25, 02:00 am",0,0,0,0
"Jan 25, 03:00 am",0,0,0,0
"Jan 25, 04:00 am",0,0,0,0
"Jan 25, 05:00 am",0,0,0,0
"Jan 25, 06:00 am",0,0,0,0
"Jan 25, 07:00 am",0,16,152,41.0974
"Jan 25, 08:00 am",20,152,717,345.063
"Jan 25, 09:00 am",45,347,856,612.905
"Jan 25, 10:00 am",56,373,653,607.475
"Jan 25, 11:00 am",68,645,1009,1008.31
"Jan 25, 12:00 pm",84,701,1015,1078.06
