Name,SRCC Number,Type,Test Fluid,Test Flow Rate,Area,FRta,FRUL,IAM
Chromagen Chromagen CR-130-A-P,2009061D ,Glazed Flat-Plate,0,0.042,2.96,0.731,3.87,0.3
Chromagen Chromagen CR-110-A-SP,2009059B ,Glazed Flat-Plate,0,0.042,2.37,0.727,3.51,0.22
Chromagen Chromagen CR-100-A-SP,2009059A ,Glazed Flat-Plate,0,0.042,2.09,0.723,3.49,-0.22
Chromagen Chromagen CR-110-A-P,2009061B ,Glazed Flat-Plate,0,0.042,2.37,0.722,3.84,0.3
Chromagen Chromagen CR-100-A-P,2009061A ,Glazed Flat-Plate,0,0.042,2.1,0.719,3.83,-0.3
Chromagen Chromagen CR-140-SP,2007057E ,Glazed Flat-Plate,0,0.0417,3.71,0.692,3.87,-0.43
Chromagen Chromagen CR-130-SP,2007057D ,Glazed Flat-Plate,0,0.0417,2.96,0.687,3.84,-0.43
Chromagen Chromagen CR-120-SP,2007057C ,Glazed Flat-Plate,0,0.0417,2.8,0.681,3.82,-0.43
Chromagen Chromagen CR-100-P,2007059A ,Glazed Flat-Plate,0,0.0407,2.05,0.678,4.41,0.15
Chromagen Chromagen CR-110-SP,2007057B ,Glazed Flat-Plate,0,0.0417,2.37,0.678,3.81,-0.43
Chromagen Chromagen CR-100-SP,2007057A ,Glazed Flat-Plate,0,0.0417,2.05,0.669,3.77,-0.43
Creative Solar Energy Co.  Ltd. Creative Solar CT Black,2009036A ,Glazed Flat-Plate,0,0.04,2.03,0.714,4.16,0.84
Diversified Heat Transfer Diversified Solar SC 1000,2010030A ,Glazed Flat-Plate,0,0.0505,2.48,0.688,3.7,0.06
EarthNet Energy EarthNet Energy ENE 16,2009035Ai ,Tubular,0,0.05,4.27,0.3,2,-1.8
EarthNet Energy EarthNet Energy ENE 24,2009035Bi ,Tubular,0,0.05,6.35,0.3,2,-1.8
Emmeti North America Inc. Arcobaleno STNA,2009074A ,Glazed Flat-Plate,0,0.0514,2.57,0.679,2.85,0.11
Energy Laboratories  Inc.  SE-40,2005013E ,Glazed Flat-Plate,0,0.0375,3.58,0.698,3.74,0.07
Energy Laboratories  Inc.  SE-32,2005013D ,Glazed Flat-Plate,0,0.0375,2.87,0.698,3.74,0.07
Energy Laboratories  Inc.  SE-28,2005013C ,Glazed Flat-Plate,0,0.0375,2.51,0.698,3.74,0.07
Energy Laboratories  Inc.  SE-24,2005013B ,Glazed Flat-Plate,0,0.0375,2.31,0.698,3.74,0.07
Energy Laboratories  Inc.  SE-21,2005013A ,Glazed Flat-Plate,0,0.0375,2.03,0.698,3.74,0.07
EnerWorks  Inc. Commercial Collector COL-4X8-NL-SG1-SH10US,2006006A ,Glazed Flat-Plate,1,0.053,2.87,0.762,3.28,-0.06
EnerWorks  Inc. Residential Collector COL-4x8-TL-SG1-SD10US,2005014A ,Glazed Flat-Plate,1,0.0561,2.87,0.717,4.01,0.11
EVOSOLAR Evosolar EVOP2,2007055B ,Glazed Flat-Plate,0,0.05,2.11,0.738,3.82,0.32
EVOSOLAR Evosolar EVOP,2007055A ,Glazed Flat-Plate,0,0.05,2.5,0.723,3.7,0.32
EVOSOLAR Evosolar EVOPN,2007056A ,Glazed Flat-Plate,0,0.05,2.5,0.659,5.4,0.28
Ezinc Metal Sanayi ve Ticaret A.S. EZINC Superline L USB,2008034B ,Glazed Flat-Plate,0,0.059,2.28,0.732,3.6,0.38
Ezinc Metal Sanayi ve Ticaret A.S. EZINC Superline XXL USB,2008034A ,Glazed Flat-Plate,0,0.059,2.9,0.713,3.49,0.38
Free Hot Water Free Hot Water FHW-FC7275B,2010020B ,Glazed Flat-Plate,0,0.0514,2.57,0.679,2.85,0.11
Free Hot Water Free Hot Water FHW-FC7275A,2010020A ,Glazed Flat-Plate,0,0.0514,2.57,0.679,2.85,0.11
Free Hot Water Free Hot Water FHW-FC50221,2010087A ,Glazed Flat-Plate,0,0.0414,2.07,0.679,3.26,0.11
Free Hot Water Free Hot Water FHW-FC4220,2010086A ,Glazed Flat-Plate,0,0.044,2.03,0.666,3.72,-0.03
G.S. Inc. EOS Solar EOS-S30,2007008C ,Tubular,0,0.0322,4.65,0.269,0.97,-1.9
G.S. Inc. EOS Solar EOS-S20,2007008B ,Tubular,0,0.0322,3.09,0.269,0.97,-1.9
G.S. Inc. EOS Solar EOS-S10,2007008A ,Tubular,0,0.0322,1.58,0.269,0.97,-1.9
Gear Solar GEAR Solar Solarpac TP24,2009091A ,Tubular,0,0.0714,3.57,0.371,1.49,-1.36
Gear Solar GEAR Solar Solarpac TP12,2009091B ,Tubular,0,0.0714,1.76,0.371,1.49,-1.36
General Solar Systems GmbH SK500N FK7250N,2009031A ,Glazed Flat-Plate,0,0.0514,2.57,0.679,2.85,0.11
Genersys PLC Genersys 1000-10 & 1200,2005001A ,Glazed Flat-Plate,1,0.013,2.04,0.588,3.57,0.04
Geo-Tec Solar Industries GmbH Geo-Tec GSE2000   TIN,2009111A ,Glazed Flat-Plate,1,0.0444,1.99,0.74,3.79,0.05
GLE Solar Energy - Great Lakes Electric LLC GLE SHP710-E-00,2009092Bi ,Tubular,0,0.06312,4.26,0.3,2,-1.8
GLE Solar Energy - Great Lakes Electric LLC GLE SHP310-E-00,2009092Di ,Tubular,0,0.06312,2.37,0.3,2,-1.8
GLE Solar Energy - Great Lakes Electric LLC GLE SHP410-E-00,2009092Ci ,Tubular,0,0.06312,2.73,0.3,2,-1.8
GLE Solar Energy - Great Lakes Electric LLC GLE SHP609-E-00,2009092Ai ,Tubular,0,0.06312,3.16,0.3,2,1
Grand Solar Co.  Ltd. Grand Solar GSOL-P20,2010047A ,Glazed Flat-Plate,0,0.0414,2.07,0.679,3.26,0.11
GREENoneTEC Solarindustrie GmbH SK500L FK7250L,2006030B ,Glazed Flat-Plate,0,0.0514,2.57,0.679,2.85,0.11
GREENoneTEC Solarindustrie GmbH SK500N FK7250N,2006030A ,Glazed Flat-Plate,0,0.0514,2.57,0.679,2.85,0.11
Guangdong Fivestar Solar Energy Co.  Ltd FiveStar FP3.0-A,2007031Ai ,Glazed Flat-Plate,0,0.04,2.01,0.3,2,-4
Haining Sanxi Solar Energy Industry Co.  Ltd Sunstorm SX58-1800-12,2009056B ,Tubular,0,0.031,1.94,0.339,0.84,-1.71
Haining Sanxi Solar Energy Industry Co.  Ltd Sunstorm SX58-1800-15,2009056C ,Tubular,0,0.031,2.41,0.339,0.84,-1.71
Haining Sanxi Solar Energy Industry Co.  Ltd Sunstorm SX58-1800-20,2009056D ,Tubular,0,0.031,3.12,0.339,0.84,-1.71
Haining Sanxi Solar Energy Industry Co.  Ltd Sunstorm SX58-1800-10,2009056A ,Tubular,0,0.031,1.53,0.339,0.84,-1.71
Haining Sanxi Solar Energy Industry Co.  Ltd Sunstorm SX58-1800-30,2009056E ,Tubular,0,0.031,4.69,0.339,0.84,-1.71
Heat Transfer Products Solar Spectrum FP-26SC,2009039C ,Glazed Flat-Plate,0,0.0388,2.35,0.691,3.4,0.19
Heat Transfer Products Solar Spectrum FP-32SC,2009039E ,Glazed Flat-Plate,0,0.0388,2.96,0.691,3.4,0.19
Heat Transfer Products Solar Spectrum FP-40SC,2009039F ,Glazed Flat-Plate,0,0.0388,3.7,0.691,3.4,0.19
Heat Transfer Products HTP Evacuated Tube HP-30SC,2009097A ,Tubular,0,0.083,4.16,0.456,1.35,-1.31
Heliodyne  Inc. Gobi 410 001,2007027D ,Glazed Flat-Plate,0,0.0498,3.73,0.733,3.41,-0.06
Heliodyne  Inc. Gobi 408 001,2007027C ,Glazed Flat-Plate,0,0.0498,2.99,0.73,3.41,-0.06
Heliodyne  Inc. Gobi 406 001,2007027B ,Glazed Flat-Plate,0,0.0498,2.5,0.726,3.4,-0.06
Heliodyne  Inc. Gobi 336 001,2007027A ,Glazed Flat-Plate,0,0.0498,2.49,0.725,3.24,-0.06
Heliodyne  Inc. Gobi 406 002,1981085G ,Glazed Flat-Plate,0,0.054986,2.5,0.719,5.31,0.09
Heliodyne  Inc. Gobi 410 002,1981085D ,Glazed Flat-Plate,0,0.056,3.73,0.719,5.31,0.09
Heliodyne  Inc. Gobi 408 002,1981085C ,Glazed Flat-Plate,0,0.054986,3,0.719,5.31,0.09
Heliodyne  Inc. Gobi 404 001,2007027E ,Glazed Flat-Plate,0,0.0498,1.52,0.713,3.38,-0.06
Heliodyne  Inc. Gobi 410 013,2007026D ,Glazed Flat-Plate,0,0.0498,3.73,0.711,3.93,-0.04
Heliodyne  Inc. Gobi 408 013,2007026C ,Glazed Flat-Plate,0,0.0498,2.99,0.707,3.92,-0.04
Heliodyne  Inc. Gobi 406 013,2007026B ,Glazed Flat-Plate,0,0.0498,2.5,0.704,3.75,-0.04
Heliodyne  Inc. Gobi 336 013,2007026A ,Glazed Flat-Plate,0,0.0498,2.49,0.701,3.73,-0.04
Integrated Solar LLC Architectural Series AS408C,2010025A ,Glazed Flat-Plate,0,0.0592,2.95,0.791,4.78,-0.03
Integrated Solar LLC Architectural Series AS408P,2010026A ,Glazed Flat-Plate,0,0.0592,2.96,0.788,6.35,0.45
Integrated Solar LLC  Radco 410C-HP,2006014B ,Glazed Flat-Plate,0,0.06,3.71,0.671,4.86,0.37
Integrated Solar LLC  Radco 412C-HP,2006014D ,Glazed Flat-Plate,0,0.06,4.49,0.669,4.84,0.37
Integrated Solar LLC  Radco 308C-HP,2006014C ,Glazed Flat-Plate,0,0.06,2.2,0.665,4.89,0.37
Integrated Solar LLC  Radco 408C-HP,2006014A ,Glazed Flat-Plate,0,0.06,3,0.662,4.81,0.37
Integrated Solar LLC  Radco 410P-HP,2006015B ,Glazed Flat-Plate,0,0.0617,3.71,0.661,6.48,0
Integrated Solar LLC  Radco 412P-HP,2006015D ,Glazed Flat-Plate,0,0.0617,4.49,0.658,6.45,0
Integrated Solar LLC  Radco 408P-HP,2006015A ,Glazed Flat-Plate,0,0.0617,3,0.656,6.45,0
Integrated Solar LLC  Radco 308P-HP,2006015C ,Glazed Flat-Plate,0,0.0617,2.2,0.655,6.49,0
Jiangsu Micoe Solar Energy Co.  Ltd. Micoe FPC2220,2010050A ,Glazed Flat-Plate,0,0.0372,2.14,0.662,3.82,0.32
Jiangsu Sunpower Solar Technology Co.  Ltd Sunpower SPA-58 1800-24,2009026Ci ,Tubular,0,0,3.99,0.3,2,-1.8
Jiangsu Sunpower Solar Technology Co.  Ltd Sunpower SPA-58 1800-30,2009026Di ,Tubular,0,0,4.97,0.3,2,-1.8
Jiangsu Sunpower Solar Technology Co.  Ltd Sunpower SPA-58 1800-18,2009026Bi ,Tubular,0,0,3,0.3,2,-1.8
Jiangsu Sunpower Solar Technology Co.  Ltd Sunpower SPA-58 1800-12,2009026Ai ,Tubular,0,0,2.02,0.3,2,-1.8
Jiangsu Sunrain Solar Energy Co. Ltd. Sunrain SR210,2009072A ,Glazed Flat-Plate,0,0.0428,2.14,0.662,3.82,0.32
Jiangsu Sunrain Solar Energy Co. Ltd. Sunrain TZ58 1800-10R,2009042E ,Tubular,0,0.069,1.71,0.398,0.62,-1.14
Jiangsu Sunrain Solar Energy Co. Ltd. Sunrain TZ58 1800-15R,2009042D ,Tubular,0,0.069,2.59,0.398,0.62,-1.14
Jiangsu Sunrain Solar Energy Co. Ltd. Sunrain TZ58 1800-25R,2009042C ,Tubular,0,0.069,4.36,0.398,0.62,-1.14
Jiangsu Sunrain Solar Energy Co. Ltd. Sunrain TZ58 1800-30R,2009042B ,Tubular,0,0.069,5.24,0.398,0.62,-1.14
Jiangsu Sunrain Solar Energy Co. Ltd. Sunrain TZ58 1800-20R,2009042A ,Tubular,0,0.069,3.48,0.398,0.62,-1.14
KBB Kollektorbau  K423-DH,2009121A ,Glazed Flat-Plate,1,0.0833,2.51,0.71,3.19,0.06
Kingspan Solar Inc. Thermomax DF100-20,2009049B ,Tubular,0,0.025,2.85,0.6006,1.17,0.14
Kingspan Solar Inc. Thermomax DF100-30,2009049C ,Tubular,0,0.025,4.27,0.6006,1.17,0.14
Kingspan Solar Inc. Thermomax DF100-10,2009049A ,Tubular,0,0.025,1.43,0.601,1.17,0.14
Kingspan Solar Inc. Solamax AST80,2003004E ,Tubular,0,0.0498,11.41,0.573,2.85,-0.05
Kingspan Solar Inc. Solamax AST70,2003004D ,Tubular,0,0.0498,9.98,0.573,2.85,-0.05
Kingspan Solar Inc. Solamax AST50,2003004C ,Tubular,0,0.0498,7.13,0.573,2.85,-0.05
Kingspan Solar Inc. Solamax AST20,2003004A ,Tubular,0,0.0498,2.85,0.573,2.85,-0.05
Kingspan Solar Inc. Solamax AST30,2003004B ,Tubular,0,0.0498,4.28,0.573,2.85,-0.05
Kingspan Solar Inc. Thermomax HP250-10,2009050A ,Tubular,0,0.023,1.42,0.549,1.46,0.12
Kingspan Solar Inc. Thermomax HP250-20,2009050B ,Tubular,0,0.023,2.84,0.549,1.46,0.12
Kingspan Solar Inc. Thermomax HP250-30,2009050C ,Tubular,0,0.023,4.25,0.549,1.46,0.12
Kingspan Solar Inc. Thermomax CS-40,2010058C ,Tubular,0,0.023,4.25,0.549,1.46,0.12
KIOTO Clear Energy S.A. de C.V. Kioto Clear Energy FP 7.25.0 H,2009046B ,Glazed Flat-Plate,0,0.0514,2.57,0.679,2.85,0.11
KIOTO Clear Energy S.A. de C.V. Kioto Clear Energy FP 7.25.0 V,2009046A ,Glazed Flat-Plate,0,0.0514,2.57,0.679,2.85,0.11
KIOTO Clear Energy S.A. de C.V. KIOTO Clear Energy FP 1.20.0 HE sc,2009077A ,Glazed Flat-Plate,0,0.043,2.03,0.679,3.59,0.02
KIOTO Clear Energy S.A. de C.V. KIOTO Clear Energy FP 1.20.0 LE sc,2009076A ,Glazed Flat-Plate,0,0.044,2.03,0.666,3.72,-0.03
Lochinvar Corporation Lochinvar TiSun SLV030   SLH030,2010062A ,Glazed Flat-Plate,0,0.051,2.55,0.733,3.39,0.17
Lochinvar Corporation Lochinvar TiSun SCH110,2010061C ,Glazed Flat-Plate,0,0.0161,10.1,0.732,3.36,0
Lochinvar Corporation Lochinvar TiSun SCH130,2010061D ,Glazed Flat-Plate,0,0.0161,12.1,0.731,3.35,0
Lochinvar Corporation Lochinvar TiSun SCH065,2010061B ,Glazed Flat-Plate,0,0.0161,6.1,0.726,3.34,0
Lochinvar Corporation Lochinvar TiSun SCH090,2010061A ,Glazed Flat-Plate,0,0.0161,8.08,0.708,3.25,0
Lumos Solar Lumos 30 Etube,2009043B ,Tubular,0,0,4.63,0.3,2,-1.8
Marathon International Baxi S-SPC 18,2006041A ,Glazed Flat-Plate,0,0.0382,1.92,0.693,4.04,0.18
Meibes System-Technik GmbH Meibes System-Technik GmbH MFK 001,2008044A ,Glazed Flat-Plate,0,0.047,2.52,0.741,3.5,0.05
Meibes System-Technik GmbH Meibes System-Technik GmbH MFK 002,2008043A ,Glazed Flat-Plate,0,0.048,2.34,0.699,2.33,0.03
Meibes System-Technik GmbH Meibes System-Technik GmbH MVK 001,2008042A ,Tubular,0,0.051,2.55,0.532,0.78,-0.46
MGL  LLC AQASOL AQASOL AZ 22,2010077A ,Glazed Flat-Plate,0,0.043,2.03,0.679,3.59,0.02
Mr. Sun Solar Sol-Reliant AE-40,2004008B ,Glazed Flat-Plate,0,0.0388,3.7,0.691,3.4,0.19
Mr. Sun Solar Sol-Reliant AE-56,2004008A ,Glazed Flat-Plate,0,0.0388,5.18,0.691,3.4,0.19
Mr. Sun Solar Sol-Reliant AE-50,2004008C ,Glazed Flat-Plate,0,0.0388,4.66,0.691,3.4,0.19
Newmag Solar  LLC Newmag Solar SP-S58 1800A-30,2010039Ci ,Tubular,0,0,5.12,0.3,2,-1.8
Newmag Solar  LLC Newmag Solar SP-S58 1800A-22,2010039Bi ,Tubular,0,0,3.84,0.3,2,-1.8
Newmag Solar  LLC Newmag Solar SP-S58 1800A-10,2010039Ai ,Tubular,0,0,1.61,0.3,2,-1.8
Next Generation Energy  LLC Next Generation Energy  LLC NGE-224-TU,2008040B ,Tubular,0,0.047,3.48,0.485,1.15,-1.4
Next Generation Energy  LLC Next Generation Energy  LLC NGE-216-TU,2008040A ,Tubular,0,0.047,2.33,0.485,1.15,-1.4
NTS Solar NTS PS-10DF,2010103A ,Tubular,0,0.0346,1.62,0.487,1.1,0.06
NTS Solar NTS PS-30DF,2010103C ,Tubular,0,0.0346,4.79,0.487,1.1,0.06
NTS Solar NTS PS-20DF,2010103B ,Tubular,0,0.0346,3.18,0.487,1.1,0.06
NTS Solar NTS PS-20HP,2010104B ,Tubular,0,0.1,3.25,0.429,1.37,0.12
NTS Solar NTS PS-30HP,2010104A ,Tubular,0,0.1,4.96,0.429,1.37,0.12
NTS Solar NTS PS-10HP,2010104C ,Tubular,0,0.1,1.6,0.429,1.37,0.12
Oventrop Corporation OVF-32 540-04-08,2009023B ,Glazed Flat-Plate,0,0.0388,3.03,0.691,3.4,0.19
Oventrop Corporation OVF-40 540 04 10,2009023C ,Glazed Flat-Plate,0,0.0388,3.92,0.691,3.4,0.19
Oventrop Corporation OVF-21 540 03 07,2009023A ,Glazed Flat-Plate,0,0.0388,2,0.691,3.4,0.19
Oventrop Corporation  540 00 18-LI,2010034A ,Glazed Flat-Plate,0,0.04076,2.04,0.667,4.85,0
Oventrop Corporation  540 00 18-TT,2010033A ,Glazed Flat-Plate,0,0.041,2.04,0.626,3.71,0.34
Oventrop Corporation Oventrop Solar OV 5-8 AS AB,2006027A ,Tubular,0,0.041,2.03,0.489,1.59,-0.95
