Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed,Version
NSRDB,757516,-,-,-,41.57,-93.62,-6,263,-6,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,v2.0.1
Year,Month,Day,Hour,Minute,Dew Point,DHI,DNI,GHI,Pressure,Temperature,Wind Direction,Wind Speed
2005,11,18,11,0,-2.106964111328125,83,850,476,988,6.853814697265648,243,3
2005,11,18,12,0,-0.739654541015625,84,866,505,987,8.246240234375023,242,4
2005,11,18,13,0,-0.291015625,82,854,476,986,8.703027343750023,239,4
2005,11,18,14,0,-0.503997802734375,75,809,391,985,8.486535644531273,234,4
2005,11,18,15,0,-1.460601806640625,61,716,260,984,7.512994384765648,229,4
2005,11,18,16,0,-3.474029541015625,29,590,107,983,5.461694335937523,225,5
2005,11,18,17,0,-4.99102783203125,0,0,0,983,3.9137207031250227,221,5
2005,11,18,18,0,-5.5159912109375,0,0,0,982,3.3775878906250227,218,5
2005,11,18,19,0,-5.934661865234375,0,0,0,982,2.9498535156250227,215,5
2005,11,18,20,0,-6.248931884765625,0,0,0,981,2.6286865234375227,213,6
2005,11,18,21,0,-6.533843994140625,0,0,0,981,2.3373962402343977,212,6
2005,11,18,22,0,-6.77935791015625,0,0,0,980,2.0864501953125227,212,6
2005,11,18,23,0,-6.986053466796875,0,0,0,979,1.8750244140625227,213,6
2005,11,19,0,0,-7.216949462890625,0,0,0,979,1.6388183593750227,214,6
2005,11,19,1,0,-7.550506591796875,0,0,0,978,1.2973266601562727,216,6
2005,11,19,2,0,-8.005523681640625,0,0,0,978,0.8311401367187727,221,6
2005,11,19,3,0,-8.33551025390625,0,0,0,978,0.49273071289064774,228,5
2005,11,19,4,0,-8.7032470703125,0,0,0,978,0.11553344726564774,234,5
2005,11,19,5,0,-9.126007080078125,0,0,0,978,-0.31848754882810226,239,4
2005,11,19,6,0,-9.363677978515625,0,0,0,978,-0.5625976562499773,246,4
2005,11,19,7,0,-9.04058837890625,0,0,0,978,-0.23084106445310226,259,3
2005,11,19,8,0,-6.73431396484375,43,259,77,978,2.1329895019531477,276,3
2005,11,19,9,0,-4.4302978515625,105,42,117,979,4.487207031250023,291,2
2005,11,19,10,0,-2.2391357421875,159,59,182,980,6.721093750000023,306,3
2005,11,19,11,0,-1.057891845703125,172,20,182,980,7.923760986328148,318,3
2005,11,19,12,0,-0.613494873046875,132,0,132,981,8.375909423828148,325,3
2005,11,19,13,0,-0.849456787109375,64,0,64,981,8.135797119140648,330,3
2005,11,19,14,0,-1.40179443359375,88,0,88,981,7.573449707031273,334,3
2005,11,19,15,0,-2.012664794921875,46,0,46,982,6.951165771484398,339,3
2005,11,19,16,0,-3.055450439453125,31,0,31,983,5.888482666015648,343,3
2005,11,19,17,0,-4.087799072265625,0,0,0,984,4.835321044921898,347,3
2005,11,19,18,0,-4.727996826171875,0,0,0,985,4.181726074218773,349,4
2005,11,19,19,0,-5.399139404296875,0,0,0,985,3.4961181640625227,352,4
2005,11,19,20,0,-6.1917724609375,0,0,0,986,2.6856628417968977,352,4
2005,11,19,21,0,-6.9971923828125,0,0,0,987,1.8612304687500227,352,3
2005,11,19,22,0,-7.820953369140625,0,0,0,987,1.0172363281250227,352,3
2005,11,19,23,0,-8.675872802734375,0,0,0,987,0.14016113281252274,350,3
2005,11,20,0,0,-9.48760986328125,0,0,0,988,-0.6939147949218523,349,3
2005,11,20,1,0,-10.133209228515625,0,0,0,988,-1.3581909179687273,347,3
2005,11,20,2,0,-10.640472412109375,0,0,0,989,-1.8808654785156023,345,3
2005,11,20,3,0,-11.021881103515625,0,0,0,989,-2.2739318847656023,343,2
2005,11,20,4,0,-11.31109619140625,0,0,0,988,-2.5723022460937273,341,2
2005,11,20,5,0,-11.46063232421875,0,0,0,989,-2.7266906738281023,338,2
2005,11,20,6,0,-11.52557373046875,0,0,0,989,-2.7938903808593523,335,2
2005,11,20,7,0,-11.30340576171875,0,0,0,989,-2.5646728515624773,331,2
2005,11,20,8,0,-9.084075927734375,40,4,41,989,-0.27976074218747726,326,1
2005,11,20,9,0,-6.7772216796875,70,0,70,989,2.0855346679687727,312,1
2005,11,20,10,0,-3.9786376953125,150,34,163,989,4.945397949218773,280,1
2005,11,20,11,0,-2.86065673828125,138,0,138,989,6.085656738281273,264,1
2005,11,20,12,0,-2.322357177734375,161,4,163,988,6.634393310546898,260,2
2005,11,20,13,0,-2.224822998046875,153,2,154,987,6.733880615234398,259,2
2005,11,20,14,0,-2.659149169921875,86,0,86,987,6.291436767578148,258,2
2005,11,20,15,0,-3.675048828125,44,0,44,986,5.255853271484398,257,2
2005,11,20,16,0,-5.594207763671875,42,477,102,986,3.2964416503906477,255,2
2005,11,20,17,0,-7.46563720703125,0,0,0,987,1.3814636230468977,253,2
2005,11,20,18,0,-8.081085205078125,0,0,0,987,0.7504821777343977,252,3
2005,11,20,19,0,-8.495880126953125,0,0,0,987,0.32509765625002274,250,3
2005,11,20,20,0,-8.752532958984375,0,0,0,986,0.06170043945314774,248,3
2005,11,20,21,0,-9.022216796875,0,0,0,986,-0.21509399414060226,246,3
2005,11,20,22,0,-9.501129150390625,0,0,0,985,-0.7069458007812273,247,3
2005,11,20,23,0,-9.6439208984375,0,0,0,985,-0.8536437988281023,251,3
2005,11,21,0,0,-9.35272216796875,0,0,0,985,-0.5541442871093523,257,3
2005,11,21,1,0,-9.161376953125,0,0,0,985,-0.35748901367185226,266,3
2005,11,21,2,0,-9.234771728515625,0,0,0,984,-0.43262329101560226,272,3
2005,11,21,3,0,-9.386566162109375,0,0,0,983,-0.5883850097656023,280,3
2005,11,21,4,0,-9.385955810546875,0,0,0,983,-0.5875610351562273,289,4
2005,11,21,5,0,-9.12225341796875,0,0,0,983,-0.31647338867185226,299,4
2005,11,21,6,0,-8.736785888671875,0,0,0,982,0.07949218750002274,308,4
2005,11,21,7,0,-8.478851318359375,0,0,0,982,0.34432373046877274,316,4
2005,11,21,8,0,-6.9549560546875,41,41,47,982,1.9058776855468977,326,3
2005,11,21,9,0,-4.53240966796875,95,308,178,983,4.381921386718773,337,3
2005,11,21,10,0,-1.778167724609375,151,288,260,983,7.189843750000023,344,4
2005,11,21,11,0,0.205169677734375,165,15,171,983,9.208337402343773,345,4
2005,11,21,12,0,1.424530029296875,209,209,309,983,10.448236083984398,344,5
2005,11,21,13,0,1.511077880859375,199,135,260,982,10.536279296875023,344,5
2005,11,21,14,0,1.10992431640625,120,476,302,983,10.128472900390648,343,5
2005,11,21,15,0,-0.055694580078125,45,711,237,983,8.943017578125023,343,5
2005,11,21,16,0,-1.81634521484375,42,477,102,983,7.150872802734398,343,5
2005,11,21,17,0,-2.999237060546875,0,0,0,984,5.945550537109398,343,5
2005,11,21,18,0,-3.7105712890625,0,0,0,984,5.220117187500023,344,5
2005,11,21,19,0,-4.53973388671875,0,0,0,985,4.373895263671898,345,5
2005,11,21,20,0,-5.36956787109375,0,0,0,985,3.5263610839843977,345,5
2005,11,21,21,0,-6.021331787109375,0,0,0,985,2.8602233886718977,345,4
2005,11,21,22,0,-6.71990966796875,0,0,0,985,2.1456237792968977,346,4
2005,11,21,23,0,-7.65277099609375,0,0,0,985,1.1903015136718977,346,4
2005,11,22,0,0,-8.59027099609375,0,0,0,985,0.22884521484377274,345,3
2005,11,22,1,0,-9.35198974609375,0,0,0,985,-0.5535644531249773,342,3
2005,11,22,2,0,-10.0911865234375,0,0,0,985,-1.3137573242187273,340,3
2005,11,22,3,0,-10.625732421875,0,0,0,985,-1.8641113281249773,338,3
2005,11,22,4,0,-11.149322509765625,0,0,0,985,-2.4037231445312273,335,3
2005,11,22,5,0,-11.69189453125,0,0,0,984,-2.9635375976562273,330,2
2005,11,22,6,0,-12.033447265625,0,0,0,985,-3.3165649414062273,324,2
2005,11,22,7,0,-11.654144287109375,0,0,0,985,-2.9247192382812273,319,2
2005,11,22,8,0,-9.948974609375,33,0,33,985,-1.1672424316406023,313,2
2005,11,22,9,0,-7.45257568359375,80,0,80,985,1.3955017089843977,303,1
