climate.location,weather_file
pv.mod.sandia.vmpo,snl_vmpo
pv.mod.sandia.voco,snl_voco
pv.inv.model_type,inverter_model
pv.inv.sandia.c0,inv_snl_c0
pv.inv.sandia.c1,inv_snl_c1
pv.inv.sandia.c2,inv_snl_c2
pv.inv.sandia.c3,inv_snl_c3
pv.inv.sandia.paco,inv_snl_paco
pv.inv.sandia.pdco,inv_snl_pdco
pv.inv.sandia.pnt,inv_snl_pnt
pv.inv.sandia.pso,inv_snl_pso
pv.inv.sandia.vdco,inv_snl_vdco
pv.inv.sandia.vdcmax,inv_snl_vdcmax
pv.inv.ds.paco,inv_ds_paco
pv.inv.ds.eff,inv_ds_eff
pv.inv.ds.pnt,inv_ds_pnt
pv.inv.ds.pso,inv_ds_pso
pv.inv.ds.vdco,inv_ds_vdco
pv.inv.ds.vdcmax,inv_ds_vdcmax
pv.inv.pd.paco,inv_pd_paco
pv.inv.pd.pdco,inv_pd_pdco
nOt A sAmsIm vArIAblE,inv_pd_partload
nOt A sAmsIm vArIAblE,inv_pd_efficiency
pv.inv.pd.pnt,inv_pd_pnt
pv.inv.pd.vdco,inv_pd_vdco
pv.inv.pd.vdcmax,inv_pd_vdcmax
pv.shading.utility.enabled,self_shading_enabled
pv.shading.utility.length,self_shading_length
pv.shading.utility.width,self_shading_width
pv.shading.utility.mod_orient,self_shading_mod_orient
pv.shading.utility.str_orient,self_shading_str_orient
pv.shading.utility.ncellx,self_shading_ncellx
pv.shading.utility.ncelly,self_shading_ncelly
pv.shading.utility.ndiode,self_shading_ndiode
pv.shading.utility.nmodx,self_shading_nmodx
pv.shading.utility.nstrx,self_shading_nstrx
pv.shading.utility.nmody,self_shading_nmody
pv.shading.utility.nrows,self_shading_nrows
pv.shading.utility.rowspace,self_shading_rowspace
pv.shading.utility.mask_angle_calc_method,self_shading_mask_angle_calc_method
