Manufacturer,Model Number,STC,PTC,Technology,A_c,N_s,BIPV,I_sc_ref,V_oc_ref,I_mp_ref,V_mp_ref,T_NOCT,gamma_pmp,alpha_sc,beta_oc,Width,Length,Bifacial,a_py,Il_py,Io_py,Rs_py,Rsh_py,Adj_py,solve_return_code,solve_pass,d_Isc,d_Imp,d_Vmp,d_Pmp,Error
Advance Power,API-M230,230.0,205.3,Mono-c-Si,1.63777,60.0,N,8.18,37.32,7.55,30.48,46.0,-0.4796,0.0043951139999999994,-0.13300848,0.995,1.646,0,1.628941177715168,8.195338480386184,8.908457047990221e-10,0.27257997350592633,145.36671864859488,10.995986522005781,4.0,first_pass,-6.514756134719745e-16,-0.002588190748140783,0.0025365956772182476,-5.816026438610937e-05,
Advance Power,API-P230,230.0,205.0,Multi-c-Si,1.63777,60.0,N,8.17,36.6,7.55,30.48,47.6,-0.4501,0.004704285999999999,-0.12231720000000001,0.995,1.646,0,1.5682341678517608,8.181367550029515,5.787991493699657e-10,0.1885265468115325,135.4963923131,14.33521453887876,4.0,first_pass,0.0,0.0006829597347608492,-0.0006869946625798207,-4.504117511531888e-06,
Advance Power,API-M235,235.0,209.8,Mono-c-Si,1.63777,60.0,N,8.26,37.5,7.59,30.96,46.0,-0.4796,0.004438098,-0.13365,0.995,1.646,0,1.6518281145974623,8.274968950891395,1.1007855408513284e-09,0.21823982924031232,120.42669288135023,12.85152629695135,4.0,first_pass,-6.451659223003331e-15,0.00011694830209672003,-0.0001170594662087538,-1.2485401781205617e-07,
Advance Power,API-P235,235.0,209.6,Multi-c-Si,1.63777,60.0,N,8.23,36.72,7.68,30.6,47.6,-0.4501,0.004738834000000001,-0.12271823999999999,0.995,1.646,0,1.5653306438583012,8.237333462845234,5.2318689429002e-10,0.18711965185038087,209.9955984255107,13.299640874766727,4.0,first_pass,0.0,0.0013266881729000202,-0.0013422818791946779,-1.737449578847241e-05,
Advance Power,API-M240,240.0,214.4,Mono-c-Si,1.63777,60.0,N,8.29,37.56,7.69,31.2,46.0,-0.4796,0.004454216999999999,-0.13386384,0.995,1.646,0,1.6514503466569905,8.299288159821664,1.0712755854217394e-09,0.19075980911430457,170.25967906839156,12.537686382193812,4.0,first_pass,0.0,-0.0018877840675604776,0.0018585441404233131,-3.274845715423344e-05,
Advance Power,API-P240,240.0,214.2,Multi-c-Si,1.63777,60.0,N,8.42,36.72,7.9,30.54,47.6,-0.4501,0.004848236,-0.12271823999999999,0.995,1.646,0,1.5588671229767872,8.425379074850317,4.889091799527406e-10,0.19308016638693526,302.23324971669865,12.45033595458315,4.0,first_pass,-1.0548437288600062e-15,-0.0006230828974254819,0.0006197175670152302,-3.75146582747102e-06,
Advance Power,API-M245,245.0,219.0,Mono-c-Si,1.63777,60.0,N,8.32,37.62,7.78,31.5,46.0,-0.4796,0.004470336000000001,-0.13407767999999998,0.995,1.646,0,1.6542933276760416,8.324975228137525,1.0876838856962143e-09,0.1544800010921462,258.3346740403551,12.616708047720795,4.0,first_pass,-1.2810265668751806e-15,-0.001949777475511881,0.0019175455417065035,-3.597072091089838e-05,
Advance Power,API-P245,245.0,218.8,Multi-c-Si,1.63777,60.0,N,8.46,36.9,8.0,30.84,47.6,-0.4501,0.004871268000000001,-0.1233198,0.995,1.646,0,1.5641716047040335,8.461762473684589,4.784456628565026e-10,0.1727123710701691,829.0321068920052,12.181847870940938,4.0,first_pass,-2.0997125761232273e-16,-0.003903695246671224,0.003773535633144437,-0.0001448903466410939,
Advance Power,API-M250,250.0,223.6,Mono-c-Si,1.63777,60.0,N,8.59,37.62,8.17,30.6,46.0,-0.4796,0.004615407,-0.13407767999999998,0.995,1.646,0,1.6201004133248855,8.590002241890112,7.068601349769509e-10,0.2607423667196891,999999.9693452594,8.413633182017579,2.0,first_pass,3.796730101442212e-13,-0.006373931720686981,0.0066324516383733335,0.00021624512380256003,
Advance Power,API-P250,250.0,223.4,Multi-c-Si,1.63777,60.0,N,8.52,37.2,8.03,31.2,47.6,-0.4501,0.0049058159999999995,-0.12432240000000001,0.995,1.646,0,1.582925774718326,8.522951841668212,5.249310241952695e-10,0.1561579110341018,450.7239393206054,12.976643221833426,4.0,first_pass,-2.2892486028890553e-12,-0.0002587319862346102,0.00025813113061439017,-6.676424003275569e-07,
Advance Power,API-M255,255.0,228.2,Mono-c-Si,1.63777,60.0,N,8.67,37.68,8.35,30.6,46.0,-0.4796,0.004658391,-0.13429152,0.995,1.646,0,1.631867977415856,8.670158021618743,8.127403933879103e-10,0.20148957826873826,11055.017946347238,9.56534954282136,2.0,first_pass,-3.651058694130619e-13,-0.013089744160351817,0.016502171338333857,0.003196417977072909,
Advance Power,API-P255,255.0,228.0,Multi-c-Si,1.63777,60.0,N,8.56,37.5,8.08,31.56,47.6,-0.4501,0.004928848,-0.125325,0.995,1.646,0,1.5974875003942204,8.562252513018377,5.423086270281036e-10,0.1413463083596437,537.1443889440758,13.227132442702784,4.0,first_pass,-1.4547034397424948e-13,0.0030867384489908435,-0.003177074029652501,-0.0001001423772242371,
Advance Power,API-M260,260.0,232.9,Mono-c-Si,1.63777,60.0,N,8.8,37.8,8.5,30.6,46.0,-0.4796,0.004728240000000001,-0.1347192,0.995,1.646,0,1.6368655274646726,8.800155384559122,8.226112405695474e-10,0.19469506484806648,11026.406427192414,9.540385260498434,2.0,first_pass,-3.47802594805299e-13,-0.022750999577998997,0.028030003947887773,0.0046412937618991274,
Advance Power,API-P260,260.0,231.5,Multi-c-Si,1.951195,72.0,N,7.83,43.2,7.24,35.93,47.6,-0.4501,0.004508514000000001,-0.1443744,0.995,1.961,0,1.8490177319711012,7.840986830584401,5.412478209789915e-10,0.23992596690187193,170.98839100966282,14.105081304694274,4.0,first_pass,-9.074619869222225e-16,-0.000606460257922799,0.0006033357180348888,-3.490439022974868e-06,
Advance Power,API-M265,265.0,235.7,Mono-c-Si,1.951195,72.0,N,8.11,44.42,7.36,36.0,47.9,-0.4485,0.004324252,-0.14409848000000003,0.995,1.961,0,1.8791908080381348,8.140946852043207,4.177729832386635e-10,0.38799957843979793,101.68002745277616,14.922097543877584,4.0,first_pass,-9.637447710679535e-15,-0.002049014931889885,0.0020171513795676312,-3.599672561894928e-05,
Advance Power,API-P265,265.0,236.0,Multi-c-Si,1.951195,72.0,N,7.95,43.27,7.33,36.14,47.6,-0.4501,0.00457761,-0.14460834,0.995,1.961,0,1.8596301454293285,7.961118143040083,6.023879539458367e-10,0.21138421659960557,151.1497603178517,14.969883894125921,4.0,first_pass,-1.4523672271825946e-15,0.0034894357821195245,-0.003598979360651946,-0.00012210198589257627,
Advance Power,API-M270,270.0,240.3,Mono-c-Si,1.951195,72.0,N,8.14,44.64,7.44,36.21,47.9,-0.4485,0.0043402480000000005,-0.14481216000000002,0.995,1.961,0,1.8819031774159458,8.165745526630062,3.892769272110789e-10,0.3845052437360585,121.56957998971899,14.208487849922351,4.0,first_pass,-2.753353101070388e-11,-0.0011501489120042936,0.0011398831202771883,-1.1576827057560586e-05,
Advance Power,API-P270,270.0,240.6,Multi-c-Si,1.951195,72.0,N,8.1,43.7,7.41,36.43,47.6,-0.4501,0.00466398,-0.14604540000000002,0.995,1.961,0,2.1586422355064503,8.139060161827757,1.0814467579575096e-08,0.14624545201673825,30.327278374966934,45.97446666733691,4.0,first_pass,0.0,-0.11491212141788236,-0.0017077893247507527,-0.1164236650483912,
Advance Power,API-M275,275.0,244.9,Mono-c-Si,1.951195,72.0,N,8.18,44.78,7.52,36.58,47.9,-0.4485,0.004361576,-0.14526632000000003,0.995,1.961,0,1.8895113350852686,8.19977439541357,4.021321104197974e-10,0.34430323877061547,142.42663934449376,14.445573833560278,4.0,first_pass,-5.407681908893037e-12,-0.002382144800689824,0.002337434546328656,-5.0278361912615506e-05,
Advance Power,API-P275,275.0,245.2,Multi-c-Si,1.951195,72.0,N,8.17,43.92,7.52,36.58,47.6,-0.4501,0.004704285999999999,-0.14678064000000002,0.995,1.961,0,1.8863055831257367,8.182916893782483,6.084426967964598e-10,0.22434235262631744,141.89767242943375,14.81398883600667,4.0,first_pass,-8.696973509915547e-16,0.0007908809541146617,-0.0007962689113864375,-6.017711188241665e-06,
Advance Power,API-M280,280.0,249.5,Mono-c-Si,1.951195,72.0,N,8.21,44.86,7.6,36.86,47.9,-0.4485,0.004377572000000001,-0.14552584000000002,0.995,1.961,0,1.8920569355312336,8.224202392545555,4.025025476945049e-10,0.31155023249472774,180.0983590348192,14.396795081789696,4.0,first_pass,-1.6621593802241904e-11,0.0033994632229781743,-0.0034995466248127992,-0.00011197998188262742,
Advance Power,API-P280,280.0,249.8,Multi-c-Si,1.951195,72.0,N,8.23,44.06,7.63,36.72,47.6,-0.4501,0.004738834000000001,-0.14724852000000002,0.995,1.961,0,1.8852444698748594,8.239970196821574,5.664777449550359e-10,0.22205429846587657,183.29698795053153,14.056554145431086,4.0,first_pass,2.594387510278373e-13,0.0014153342894914955,-0.0014329370823646952,-1.9630877860492754e-05,
Advance Power,API-M285,285.0,254.0,Mono-c-Si,1.951195,72.0,N,8.39,44.21,7.77,36.72,47.9,-0.4485,0.004473548,-0.14341724,0.995,1.961,0,1.875898750884232,8.40174673811269,4.739086637859454e-10,0.24077437019166711,171.97089985775222,15.71737004551376,4.0,first_pass,-9.527539663052595e-15,-0.0020001849412672338,0.001966633036510758,-3.748553454102928e-05,
Advance Power,API-P285,285.0,256.9,Multi-c-Si,1.951195,72.0,N,8.32,44.21,7.75,36.79,46.2,-0.4402,0.004992832000000001,-0.14522985,0.995,1.961,0,1.8684486457386293,8.328752046457947,4.306576621668952e-10,0.23468153172752876,223.0964529050987,13.359806922338521,4.0,first_pass,-3.5420384574098743e-13,-6.023179684662651e-05,6.0200193005565475e-05,-3.5229806866096234e-08,
Advance Power,API-M290,290.0,258.6,Mono-c-Si,1.951195,72.0,N,8.48,44.43,7.9,36.72,47.9,-0.4485,0.004521536,-0.14413092000000002,0.995,1.961,0,1.8736608402053134,8.489978572660018,4.172732727241059e-10,0.26818035176963123,227.90530060846658,14.408766490330018,4.0,first_pass,-3.2537913663212368e-12,0.0011563458586753047,-0.0011679168311620003,-1.2921488277708336e-05,
Advance Power,API-P290,290.0,261.5,Multi-c-Si,1.951195,72.0,N,8.46,44.28,7.96,36.79,46.2,-0.4402,0.005076846,-0.14545980000000003,0.995,1.961,0,1.85944282607089,8.464442239985166,3.806614873241127e-10,0.2423388701439107,461.52103482006305,12.043239848123871,4.0,first_pass,-1.8897413185109047e-15,-0.0016676239127816322,0.0016436476938766168,-2.6717205103495913e-05,
Advance Power,API-P295,295.0,266.1,Multi-c-Si,1.951195,72.0,N,8.49,44.42,8.0,37.01,46.2,-0.4402,0.005094849,-0.1459197,0.995,1.961,0,1.8668082423708057,8.493616028324812,3.8989141749737933e-10,0.2273968015188424,533.9004685536831,12.22374178035016,4.0,first_pass,-1.1748225739967498e-12,0.0011504573401668328,-0.00116239217044526,-1.3272112883147785e-05,
Advance Power,API-P300,300.0,270.7,Multi-c-Si,1.951195,72.0,N,8.54,44.86,8.05,37.66,46.2,-0.4402,0.005124854,-0.1473651,0.995,1.961,0,1.893026290462884,8.543068638886961,4.3203366519616086e-10,0.1871541859898734,520.8488508709738,13.107041581006257,4.0,first_pass,-1.9791610453036752e-12,0.0006800887858913209,-0.0006843285204603035,-4.705138721606474e-06,
Advance Power,API-P305,305.0,275.4,Multi-c-Si,1.951195,72.0,N,8.56,45.0,8.08,37.87,46.2,-0.4402,0.005136856,-0.147825,0.995,1.961,0,1.9001308486761508,8.562450132080375,4.401700472371073e-10,0.17432166630681611,609.0258543100819,13.251881910479705,4.0,first_pass,-2.0751832235984234e-16,0.0030364929258073674,-0.0031244295656456277,-9.74239481115791e-05,
Advance Power,API-P310,310.0,277.3,Multi-c-Si,1.951195,72.0,N,8.62,45.22,8.16,38.02,47.6,-0.4501,0.004963396,-0.15112524,0.995,1.961,0,1.922255382413365,8.621314312506998,5.212563713276657e-10,0.17551296067560437,1151.1131722075531,12.78924786924764,4.0,first_pass,-2.0607387928077153e-16,0.0021592788002313197,-0.002203008660224775,-4.8486769890339756e-05,
Advance Power,API-P315,315.0,281.9,Multi-c-Si,1.951195,72.0,N,8.67,45.58,8.24,38.45,47.6,-0.4501,0.004992186,-0.15232836,0.995,1.961,0,1.9369989783006765,8.670009300656798,5.230145277300056e-10,0.15903732292001896,148261.98009419083,12.752331251016333,4.0,first_pass,-2.0836850123068682e-13,-0.0025052493231177103,0.0024489225962417826,-6.24618885525284e-05,
Advance Power,API-P320,320.0,288.7,Multi-c-Si,1.94,72.0,N,9.38,45.51,8.75,36.59,47.69,-0.42,0.004690000000000001,-0.145632,,,0,1.8277110862434502,9.395964606506988,1.412471412035408e-10,0.4005887081140009,235.3657953842325,5.457233575336352,4.0,first_pass,-5.037429843075337e-14,-0.0017275435209918603,0.0017039899778241992,-2.649726001364315e-05,
Advance Power,API-P325,325.0,293.4,Multi-c-Si,1.94,72.0,N,9.44,45.79,8.81,36.88,47.69,-0.42,0.00472,-0.146528,,,0,1.8403489993664293,9.455412523580435,1.4490430009508047e-10,0.39183891957415146,239.99701319263525,5.619422420359781,4.0,first_pass,-2.0567351964666036e-13,5.8206015783225256e-05,-5.8233487166919445e-05,-3.0860922947400775e-08,
Advance Power,API-M330,330.0,302.4,Mono-c-Si,1.94,72.0,N,9.57,46.76,8.75,37.71,44.58,-0.42,0.0038280000000000002,-0.14028,,,0,1.8782044929573198,9.606055909181267,1.4110440291672723e-10,0.39294308359316454,104.29539816458711,12.552372728373932,4.0,first_pass,-1.856172245977273e-16,0.0013363507426147083,-0.0013508246437401532,-1.6279076641259573e-05,
Advance Power,API-P330,330.0,298.0,Multi-c-Si,1.94,72.0,N,9.5,46.08,8.87,37.22,47.69,-0.42,0.004750000000000001,-0.147456,,,0,1.8545637334496166,9.514742576056802,1.50950624956238e-10,0.3777410053186933,243.41334609290845,5.913281977164679,4.0,first_pass,-7.591588176805281e-14,0.0028488177954134777,-0.0029175336922849025,-7.702741877276329e-05,
Advance Power,API-M335,335.0,307.1,Mono-c-Si,1.94,72.0,N,9.61,47.04,8.82,37.98,44.58,-0.42,0.0038439999999999998,-0.14112,,,0,1.8868722859099445,9.642130538438485,1.375601974225539e-10,0.3879317144076514,116.02743233655329,12.270439460413943,4.0,first_pass,0.0,0.0024625397599115978,-0.0025128025700561977,-5.645068638217627e-05,
Advance Power,API-P335,335.0,302.7,Multi-c-Si,1.94,72.0,N,9.56,46.37,8.94,37.55,47.69,-0.42,0.00478,-0.14838400000000002,,,0,1.8674042078030457,9.573102996105542,1.545275739573512e-10,0.3652093514705903,266.4582663237074,6.054766076694603,4.0,first_pass,-7.61826677985463e-15,-0.0028944499315915785,0.0028275498440557397,-7.508428898845835e-05,
Advance Power,API-M340,340.0,311.8,Mono-c-Si,1.94,72.0,N,9.64,47.18,8.96,38.32,44.58,-0.42,0.0038560000000000005,-0.14154,,,0,1.8862342479091858,9.65897249593961,1.2888739033426714e-10,0.3586593911534742,182.23625738273012,11.608569810026566,4.0,first_pass,-4.829700493846531e-13,0.00015741992081085604,-0.00015762704740015826,-2.3194022670933194e-07,
Advance Power,API-M345,345.0,315.8,Mono-c-Si,1.94,72.0,N,9.72,47.28,8.98,38.4,44.6,-0.43,0.0038880000000000004,-0.14184,,,0,1.9163111001523923,9.743741252569448,1.814428788835286e-10,0.35147468608065724,143.89864584178102,14.666712116471313,4.0,first_pass,1.246903814767898e-11,0.00012570272833680831,-0.0001258389261745337,-1.520161340698543e-07,
Advance Power,API-M350,350.0,320.5,Mono-c-Si,1.94,72.0,N,9.81,47.37,9.1,38.48,44.6,-0.43,0.003924,-0.14211,,,0,1.916039192933934,9.83034389103705,1.749519876467694e-10,0.34834172972999017,167.97339838274996,14.229995839445955,4.0,first_pass,-1.8994886080844676e-13,0.00030445420689554443,-0.00030522262065889576,-8.613400741829495e-07,
Advance Power,API-M355,355.0,325.5,Mono-c-Si,1.94,72.0,N,9.9,47.47,9.21,38.55,46.67,-0.386,0.004158,-0.1338654,,,0,1.826791635158865,9.921142218228995,5.0004175106332835e-11,0.3683274706327113,172.47206393489014,9.805509084262125,4.0,first_pass,0.0,1.392603324856101e-05,-1.3927697838579015e-05,-1.8585476731731752e-09,
Advance Power,API-M360,360.0,330.2,Mono-c-Si,1.94,72.0,N,9.99,47.56,9.32,38.63,46.67,-0.386,0.0041958,-0.1341192,,,0,1.827852798768204,10.008590247119857,4.8927131720766306e-11,0.3648973852642902,196.08802998813167,9.521476939925584,4.0,first_pass,-2.5274410525760922e-12,0.000192526335034644,-0.00019284660702897837,-3.574000447518677e-07,
Advance Power,API-M365,365.0,334.9,Mono-c-Si,1.94,72.0,N,10.08,47.66,9.43,38.71,46.67,-0.386,0.0042336000000000006,-0.13440119999999997,,,0,1.829155848427646,10.096081386932982,4.777224101575754e-11,0.3625990860537815,227.281320440718,9.220331012688732,4.0,first_pass,-7.0490350769851205e-16,0.00016101555836852758,-0.00016124026706942557,-2.506708926255871e-07,
Advance Power,API-M370,370.0,339.6,Mono-c-Si,1.94,72.0,N,10.17,47.75,9.54,38.78,46.67,-0.386,0.0042714,-0.134655,,,0,1.8300894808297294,10.183575419865418,4.6649467159290595e-11,0.3604817362755912,270.05421379650426,8.921736963700894,4.0,first_pass,0.0,8.128253127230546e-05,-8.133992821311401e-05,-6.40084560203065e-08,
Advanced Solar Power (Hangzhou),ASP-S1-80,80.0,75.2,Thin Film,0.72,145.0,N,0.95,118.9,0.85,94.1,45.2,-0.2634,0.00085215,-0.36359620000000004,0.6,1.2,0,4.258498282267062,0.9583230062492102,6.609643168027976e-13,13.828683656431565,1578.4260040293264,-14.36847465920042,4.0,first_pass,4.791488843119097e-14,-0.0006668000254913607,0.0006632955088476135,-3.946802106045731e-06,
AE Solar GmbH,AE420CMD-108BDE,420.0,398.3,Mono-c-Si,1.95,54.0,N,13.58,39.7,13.28,31.6,43.8,-0.293,0.004753,-0.09528,,,0,1.3368842435041464,13.580004074838463,1.7223709340309733e-12,0.25889825329855787,862821.2565735326,-4.402189169946739,2.0,first_pass,-1.4127138339854717e-14,-0.024769955065600223,0.020240421374564808,-0.0050308880189922234,
AE Solar GmbH,AE425CMD-108BDE,425.0,403.1,Mono-c-Si,1.95,54.0,N,13.68,39.8,13.38,31.8,43.8,-0.293,0.004788000000000001,-0.09552,,,0,1.3422862797895116,13.680004007375741,1.814935868222668e-12,0.25098990622795325,856810.1746372904,-4.043126014314502,2.0,first_pass,-1.0907454277019083e-14,-0.022446789830486875,0.016377527331053833,-0.006436885413376232,
AE Solar GmbH,AE430CMD-108BDE,430.0,408.0,Mono-c-Si,1.95,54.0,N,13.78,40.0,13.48,31.9,43.8,-0.293,0.004823000000000001,-0.096,,,0,1.3481640943609523,13.780004015583689,1.7936588377179825e-12,0.2511898691194234,861995.4429561679,-4.19543085100026,2.0,first_pass,-1.340646671245472e-14,-0.022828299716251017,0.01828280490627175,-0.004962860160033413,
AE Solar GmbH,AE435CMD-108BDE,435.0,412.9,Mono-c-Si,1.95,54.0,N,13.88,40.1,13.58,32.0,43.8,-0.293,0.004858,-0.09624,,,0,1.3519117219065209,13.880004107226712,1.821694163389201e-12,0.25290039167895106,854658.6034825091,-4.129357024483465,2.0,first_pass,-1.0366347549814142e-14,-0.024184014606587003,0.0176384228187918,-0.006972159662882032,
AE Solar GmbH,AE440CMD-108BDE,440.0,417.7,Mono-c-Si,1.95,54.0,N,13.98,40.2,13.68,32.2,43.8,-0.293,0.004893000000000001,-0.09648,,,0,1.3573908365848297,13.98000382219366,1.9213048718982297e-12,0.23558435605959388,861674.3476584363,-3.761073283936499,2.0,first_pass,-1.2452286857026076e-14,-0.02624575967826375,0.022218516820209283,-0.004610384710925181,
AE Solar GmbH,AE570CMD-144BDS,570.0,542.9,Mono-c-Si,2.58,72.0,N,13.91,51.2,13.4,42.5,43.2,-0.282,0.0045903,-0.124416,,,0,1.7143303488161368,13.910003420943005,1.4884514911446636e-12,0.22629528725630238,920147.971275759,-6.887574542765899,2.0,first_pass,-7.036467422786038e-14,-0.0023400839673262713,0.0025740228977497283,0.00022791550070884383,
AE Solar GmbH,AE575CMD-144BDS,575.0,547.7,Mono-c-Si,2.58,72.0,N,13.98,51.3,13.47,42.7,43.2,-0.282,0.0046134,-0.124659,,,0,1.745567810689548,13.98000618095752,2.4107171859314766e-12,0.2290465387866942,518055.19984990335,-3.1170231744133186,4.0,first_pass,0.0,-0.005590163595366925,-0.00017289345048191512,-0.0057620905431760685,
AE Solar GmbH,AE580CMD-144BDS,580.0,552.6,Mono-c-Si,2.58,72.0,N,14.05,51.5,13.54,42.8,43.2,-0.282,0.004636500000000001,-0.125145,,,0,1.7526603083625376,14.050006352319242,2.43448239597527e-12,0.23409116262787377,517761.7311495633,-3.0783467967440714,4.0,first_pass,1.264310917722598e-16,-0.00746696471509485,0.001379915950573957,-0.006097352548233726,
AE Solar GmbH,AE585CMD-144BDS,585.0,557.5,Mono-c-Si,2.58,72.0,N,14.13,51.6,13.61,43.0,43.2,-0.282,0.0046629,-0.125388,,,0,1.7302460406005131,14.130124132698729,1.5790781686628576e-12,0.22819225054049697,25975.081035313957,-6.549044723951956,4.0,first_pass,5.042439690611751e-13,-0.0035877725110916186,-0.0013422818791946221,-0.004925238588257937,
AE Solar GmbH,AE590CMD-144BDS,590.0,562.3,Mono-c-Si,2.58,72.0,N,14.19,51.8,13.68,43.1,43.2,-0.282,0.004682700000000001,-0.125874,,,0,1.736423409542374,14.190083781192358,1.5715122432544212e-12,0.23342598161588857,39535.308988999925,-6.6196942360049125,4.0,first_pass,5.201383134396083e-13,-0.006043448888695176,0.00020243230196659325,-0.00584223997599906,
AE Solar GmbH,AE595CMD-144BDS,595.0,567.2,Mono-c-Si,2.58,72.0,N,14.26,51.9,13.75,43.3,43.2,-0.282,0.0047058000000000004,-0.126117,,,0,1.7418478575226488,14.260003150109283,1.6364552986616821e-12,0.20349777358425886,921201.0138406261,-6.342458477160937,2.0,first_pass,-6.502512413512839e-14,-0.0051356793260069365,0.005548925089511413,0.0003847482636406429,
AEG SOLAR ENERGY SRL,ALPS54D30-420/TP,420.0,395.6,Mono-c-Si,1.99,54.0,N,13.88,38.7,13.06,32.15,45.5,-0.299,0.0059684,-0.097911,,,0,1.9135918427271623,13.880065041721654,9.990000228394567e-14,2.370759589415547,529837.3846508036,-99.99999507055792,4.0,first_pass,1.279795993804215e-16,-0.15816819801615178,0.03407892951454488,-0.1294794713732419,
AEG SOLAR ENERGY SRL,ALPS54D30-425/TP,425.0,400.5,Mono-c-Si,1.99,54.0,N,13.94,38.9,13.14,32.35,45.5,-0.299,0.005994199999999999,-0.098417,,,0,1.3570964693840326,13.956157225535438,4.873964440084385e-12,0.172584193460916,148.9007911820473,-1.4547319092692466,4.0,first_pass,2.474284128452989e-12,-0.0007210064231535288,0.0007157453606213472,-5.7771195345313015e-06,
AEG SOLAR ENERGY SRL,ALPS54D30-430/TP,430.0,405.3,Mono-c-Si,1.99,54.0,N,14.01,39.1,13.21,32.55,45.5,-0.299,0.0060243,-0.09892300000000001,,,0,1.924097631069263,14.01043068545113,9.990000148635518e-14,2.4059907337473123,79009.50132519155,-37.63837454783704,4.0,first_pass,0.0,-0.16917853331906552,0.023866225425004505,-0.14934996090732544,
