Name,Manufacturer,Technology,Bifacial,STC,PTC,A_c,Length,Width,N_s,I_sc_ref,V_oc_ref,I_mp_ref,V_mp_ref,alpha_sc,beta_oc,T_NOCT,a_ref,I_L_ref,I_o_ref,R_s,R_sh_ref,Adjust,gamma_pmp,BIPV,Version,Date,solve_return_code,solve_pass
Advance Power API-M250,Advance Power,Mono-c-Si,0,250.0,223.6,1.63777,1.646,0.995,60.0,8.59,37.62,8.17,30.6,0.004615407,-0.13407767999999998,46.0,1.6201004133248855,8.590002241890112,7.068601349769509e-10,0.2607423667196891,999999.9693452594,8.413633182017579,-0.4796,N,2025.7.3,6/23/2025,2.0,first_pass
Advance Power API-P250,Advance Power,Multi-c-Si,0,250.0,223.4,1.63777,1.646,0.995,60.0,8.52,37.2,8.03,31.2,0.0049058159999999995,-0.12432240000000001,47.6,1.582925774718326,8.522951841668212,5.249310241952695e-10,0.1561579110341018,450.7239393206054,12.976643221833426,-0.4501,N,2025.7.3,6/23/2025,4.0,first_pass
Advance Power API-M255,Advance Power,Mono-c-Si,0,255.0,228.2,1.63777,1.646,0.995,60.0,8.67,37.68,8.35,30.6,0.004658391,-0.13429152,46.0,1.631867977415856,8.670158021618743,8.127403933879103e-10,0.20148957826873826,11055.017946347238,9.56534954282136,-0.4796,N,2025.7.3,6/23/2025,2.0,first_pass
Advance Power API-P255,Advance Power,Multi-c-Si,0,255.0,228.0,1.63777,1.646,0.995,60.0,8.56,37.5,8.08,31.56,0.004928848,-0.125325,47.6,1.5974875003942204,8.562252513018377,5.423086270281036e-10,0.1413463083596437,537.1443889440758,13.227132442702784,-0.4501,N,2025.7.3,6/23/2025,4.0,first_pass
Advance Power API-M260,Advance Power,Mono-c-Si,0,260.0,232.9,1.63777,1.646,0.995,60.0,8.8,37.8,8.5,30.6,0.004728240000000001,-0.1347192,46.0,1.6368655274646726,8.800155384559122,8.226112405695474e-10,0.19469506484806648,11026.406427192414,9.540385260498434,-0.4796,N,2025.7.3,6/23/2025,2.0,first_pass
Advance Power API-P260,Advance Power,Multi-c-Si,0,260.0,231.5,1.951195,1.961,0.995,72.0,7.83,43.2,7.24,35.93,0.004508514000000001,-0.1443744,47.6,1.8490177319711012,7.840986830584401,5.412478209789915e-10,0.23992596690187193,170.98839100966282,14.105081304694274,-0.4501,N,2025.7.3,6/23/2025,4.0,first_pass
Advance Power API-M265,Advance Power,Mono-c-Si,0,265.0,235.7,1.951195,1.961,0.995,72.0,8.11,44.42,7.36,36.0,0.004324252,-0.14409848000000003,47.9,1.8791908080381348,8.140946852043207,4.177729832386635e-10,0.38799957843979793,101.68002745277616,14.922097543877584,-0.4485,N,2025.7.3,6/23/2025,4.0,first_pass
Advance Power API-P265,Advance Power,Multi-c-Si,0,265.0,236.0,1.951195,1.961,0.995,72.0,7.95,43.27,7.33,36.14,0.00457761,-0.14460834,47.6,1.8596301454293285,7.961118143040083,6.023879539458367e-10,0.21138421659960557,151.1497603178517,14.969883894125921,-0.4501,N,2025.7.3,6/23/2025,4.0,first_pass
Advance Power API-M270,Advance Power,Mono-c-Si,0,270.0,240.3,1.951195,1.961,0.995,72.0,8.14,44.64,7.44,36.21,0.0043402480000000005,-0.14481216000000002,47.9,1.8819031774159458,8.165745526630062,3.892769272110789e-10,0.3845052437360585,121.56957998971899,14.208487849922351,-0.4485,N,2025.7.3,6/23/2025,4.0,first_pass
Advance Power API-M275,Advance Power,Mono-c-Si,0,275.0,244.9,1.951195,1.961,0.995,72.0,8.18,44.78,7.52,36.58,0.004361576,-0.14526632000000003,47.9,1.8895113350852686,8.19977439541357,4.021321104197974e-10,0.34430323877061547,142.42663934449376,14.445573833560278,-0.4485,N,2025.7.3,6/23/2025,4.0,first_pass
Advance Power API-P275,Advance Power,Multi-c-Si,0,275.0,245.2,1.951195,1.961,0.995,72.0,8.17,43.92,7.52,36.58,0.004704285999999999,-0.14678064000000002,47.6,1.8863055831257367,8.182916893782483,6.084426967964598e-10,0.22434235262631744,141.89767242943375,14.81398883600667,-0.4501,N,2025.7.3,6/23/2025,4.0,first_pass
Advance Power API-M280,Advance Power,Mono-c-Si,0,280.0,249.5,1.951195,1.961,0.995,72.0,8.21,44.86,7.6,36.86,0.004377572000000001,-0.14552584000000002,47.9,1.8920569355312336,8.224202392545555,4.025025476945049e-10,0.31155023249472774,180.0983590348192,14.396795081789696,-0.4485,N,2025.7.3,6/23/2025,4.0,first_pass
Advance Power API-P280,Advance Power,Multi-c-Si,0,280.0,249.8,1.951195,1.961,0.995,72.0,8.23,44.06,7.63,36.72,0.004738834000000001,-0.14724852000000002,47.6,1.8852444698748594,8.239970196821574,5.664777449550359e-10,0.22205429846587657,183.29698795053153,14.056554145431086,-0.4501,N,2025.7.3,6/23/2025,4.0,first_pass
Advance Power API-M285,Advance Power,Mono-c-Si,0,285.0,254.0,1.951195,1.961,0.995,72.0,8.39,44.21,7.77,36.72,0.004473548,-0.14341724,47.9,1.875898750884232,8.40174673811269,4.739086637859454e-10,0.24077437019166711,171.97089985775222,15.71737004551376,-0.4485,N,2025.7.3,6/23/2025,4.0,first_pass
Advance Power API-P285,Advance Power,Multi-c-Si,0,285.0,256.9,1.951195,1.961,0.995,72.0,8.32,44.21,7.75,36.79,0.004992832000000001,-0.14522985,46.2,1.8684486457386293,8.328752046457947,4.306576621668952e-10,0.23468153172752876,223.0964529050987,13.359806922338521,-0.4402,N,2025.7.3,6/23/2025,4.0,first_pass
Advance Power API-M290,Advance Power,Mono-c-Si,0,290.0,258.6,1.951195,1.961,0.995,72.0,8.48,44.43,7.9,36.72,0.004521536,-0.14413092000000002,47.9,1.8736608402053134,8.489978572660018,4.172732727241059e-10,0.26818035176963123,227.90530060846658,14.408766490330018,-0.4485,N,2025.7.3,6/23/2025,4.0,first_pass
Advance Power API-P290,Advance Power,Multi-c-Si,0,290.0,261.5,1.951195,1.961,0.995,72.0,8.46,44.28,7.96,36.79,0.005076846,-0.14545980000000003,46.2,1.85944282607089,8.464442239985166,3.806614873241127e-10,0.2423388701439107,461.52103482006305,12.043239848123871,-0.4402,N,2025.7.3,6/23/2025,4.0,first_pass
Advance Power API-P295,Advance Power,Multi-c-Si,0,295.0,266.1,1.951195,1.961,0.995,72.0,8.49,44.42,8.0,37.01,0.005094849,-0.1459197,46.2,1.8668082423708057,8.493616028324812,3.8989141749737933e-10,0.2273968015188424,533.9004685536831,12.22374178035016,-0.4402,N,2025.7.3,6/23/2025,4.0,first_pass
Advance Power API-P300,Advance Power,Multi-c-Si,0,300.0,270.7,1.951195,1.961,0.995,72.0,8.54,44.86,8.05,37.66,0.005124854,-0.1473651,46.2,1.893026290462884,8.543068638886961,4.3203366519616086e-10,0.1871541859898734,520.8488508709738,13.107041581006257,-0.4402,N,2025.7.3,6/23/2025,4.0,first_pass
Advance Power API-P305,Advance Power,Multi-c-Si,0,305.0,275.4,1.951195,1.961,0.995,72.0,8.56,45.0,8.08,37.87,0.005136856,-0.147825,46.2,1.9001308486761508,8.562450132080375,4.401700472371073e-10,0.17432166630681611,609.0258543100819,13.251881910479705,-0.4402,N,2025.7.3,6/23/2025,4.0,first_pass
Advance Power API-P310,Advance Power,Multi-c-Si,0,310.0,277.3,1.951195,1.961,0.995,72.0,8.62,45.22,8.16,38.02,0.004963396,-0.15112524,47.6,1.922255382413365,8.621314312506998,5.212563713276657e-10,0.17551296067560437,1151.1131722075531,12.78924786924764,-0.4501,N,2025.7.3,6/23/2025,4.0,first_pass
Advance Power API-P315,Advance Power,Multi-c-Si,0,315.0,281.9,1.951195,1.961,0.995,72.0,8.67,45.58,8.24,38.45,0.004992186,-0.15232836,47.6,1.9369989783006765,8.670009300656798,5.230145277300056e-10,0.15903732292001896,148261.98009419083,12.752331251016333,-0.4501,N,2025.7.3,6/23/2025,4.0,first_pass
Advance Power API-P320,Advance Power,Multi-c-Si,0,320.0,288.7,1.94,,,72.0,9.38,45.51,8.75,36.59,0.004690000000000001,-0.145632,47.69,1.8277110862434502,9.395964606506988,1.412471412035408e-10,0.4005887081140009,235.3657953842325,5.457233575336352,-0.42,N,2025.7.3,6/23/2025,4.0,first_pass
Advance Power API-P325,Advance Power,Multi-c-Si,0,325.0,293.4,1.94,,,72.0,9.44,45.79,8.81,36.88,0.00472,-0.146528,47.69,1.8403489993664293,9.455412523580435,1.4490430009508047e-10,0.39183891957415146,239.99701319263525,5.619422420359781,-0.42,N,2025.7.3,6/23/2025,4.0,first_pass
Advance Power API-M330,Advance Power,Mono-c-Si,0,330.0,302.4,1.94,,,72.0,9.57,46.76,8.75,37.71,0.0038280000000000002,-0.14028,44.58,1.8782044929573198,9.606055909181267,1.4110440291672723e-10,0.39294308359316454,104.29539816458711,12.552372728373932,-0.42,N,2025.7.3,6/23/2025,4.0,first_pass
Advance Power API-P330,Advance Power,Multi-c-Si,0,330.0,298.0,1.94,,,72.0,9.5,46.08,8.87,37.22,0.004750000000000001,-0.147456,47.69,1.8545637334496166,9.514742576056802,1.50950624956238e-10,0.3777410053186933,243.41334609290845,5.913281977164679,-0.42,N,2025.7.3,6/23/2025,4.0,first_pass
Advance Power API-M335,Advance Power,Mono-c-Si,0,335.0,307.1,1.94,,,72.0,9.61,47.04,8.82,37.98,0.0038439999999999998,-0.14112,44.58,1.8868722859099445,9.642130538438485,1.375601974225539e-10,0.3879317144076514,116.02743233655329,12.270439460413943,-0.42,N,2025.7.3,6/23/2025,4.0,first_pass
Advance Power API-P335,Advance Power,Multi-c-Si,0,335.0,302.7,1.94,,,72.0,9.56,46.37,8.94,37.55,0.00478,-0.14838400000000002,47.69,1.8674042078030457,9.573102996105542,1.545275739573512e-10,0.3652093514705903,266.4582663237074,6.054766076694603,-0.42,N,2025.7.3,6/23/2025,4.0,first_pass
Advance Power API-M340,Advance Power,Mono-c-Si,0,340.0,311.8,1.94,,,72.0,9.64,47.18,8.96,38.32,0.0038560000000000005,-0.14154,44.58,1.8862342479091858,9.65897249593961,1.2888739033426714e-10,0.3586593911534742,182.23625738273012,11.608569810026566,-0.42,N,2025.7.3,6/23/2025,4.0,first_pass
Advance Power API-M345,Advance Power,Mono-c-Si,0,345.0,315.8,1.94,,,72.0,9.72,47.28,8.98,38.4,0.0038880000000000004,-0.14184,44.6,1.9163111001523923,9.743741252569448,1.814428788835286e-10,0.35147468608065724,143.89864584178102,14.666712116471313,-0.43,N,2025.7.3,6/23/2025,4.0,first_pass
Advance Power API-M350,Advance Power,Mono-c-Si,0,350.0,320.5,1.94,,,72.0,9.81,47.37,9.1,38.48,0.003924,-0.14211,44.6,1.916039192933934,9.83034389103705,1.749519876467694e-10,0.34834172972999017,167.97339838274996,14.229995839445955,-0.43,N,2025.7.3,6/23/2025,4.0,first_pass
Advance Power API-M355,Advance Power,Mono-c-Si,0,355.0,325.5,1.94,,,72.0,9.9,47.47,9.21,38.55,0.004158,-0.1338654,46.67,1.826791635158865,9.921142218228995,5.0004175106332835e-11,0.3683274706327113,172.47206393489014,9.805509084262125,-0.386,N,2025.7.3,6/23/2025,4.0,first_pass
Advance Power API-M360,Advance Power,Mono-c-Si,0,360.0,330.2,1.94,,,72.0,9.99,47.56,9.32,38.63,0.0041958,-0.1341192,46.67,1.827852798768204,10.008590247119857,4.8927131720766306e-11,0.3648973852642902,196.08802998813167,9.521476939925584,-0.386,N,2025.7.3,6/23/2025,4.0,first_pass
Advance Power API-M365,Advance Power,Mono-c-Si,0,365.0,334.9,1.94,,,72.0,10.08,47.66,9.43,38.71,0.0042336000000000006,-0.13440119999999997,46.67,1.829155848427646,10.096081386932982,4.777224101575754e-11,0.3625990860537815,227.281320440718,9.220331012688732,-0.386,N,2025.7.3,6/23/2025,4.0,first_pass
Advance Power API-M370,Advance Power,Mono-c-Si,0,370.0,339.6,1.94,,,72.0,10.17,47.75,9.54,38.78,0.0042714,-0.134655,46.67,1.8300894808297294,10.183575419865418,4.6649467159290595e-11,0.3604817362755912,270.05421379650426,8.921736963700894,-0.386,N,2025.7.3,6/23/2025,4.0,first_pass
Advanced Solar Power (Hangzhou) ASP-S1-80,Advanced Solar Power (Hangzhou),Thin Film,0,80.0,75.2,0.72,1.2,0.6,145.0,0.95,118.9,0.85,94.1,0.00085215,-0.36359620000000004,45.2,4.258498282267062,0.9583230062492102,6.609643168027976e-13,13.828683656431565,1578.4260040293264,-14.36847465920042,-0.2634,N,2025.7.3,6/23/2025,4.0,first_pass
AE Solar GmbH AE420CMD-108BDE,AE Solar GmbH,Mono-c-Si,0,420.0,398.3,1.95,,,54.0,13.58,39.7,13.28,31.6,0.004753,-0.09528,43.8,1.3368842435041464,13.580004074838463,1.7223709340309733e-12,0.25889825329855787,862821.2565735326,-4.402189169946739,-0.293,N,2025.7.3,6/23/2025,2.0,first_pass
AE Solar GmbH AE425CMD-108BDE,AE Solar GmbH,Mono-c-Si,0,425.0,403.1,1.95,,,54.0,13.68,39.8,13.38,31.8,0.004788000000000001,-0.09552,43.8,1.3422862797895116,13.680004007375741,1.814935868222668e-12,0.25098990622795325,856810.1746372904,-4.043126014314502,-0.293,N,2025.7.3,6/23/2025,2.0,first_pass
AE Solar GmbH AE430CMD-108BDE,AE Solar GmbH,Mono-c-Si,0,430.0,408.0,1.95,,,54.0,13.78,40.0,13.48,31.9,0.004823000000000001,-0.096,43.8,1.3481640943609523,13.780004015583689,1.7936588377179825e-12,0.2511898691194234,861995.4429561679,-4.19543085100026,-0.293,N,2025.7.3,6/23/2025,2.0,first_pass
AE Solar GmbH AE435CMD-108BDE,AE Solar GmbH,Mono-c-Si,0,435.0,412.9,1.95,,,54.0,13.88,40.1,13.58,32.0,0.004858,-0.09624,43.8,1.3519117219065209,13.880004107226712,1.821694163389201e-12,0.25290039167895106,854658.6034825091,-4.129357024483465,-0.293,N,2025.7.3,6/23/2025,2.0,first_pass
AE Solar GmbH AE440CMD-108BDE,AE Solar GmbH,Mono-c-Si,0,440.0,417.7,1.95,,,54.0,13.98,40.2,13.68,32.2,0.004893000000000001,-0.09648,43.8,1.3573908365848297,13.98000382219366,1.9213048718982297e-12,0.23558435605959388,861674.3476584363,-3.761073283936499,-0.293,N,2025.7.3,6/23/2025,2.0,first_pass
AE Solar GmbH AE570CMD-144BDS,AE Solar GmbH,Mono-c-Si,0,570.0,542.9,2.58,,,72.0,13.91,51.2,13.4,42.5,0.0045903,-0.124416,43.2,1.7143303488161368,13.910003420943005,1.4884514911446636e-12,0.22629528725630238,920147.971275759,-6.887574542765899,-0.282,N,2025.7.3,6/23/2025,2.0,first_pass
AE Solar GmbH AE575CMD-144BDS,AE Solar GmbH,Mono-c-Si,0,575.0,547.7,2.58,,,72.0,13.98,51.3,13.47,42.7,0.0046134,-0.124659,43.2,1.745567810689548,13.98000618095752,2.4107171859314766e-12,0.2290465387866942,518055.19984990335,-3.1170231744133186,-0.282,N,2025.7.3,6/23/2025,4.0,first_pass
AE Solar GmbH AE580CMD-144BDS,AE Solar GmbH,Mono-c-Si,0,580.0,552.6,2.58,,,72.0,14.05,51.5,13.54,42.8,0.004636500000000001,-0.125145,43.2,1.7526603083625376,14.050006352319242,2.43448239597527e-12,0.23409116262787377,517761.7311495633,-3.0783467967440714,-0.282,N,2025.7.3,6/23/2025,4.0,first_pass
AE Solar GmbH AE585CMD-144BDS,AE Solar GmbH,Mono-c-Si,0,585.0,557.5,2.58,,,72.0,14.13,51.6,13.61,43.0,0.0046629,-0.125388,43.2,1.7302460406005131,14.130124132698729,1.5790781686628576e-12,0.22819225054049697,25975.081035313957,-6.549044723951956,-0.282,N,2025.7.3,6/23/2025,4.0,first_pass
AE Solar GmbH AE590CMD-144BDS,AE Solar GmbH,Mono-c-Si,0,590.0,562.3,2.58,,,72.0,14.19,51.8,13.68,43.1,0.004682700000000001,-0.125874,43.2,1.736423409542374,14.190083781192358,1.5715122432544212e-12,0.23342598161588857,39535.308988999925,-6.6196942360049125,-0.282,N,2025.7.3,6/23/2025,4.0,first_pass
AE Solar GmbH AE595CMD-144BDS,AE Solar GmbH,Mono-c-Si,0,595.0,567.2,2.58,,,72.0,14.26,51.9,13.75,43.3,0.0047058000000000004,-0.126117,43.2,1.7418478575226488,14.260003150109283,1.6364552986616821e-12,0.20349777358425886,921201.0138406261,-6.342458477160937,-0.282,N,2025.7.3,6/23/2025,2.0,first_pass
AEG SOLAR ENERGY SRL ALPS54D30-425/TP,AEG SOLAR ENERGY SRL,Mono-c-Si,0,425.0,400.5,1.99,,,54.0,13.94,38.9,13.14,32.35,0.005994199999999999,-0.098417,45.5,1.3570964693840326,13.956157225535438,4.873964440084385e-12,0.172584193460916,148.9007911820473,-1.4547319092692466,-0.299,N,2025.7.3,6/23/2025,4.0,first_pass
AEG SOLAR ENERGY SRL ALPS54D30-435/TP,AEG SOLAR ENERGY SRL,Mono-c-Si,0,435.0,410.1,1.99,,,54.0,14.08,39.3,13.28,32.75,0.0060544,-0.09942899999999999,45.5,1.3720352148924353,14.0952844966891,5.027767251590074e-12,0.1668586579338062,153.70934073680368,-1.285509659305056,-0.299,N,2025.7.3,6/23/2025,4.0,first_pass
AEG SOLAR ENERGY SRL ALPS54D30-440/TP,AEG SOLAR ENERGY SRL,Mono-c-Si,0,440.0,414.9,1.99,,,54.0,14.15,39.5,13.35,32.95,0.0060845000000000005,-0.09993500000000001,45.5,1.379503258899138,14.16486138476006,5.105278604091552e-12,0.16404186376481272,156.18950827470812,-1.2024052014695932,-0.299,N,2025.7.3,6/23/2025,4.0,first_pass
AEG SOLAR ENERGY SRL ALPS54D30-445/TP,AEG SOLAR ENERGY SRL,Mono-c-Si,0,445.0,419.8,1.99,,,54.0,14.21,39.7,13.42,33.15,0.0061103,-0.100441,45.5,1.3865205954989923,14.223735052656426,5.135887192614056e-12,0.1613971504376395,166.978137702417,-1.1921318182879528,-0.299,N,2025.7.3,6/23/2025,4.0,first_pass
AEG SOLAR ENERGY SRL ALPS54D30-450/TP,AEG SOLAR ENERGY SRL,Mono-c-Si,0,450.0,424.6,1.99,,,54.0,14.28,39.9,13.53,33.25,0.0061404,-0.10094700000000001,45.5,1.390083689940664,14.290762424275124,4.8291006172173424e-12,0.16718321496758146,221.82514401749287,-1.7461206421100288,-0.299,N,2025.7.3,6/23/2025,4.0,first_pass
AEG SOLAR ENERGY SRL ALPS54D30-455/TP,AEG SOLAR ENERGY SRL,Mono-c-Si,0,455.0,429.5,1.99,,,54.0,14.34,40.1,13.6,33.45,0.006166199999999999,-0.101453,45.5,1.3971045605074195,14.349698777520244,4.85971458824008e-12,0.16455608396636728,243.30223519093093,-1.7327251768077327,-0.299,N,2025.7.3,6/23/2025,4.0,first_pass
AEG SOLAR ENERGY SRL ALPS72D30-570/TP,AEG SOLAR ENERGY SRL,Mono-c-Si,0,570.0,537.5,2.58,,,72.0,13.81,52.1,13.09,43.55,0.0059383,-0.131813,45.5,1.8174606163966838,13.819683085223474,4.846823570106012e-12,0.21414647760450262,305.41534963146484,-1.4460232132520852,-0.299,N,2025.7.3,6/23/2025,4.0,first_pass
AEG SOLAR ENERGY SRL ALPS72D30-575/TP,AEG SOLAR ENERGY SRL,Mono-c-Si,0,575.0,542.4,2.58,,,72.0,13.87,52.3,13.14,43.75,0.005964099999999999,-0.13231900000000002,45.5,1.8255326320216647,13.880138128157004,4.948965855258719e-12,0.21116508373651424,288.8955112188125,-1.3094334813851125,-0.299,N,2025.7.3,6/23/2025,4.0,first_pass
AEG SOLAR ENERGY SRL ALPS72D30-580/TP,AEG SOLAR ENERGY SRL,Mono-c-Si,0,580.0,547.2,2.58,,,72.0,13.93,52.5,13.2,43.95,0.0059899,-0.132825,45.5,1.8329681207118385,13.939868292133434,5.006867492962921e-12,0.20825320349557153,293.96850943643375,-1.250787837688209,-0.299,N,2025.7.3,6/23/2025,4.0,first_pass
AEG SOLAR ENERGY SRL ALPS72D30-585/TP,AEG SOLAR ENERGY SRL,Mono-c-Si,0,585.0,552.0,2.58,,,72.0,13.99,52.7,13.25,44.15,0.0060157,-0.133331,45.5,1.8410412852749756,14.000302006842304,5.111038677931512e-12,0.20531875182619833,278.8203684443402,-1.1158303429923435,-0.299,N,2025.7.3,6/23/2025,4.0,first_pass
AEG SOLAR ENERGY SRL ALPS72D30-590/TP,AEG SOLAR ENERGY SRL,Mono-c-Si,0,590.0,556.9,2.58,,,72.0,14.05,52.9,13.3,44.35,0.0060415,-0.133837,45.5,1.8491159462308302,14.06072002744794,5.216657769901521e-12,0.20240600645464277,265.2795813692353,-0.981709410749806,-0.299,N,2025.7.3,6/23/2025,4.0,first_pass
