Manufacturer,Model Number,Description,Safety Certification,Nameplate Pmax,PTC,Notes,Design Qualification Certification (Optional Submission),Performance Evaluation (Optional Submission),Family,Technology,A_c,N_s,N_p,BIPV,Nameplate Isc,Nameplate Voc,Nameplate Ipmax,Nameplate Vpmax,Average NOCT,gammaPmax,alphaIsc,betaVoc,alphaIpmax,betaVpmax,IPmax low,VPmax low,IPmax NOCT,VPmax NOCT,Mounting,Type,Short Side,Long Side,Geometric Multiplier,P2/Pref,CEC Listing Date,Last Update
Sunpal Power Co. Ltd.,SP520M-72HB,520 W 144 half-cut cell monocrystalline module black frame black backsheet 1500V max system Vdc,UL 61730,520,488.3,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,2.58,72,2,N,13.54,49.2,12.84,40.5,45.8,-0.304,0.054,-0.26,,,2.55,40.07,10.22,38.6,,,,,,,4/3/2023,
Sunpal Power Co. Ltd.,SP525M-72HB,525 W 144 half-cut cell monocrystalline module black frame black backsheet 1500V max system Vdc,UL 61730,525,493.1,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,2.58,72,2,N,13.61,49.3,12.94,40.6,45.8,-0.304,0.054,-0.26,,,2.57,40.16,10.29,38.6,,,,,,,4/3/2023,
Sunpal Power Co. Ltd.,SP530M-72HB,530 W 144 half-cut cell monocrystalline module black frame black backsheet 1500V max system Vdc,UL 61730,530,497.9,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,2.58,72,2,N,13.68,49.4,13.03,40.7,45.8,-0.304,0.054,-0.26,,,2.59,40.25,10.36,38.7,,,,,,,4/3/2023,
Sunpal Power Co. Ltd.,SP535M-72HB,535 W 144 half-cut cell monocrystalline module black frame black backsheet 1500V max system Vdc,UL 61730,535,502.8,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,2.58,72,2,N,13.75,49.5,13.13,40.8,45.8,-0.304,0.054,-0.26,,,2.61,40.34,10.44,38.8,,,,,,,4/3/2023,
Sunpal Power Co. Ltd.,SP540M-72HB,540 W 144 half-cut cell monocrystalline module black frame black backsheet 1500V max system Vdc,UL 61730,540,507.6,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,2.58,72,2,N,13.82,49.6,13.22,40.9,45.8,-0.304,0.054,-0.26,,,2.62,40.43,10.51,38.9,,,,,,,4/3/2023,
Sunpal Power Co. Ltd.,SP545M-72HB,545 W 144 half-cut cell monocrystalline module black frame black backsheet 1500V max system Vdc,UL 61730,545,512.4,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,2.58,72,2,N,13.89,49.7,13.31,41,45.8,-0.304,0.054,-0.26,,,2.64,40.52,10.58,39,,,,,,,4/3/2023,
Sunpal Power Co. Ltd.,SP550M-72HB,550 W 144 half-cut cell monocrystalline module black frame black backsheet 1500V max system Vdc,UL 61730,550,517.2,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,2.58,72,2,N,13.96,49.8,13.41,41,45.8,-0.304,0.054,-0.26,,,2.66,40.61,10.66,39.1,,,,,,,4/3/2023,
Sunpal Power Co. Ltd.,SP555M-72HB,555 W 144 half-cut cell monocrystalline module black frame black backsheet 1500V max system Vdc,UL 61730,555,522,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,2.58,72,2,N,14.03,49.9,13.5,41.1,45.8,-0.304,0.054,-0.26,,,2.68,40.7,10.74,39.2,,,,,,,4/3/2023,
Sunpal Power Co. Ltd.,SP560M-72HB,560 W 144 half-cut cell monocrystalline module black frame black backsheet 1500V max system Vdc,UL 61730,560,526.8,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,2.58,72,2,N,14.1,50,13.59,41.2,45.8,-0.304,0.054,-0.26,,,2.7,40.79,10.81,39.2,,,,,,,4/3/2023,
Sunpal Power Co. Ltd.,SP565M-72HB,565 W 144 half-cut cell monocrystalline module black frame black backsheet 1500V max system Vdc,UL 61730,565,531.7,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,2.58,72,2,N,14.17,50.1,13.68,41.3,45.8,-0.304,0.054,-0.26,,,2.71,40.88,10.88,39.3,,,,,,,4/3/2023,
Sunpal Power Co. Ltd.,SP570M-72HB,570 W 144 half-cut cell monocrystalline module black frame black backsheet 1500V max system Vdc,UL 61730,570,536.5,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,2.58,72,2,N,14.24,50.2,13.77,41.4,45.8,-0.304,0.054,-0.26,,,2.73,40.97,10.95,39.4,,,,,,,4/3/2023,
Sunpal Power Co. Ltd.,SP630M-66H,630 W 132 half-cut cell monocrystalline module silver frame white backsheet 1500V max system Vdc,UL 61730,630,586.3,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,3.11,66,2,N,18.23,44.5,17.22,36.6,45.6,-0.351,0.065,-0.286,,,3.44,35.84,13.99,34.2,,,,,,,8/21/2023,
Sunpal Power Co. Ltd.,SP635M-66H,635 W 132 half-cut cell monocrystalline module silver frame white backsheet 1500V max system Vdc,UL 61730,635,591.1,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,3.11,66,2,N,18.28,44.7,17.26,36.8,45.6,-0.351,0.065,-0.286,,,3.45,36.03,14.03,34.4,,,,,,,8/21/2023,
Sunpal Power Co. Ltd.,SP640M-66H,640 W 132 half-cut cell monocrystalline module silver frame white backsheet 1500V max system Vdc,UL 61730,640,595.8,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,3.11,66,2,N,18.33,44.9,17.3,37,45.6,-0.351,0.065,-0.286,,,3.46,36.23,14.06,34.6,,,,,,,8/21/2023,
Sunpal Power Co. Ltd.,SP645M-66H,645 W 132 half-cut cell monocrystalline module silver frame white backsheet 1500V max system Vdc,UL 61730,645,600.6,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,3.11,66,2,N,18.38,45.1,17.34,37.2,45.6,-0.351,0.065,-0.286,,,3.46,36.42,14.09,34.7,,,,,,,8/21/2023,
Sunpal Power Co. Ltd.,SP650M-66H,650 W 132 half-cut cell monocrystalline module silver frame white backsheet 1500V max system Vdc,UL 61730,650,605.4,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,3.11,66,2,N,18.43,45.3,17.39,37.4,45.6,-0.351,0.065,-0.286,,,3.47,36.62,14.13,34.9,,,,,,,8/21/2023,
Sunpal Power Co. Ltd.,SP655M-66H,655 W 132 half-cut cell monocrystalline module silver frame white backsheet 1500V max system Vdc,UL 61730,655,610.2,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,3.11,66,2,N,18.48,45.5,17.43,37.6,45.6,-0.351,0.065,-0.286,,,3.48,36.81,14.16,35.1,,,,,,,8/21/2023,
Sunpal Power Co. Ltd.,SP660M-66H,660 W 132 half-cut cell monocrystalline module silver frame white backsheet 1500V max system Vdc,UL 61730,660,615,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,3.11,66,2,N,18.53,45.7,17.47,37.8,45.6,-0.351,0.065,-0.286,,,3.49,37.01,14.2,35.3,,,,,,,8/21/2023,
Sunpal Power Co. Ltd.,SP665M-66H,665 W 132 half-cut cell monocrystalline module silver frame white backsheet 1500V max system Vdc,UL 61730,665,619.8,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,3.11,66,2,N,18.58,45.9,17.5,38,45.6,-0.351,0.065,-0.286,,,3.49,37.21,14.22,35.5,,,,,,,8/21/2023,
Sunpal Power Co. Ltd.,SP670M-66H,670 W 132 half-cut cell monocrystalline module silver frame white backsheet 1500V max system Vdc,UL 61730,670,624.6,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,3.11,66,2,N,18.63,46.1,17.54,38.2,45.6,-0.351,0.065,-0.286,,,3.5,37.4,14.25,35.7,,,,,,,8/21/2023,
Sunpal Power Co. Ltd.,SP675M-66H,675 W 132 half-cut cell monocrystalline module silver frame white backsheet 1500V max system Vdc,UL 61730,675,629.4,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,3.11,66,2,N,18.68,46.3,17.58,38.4,45.6,-0.351,0.065,-0.286,,,3.51,37.6,14.29,35.9,,,,,,,8/21/2023,
Sunpal Power Co. Ltd.,SP680M-66H,680 W 132 half-cut cell monocrystalline module silver frame white backsheet 1500V max system Vdc,UL 61730,680,634.2,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,3.11,66,2,N,18.73,46.5,17.62,38.6,45.6,-0.351,0.065,-0.286,,,3.52,37.79,14.32,36.1,,,,,,,8/21/2023,
Sunpal Power Co. Ltd.,SP685M-66H,685 W 132 half-cut cell monocrystalline module silver frame white backsheet 1500V max system Vdc,UL 61730,685,639,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,3.11,66,2,N,18.78,46.7,17.66,38.8,45.6,-0.351,0.065,-0.286,,,3.53,37.99,14.35,36.2,,,,,,,8/21/2023,
Sunpal Power Co. Ltd.,SP690M-66H,690 W 132 half-cut cell monocrystalline module silver frame white backsheet 1500V max system Vdc,UL 61730,690,643.8,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,3.11,66,2,N,18.83,46.9,17.7,39,45.6,-0.351,0.065,-0.286,,,3.53,38.18,14.38,36.4,,,,,,,8/21/2023,
SUNPLUS OPTIMUM LIMITED,SR4-72HBD-535M,535 W 144 half-cut cell bifacial monodrystalline module 1500V max system Vdc,UL 61730,535,496.2,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,2.48,72,2,N,13.57,49.7,12.81,41.8,45.6,-0.375,0.048,-0.284,,,2.67,40.55,10.42,38.4,,,,,,,8/11/2023,
SUNPLUS OPTIMUM LIMITED,SR4-72HBD-540M,540 W 144 half-cut cell bifacial monodrystalline module 1500V max system Vdc,UL 61730,540,501,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,2.48,72,2,N,13.66,49.9,12.88,41.9,45.6,-0.375,0.048,-0.284,,,2.68,40.71,10.48,38.6,,,,,,,8/11/2023,
SUNPLUS OPTIMUM LIMITED,SR4-72HBD-545M,545 W 144 half-cut cell bifacial monodrystalline module 1500V max system Vdc,UL 61730,545,505.8,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,2.48,72,2,N,13.75,50.1,12.95,42.1,45.6,-0.375,0.048,-0.284,,,2.69,40.87,10.53,38.7,,,,,,,8/11/2023,
SUNPLUS OPTIMUM LIMITED,SR4-72HBD-550M,550 W 144 half-cut cell bifacial monodrystalline module 1500V max system Vdc,UL 61730,550,510.6,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,2.48,72,2,N,13.82,50.3,13.01,42.3,45.6,-0.375,0.048,-0.284,,,2.71,41.04,10.59,38.9,,,,,,,8/11/2023,
SUNPLUS OPTIMUM LIMITED,SR4-72HBD-555M,555 W 144 half-cut cell bifacial monodrystalline module 1500V max system Vdc,UL 61730,555,515.4,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,2.48,72,2,N,13.89,50.5,13.08,42.4,45.6,-0.375,0.048,-0.284,,,2.72,41.2,10.64,39.1,,,,,,,8/11/2023,
SUNPLUS OPTIMUM LIMITED,SR4-72HBD-560M,560 W 144 half-cut cell bifacial monodrystalline module 1500V max system Vdc,UL 61730,560,520.2,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,2.48,72,2,N,13.96,50.7,13.14,42.6,45.6,-0.375,0.048,-0.284,,,2.74,41.36,10.7,39.2,,,,,,,8/11/2023,
SUNPLUS OPTIMUM LIMITED,SR5-66HBD-635M,635 W 132 half-cut cell bifacial monodrystalline module 1500V max system Vdc,UL 61730,635,589,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,3.03,66,2,N,18.17,44.9,17.13,37.1,44.8,-0.386,0.05,-0.291,,,3.43,35.75,13.76,34.2,,,,,,,8/11/2023,
SUNPLUS OPTIMUM LIMITED,SR5-66HBD-640M,640 W 132 half-cut cell bifacial monodrystalline module 1500V max system Vdc,UL 61730,640,593.7,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,3.03,66,2,N,18.22,45.1,17.17,37.3,44.8,-0.386,0.05,-0.291,,,3.44,35.95,13.79,34.4,,,,,,,8/11/2023,
SUNPLUS OPTIMUM LIMITED,SR5-66HBD-645M,645 W 132 half-cut cell bifacial monodrystalline module 1500V max system Vdc,UL 61730,645,598.5,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,3.03,66,2,N,18.27,45.3,17.21,37.5,44.8,-0.386,0.05,-0.291,,,3.44,36.14,13.82,34.6,,,,,,,8/11/2023,
SUNPLUS OPTIMUM LIMITED,SR5-66HBD-655M,655 W 132 half-cut cell bifacial monodrystalline module 1500V max system Vdc,UL 61730,655,608.1,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,3.03,66,2,N,18.37,45.7,17.3,37.9,44.8,-0.386,0.05,-0.291,,,3.46,36.52,13.9,34.9,,,,,,,8/11/2023,
SUNPLUS OPTIMUM LIMITED,SR5-66NHBD-655M,655 W 132 half-cut cell bifacial double glass monodrystalline module 1500V max system Vdc,UL 61730,655,619,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,3.11,66,2,N,17.54,46.6,16.95,38.6,44.6,-0.296,0.036,-0.236,,,3.35,38.35,13.56,36.2,,,,,,,8/11/2023,
SUNPLUS OPTIMUM LIMITED,SR5-66HBD-660M,660 W 132 half-cut cell bifacial monodrystalline module 1500V max system Vdc,UL 61730,660,612.9,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,3.03,66,2,N,18.42,45.9,17.34,38.1,44.8,-0.386,0.05,-0.291,,,3.47,36.72,13.93,35.1,,,,,,,8/11/2023,
SUNPLUS OPTIMUM LIMITED,SR5-66NHBD-660M,660 W 132 half-cut cell bifacial double glass monodrystalline module 1500V max system Vdc,UL 61730,660,623.9,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,3.11,66,2,N,17.62,46.8,17.01,38.8,44.6,-0.296,0.036,-0.236,,,3.37,38.51,13.61,36.4,,,,,,,8/11/2023,
SUNPLUS OPTIMUM LIMITED,SR5-66HBD-665M,665 W 132 half-cut cell bifacial monodrystalline module 1500V max system Vdc,UL 61730,665,617.7,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,3.03,66,2,N,18.47,46.1,17.38,38.3,44.8,-0.386,0.05,-0.291,,,3.48,36.91,13.96,35.3,,,,,,,8/11/2023,
SUNPLUS OPTIMUM LIMITED,SR5-66NHBD-665M,665 W 132 half-cut cell bifacial double glass monodrystalline module 1500V max system Vdc,UL 61730,665,628.7,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,3.11,66,2,N,17.7,47,17.06,39,44.6,-0.296,0.036,-0.236,,,3.38,38.68,13.65,36.5,,,,,,,8/11/2023,
SUNPLUS OPTIMUM LIMITED,SR5-66HBD-670M,670 W 132 half-cut cell bifacial monodrystalline module 1500V max system Vdc,UL 61730,670,622.5,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,3.03,66,2,N,18.52,46.3,17.42,38.5,44.8,-0.386,0.05,-0.291,,,3.49,37.1,13.99,35.5,,,,,,,8/11/2023,
SUNPLUS OPTIMUM LIMITED,SR5-66NHBD-670M,670 W 132 half-cut cell bifacial double glass monodrystalline module 1500V max system Vdc,UL 61730,670,633.5,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,3.11,66,2,N,17.78,47.2,17.12,39.1,44.6,-0.296,0.036,-0.236,,,3.39,38.85,13.7,36.7,,,,,,,8/11/2023,
SUNPLUS OPTIMUM LIMITED,SR5-66HBD-675M,675 W 132 half-cut cell bifacial monodrystalline module 1500V max system Vdc,UL 61730,675,627.2,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,3.03,66,2,N,18.57,46.5,17.46,38.7,44.8,-0.386,0.05,-0.291,,,3.49,37.3,14.03,35.7,,,,,,,8/11/2023,
SUNPLUS OPTIMUM LIMITED,SR5-66NHBD-675M,675 W 132 half-cut cell bifacial double glass monodrystalline module 1500V max system Vdc,UL 61730,675,638.4,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,3.11,66,2,N,17.86,47.4,17.17,39.3,44.6,-0.296,0.036,-0.236,,,3.4,39.02,13.74,36.8,,,,,,,8/11/2023,
SUNPLUS OPTIMUM LIMITED,SR5-66NHBD-680M,680 W 132 half-cut cell bifacial double glass monodrystalline module 1500V max system Vdc,UL 61730,680,643.2,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,3.11,66,2,N,17.94,47.6,17.22,39.5,44.6,-0.296,0.036,-0.236,,,3.41,39.18,13.78,37,,,,,,,8/11/2023,
SUNPLUS OPTIMUM LIMITED,SR5-66NHBD-685M,685 W 132 half-cut cell bifacial double glass monodrystalline module 1500V max system Vdc,UL 61730,685,648,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,3.11,66,2,N,18.01,47.8,17.28,39.7,44.6,-0.296,0.036,-0.236,,,3.42,39.35,13.83,37.2,,,,,,,8/11/2023,
SUNPLUS OPTIMUM LIMITED,SR5-66NHBD-690M,690 W 132 half-cut cell bifacial double glass monodrystalline module 1500V max system Vdc,UL 61730,690,652.9,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,3.11,66,2,N,18.09,48,17.33,39.8,44.6,-0.296,0.036,-0.236,,,3.43,39.51,13.87,37.3,,,,,,,8/11/2023,
SUNPLUS OPTIMUM LIMITED,SR5-66NHBD-695M,695 W 132 half-cut cell bifacial double glass monodrystalline module 1500V max system Vdc,UL 61730,695,657.7,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,3.11,66,2,N,18.17,48.2,17.38,40,44.6,-0.296,0.036,-0.236,,,3.44,39.68,13.91,37.5,,,,,,,8/11/2023,
SunPower,PL-SUNP-SPR-215,215 W Monocrystalline Module,UL 1703,215,198.3,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.244,72,1,N,5.8,48.3,5.4,39.8,44.7,-0.3904,0.0359,-0.2792,0.0108,-0.3814,1.13,37.93,4.5,36.25,Rack,Flat Plate,0.798,1.559,1,0.199976579,,
SunPower,SPR-225E-BLK-D,225 W Monocrystalline Module Framed Grid Connect Black Backsheet,UL 1703,225,205,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.244,72,1,N,5.87,48.5,5.49,41,49.2,-0.3672,0.0429,-0.2797,0.035714,-0.329584,1.15,39.4,4.51,37.29,Rack,Flat Plate,0.798,1.559,1,0.200564595,,
SunPower,SPR-225E-BLK-U-ACPV,225 W DC Monocrystalline ACPV Module,UL 1741,225,205,This component is specific to ACPV modules and is not available individually.,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.244,72,1,N,5.87,48.5,5.49,41,49.2,-0.3672,0.0429,-0.2797,0.035714,-0.329584,1.15,39.4,4.51,37.29,Rack,Flat Plate,0.798,1.559,1,0.200564595,,
SunPower,SPR-225E-WHT-D,225 W Monocrystalline Module,UL 1703,225,204.7,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.244,72,1,N,5.93,48,5.55,40.5,46,-0.43,0.016,-0.31,-0.029,-0.4,1.1,39.81,4.38,36.94,Rack,Flat Plate,0.798,1.559,1,0.19535227,,
SunPower,SPR-225NE-BLK-D,225 W Monocrystalline Module,UL 1703,225,206.2,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.244,72,1,N,5.93,48,5.55,40.5,50.3,-0.331,0.039,-0.252,-0.003,-0.331,1.12,35.28,4.26,40.2,Rack,Flat Plate,0.798,1.559,1,0.176179834,,
SunPower,SPR-230E-WHT-D,230 W Monocrystalline Module,UL 1703,230,209.4,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.244,72,1,N,6.05,48.2,5.68,40.5,46,-0.43,0.016,-0.31,-0.029,-0.4,1.13,39.81,4.48,36.94,Rack,Flat Plate,0.798,1.559,1,0.195409659,,
SunPower,SPR-230NE-BLK-D,230 W Monocrystalline Module,UL 1703,230,210.9,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.244,72,1,N,6.05,48.2,5.68,40.5,50.3,-0.331,0.039,-0.252,-0.003,-0.331,1.15,35.28,4.36,40.2,Rack,Flat Plate,0.798,1.559,1,0.176386861,,
SunPower,SPR-230-WHT-U,230 W Monocrystalline Module Framed Grid Connect White Backsheet,UL 1703,230,212.3,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.244,72,1,N,5.99,48.7,5.61,41,44.7,-0.393,0.0356,-0.2821,0.0241,-0.3578,1.24,39.6,4.63,37.5,Rack,Flat Plate,0.798,1.559,1,0.213662475,,
SunPower,SPR-235NE-WHT-D,235 W Monocrystalline Module,UL 1703,235,216,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.244,72,1,N,6.18,48.4,5.8,40.5,50.3,-0.324,0.039,-0.254,0.003,-0.33,1.2,34.21,4.54,39.91,Rack,Flat Plate,0.798,1.559,1,0.175365653,,
