Manufacturer,Model,Technology,Message,celltype,vmp,imp,voc,isc,alpha_isc,beta_voc,gamma_pmp,n_ser,t_ref
CSI Solar Co. Ltd.,CS3K-290MS,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,32.1,9.04,38.9,9.65,0.00346435,-0.11351,-0.3869,3,25
CSI Solar Co. Ltd.,CS3K-295MS,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,32.3,9.14,39.1,9.73,0.00349307,-0.114094,-0.3869,3,25
CSI Solar Co. Ltd.,CS3K-300MS,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,32.5,9.24,39.3,9.82,0.00352538,-0.114677,-0.3869,3,25
CSI Solar Co. Ltd.,CS3K-305MS,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,32.7,9.33,39.5,9.9,0.0035541,-0.115261,-0.3869,3,25
CSI Solar Co. Ltd.,CS3K-310MS,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,32.9,9.43,39.7,9.98,0.00358282,-0.115845,-0.3869,3,25
CSI Solar Co. Ltd.,CS3K-315MS,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,33.1,9.52,39.9,10.06,0.00361154,-0.116428,-0.3869,3,25
CSI Solar Co. Ltd.,CS3U-350MS,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,38.8,9.03,46.6,9.53,0.00342127,-0.135979,-0.3869,3,25
CSI Solar Co. Ltd.,CS3U-355MS,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,39,9.11,46.8,9.61,0.00344999,-0.136562,-0.3869,3,25
CSI Solar Co. Ltd.,CS3U-360MS,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,39.2,9.19,47,9.69,0.00347871,-0.137146,-0.3869,3,25
CSI Solar Co. Ltd.,CS3U-365MS,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,39.4,9.27,47.2,9.77,0.00350743,-0.13773,-0.3869,3,25
CSI Solar Co. Ltd.,CS3U-370MS,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,39.6,9.35,47.4,9.85,0.00353615,-0.138313,-0.3869,3,25
CSI Solar Co. Ltd.,CS3U-375MS,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,39.8,9.43,47.6,9.93,0.00356487,-0.138897,-0.3869,3,25
CSI Solar Co. Ltd.,CS3W-410P,,"fail(Nser, positive): 0",multi,0,0,0,0,0,0,0,0,25
1500V max system Vdc,UL 61730,72,"precheck input: variable 'celltype' (Cell technology type) required but not assignedssc variable does not exist: 'celltype'",<null>,-0.352,44.7,39.1,10.49,0,0,-0.269,0,25
CSI Solar Co. Ltd.,CS3W-415P,,"fail(Nser, positive): 0",multi,0,0,0,0,0,0,0,0,25
1500V max system Vdc,UL 61730,72,"precheck input: variable 'celltype' (Cell technology type) required but not assignedssc variable does not exist: 'celltype'",<null>,-0.352,44.7,39.3,10.56,0,0,-0.269,0,25
CSI Solar Co. Ltd.,CS3W-420P,,"fail(Nser, positive): 0",multi,0,0,0,0,0,0,0,0,25
1500V max system Vdc,UL 61730,72,"precheck input: variable 'celltype' (Cell technology type) required but not assignedssc variable does not exist: 'celltype'",<null>,-0.352,44.7,39.5,10.64,0,0,-0.269,0,25
CSI Solar Co. Ltd.,CS3W-425P,,"fail(Nser, positive): 0",multi,0,0,0,0,0,0,0,0,25
1500V max system Vdc,UL 61730,72,"precheck input: variable 'celltype' (Cell technology type) required but not assignedssc variable does not exist: 'celltype'",<null>,-0.352,44.7,39.7,10.71,0,0,-0.269,0,25
CSI Solar Co. Ltd.,CS3W-430P,,"fail(Nser, positive): 0",multi,0,0,0,0,0,0,0,0,25
1500V max system Vdc,UL 61730,72,"precheck input: variable 'celltype' (Cell technology type) required but not assignedssc variable does not exist: 'celltype'",<null>,-0.352,44.7,39.9,10.78,0,0,-0.269,0,25
CSI Solar Co. Ltd.,CS3W-435P,,"fail(Nser, positive): 0",multi,0,0,0,0,0,0,0,0,25
1500V max system Vdc,UL 61730,72,"precheck input: variable 'celltype' (Cell technology type) required but not assignedssc variable does not exist: 'celltype'",<null>,-0.441,42.9,40.1,10.85,0,0,-0.327,0,25
CSI Solar Co. Ltd.,CS3W-440P,,"fail(Nser, positive): 0",multi,0,0,0,0,0,0,0,0,25
1500V max system Vdc,UL 61730,72,"precheck input: variable 'celltype' (Cell technology type) required but not assignedssc variable does not exist: 'celltype'",<null>,-0.441,42.9,40.3,10.92,0,0,-0.327,0,25
CSI Solar Co. Ltd.,CS3W-445P,,"fail(Nser, positive): 0",multi,0,0,0,0,0,0,0,0,25
1500V max system Vdc,UL 61730,72,"precheck input: variable 'celltype' (Cell technology type) required but not assignedssc variable does not exist: 'celltype'",<null>,-0.441,42.9,40.5,10.99,0,0,-0.327,0,25
CSI Solar Co. Ltd.,CS3W-450P,,"fail(Nser, positive): 0",multi,0,0,0,0,0,0,0,0,25
1500V max system Vdc,UL 61730,72,"precheck input: variable 'celltype' (Cell technology type) required but not assignedssc variable does not exist: 'celltype'",<null>,-0.441,42.9,40.7,11.06,0,0,-0.327,0,25
CW ENERJ MHENDSLK,TCARET VE SANAY ANONM RKET,Monocrystalline,"precheck input: variable 'celltype' (Cell technology type) required but not assignedssc variable does not exist: 'celltype'",<null>,17.27,37,18.28,0,0,0.0071292,45.6,2,25
CW ENERJ MHENDSLK,TCARET VE SANAY ANONM RKET,Monocrystalline,"precheck input: variable 'celltype' (Cell technology type) required but not assignedssc variable does not exist: 'celltype'",<null>,17.31,37.2,18.33,0,0,0.0071487,45.6,2,25
CW ENERJ MHENDSLK,TCARET VE SANAY ANONM RKET,Monocrystalline,"precheck input: variable 'celltype' (Cell technology type) required but not assignedssc variable does not exist: 'celltype'",<null>,17.36,37.5,18.38,0,0,0.0071682,45.6,2,25
CW ENERJ MHENDSLK,TCARET VE SANAY ANONM RKET,Monocrystalline,"precheck input: variable 'celltype' (Cell technology type) required but not assignedssc variable does not exist: 'celltype'",<null>,17.42,37.7,18.45,0,0,0.0071955,45.6,2,25
CW ENERJ MHENDSLK,TCARET VE SANAY ANONM RKET,Monocrystalline,"precheck input: variable 'celltype' (Cell technology type) required but not assignedssc variable does not exist: 'celltype'",<null>,17.46,37.9,18.49,0,0,0.0072111,45.6,2,25
CW ENERJ MHENDSLK,TCARET VE SANAY ANONM RKET,Monocrystalline,"precheck input: variable 'celltype' (Cell technology type) required but not assignedssc variable does not exist: 'celltype'",<null>,17.34,45.2,18.35,0,0,0.0071565,45.6,3,25
CW ENERJ MHENDSLK,TCARET VE SANAY ANONM RKET,Monocrystalline,"precheck input: variable 'celltype' (Cell technology type) required but not assignedssc variable does not exist: 'celltype'",<null>,17.38,45.4,18.39,0,0,0.0071721,45.6,3,25
CW ENERJ MHENDSLK,TCARET VE SANAY ANONM RKET,Monocrystalline,"precheck input: variable 'celltype' (Cell technology type) required but not assignedssc variable does not exist: 'celltype'",<null>,17.42,45.6,18.44,0,0,0.0071916,45.6,3,25
CW ENERJ MHENDSLK,TCARET VE SANAY ANONM RKET,Monocrystalline,"precheck input: variable 'celltype' (Cell technology type) required but not assignedssc variable does not exist: 'celltype'",<null>,17.46,45.8,18.48,0,0,0.0072072,45.6,3,25
CW ENERJ MHENDSLK,TCARET VE SANAY ANONM RKET,Monocrystalline,"precheck input: variable 'celltype' (Cell technology type) required but not assignedssc variable does not exist: 'celltype'",<null>,17.5,46,18.51,0,0,0.0072189,45.6,3,25
CW ENERJ MHENDSLK,TCARET VE SANAY ANONM RKET,Monocrystalline,"precheck input: variable 'celltype' (Cell technology type) required but not assignedssc variable does not exist: 'celltype'",<null>,17.54,46.2,18.56,0,0,0.0072384,45.6,3,25
EMMVEE Photovoltaic Power Private Limited,E370M72-B,Mono-c-Si,"Could not solve, sanity check failed (-4): Rs < 0.001 || Rs > 75.0",mono,39.8,9.29,45.3,9.66,0.0084042,-0.132276,-0.395,72,25
EMMVEE Photovoltaic Power Private Limited,E375M72-B,Mono-c-Si,"Could not solve, sanity check failed (-4): Rs < 0.001 || Rs > 75.0",mono,40,9.37,45.5,9.88,0.0085956,-0.13286,-0.395,72,25
EMMVEE Photovoltaic Power Private Limited,E380M72-B,Mono-c-Si,"Could not solve, sanity check failed (-4): Rs < 0.001 || Rs > 75.0",mono,40.2,9.45,45.7,9.96,0.0086652,-0.133444,-0.395,72,25
EMMVEE Photovoltaic Power Private Limited,E385M72-B,Mono-c-Si,"Could not solve, sanity check failed (-4): Rs < 0.001 || Rs > 75.0",mono,40.3,9.55,45.9,10.06,0.0087522,-0.134028,-0.395,72,25
EMMVEE Photovoltaic Power Private Limited,E390M72-B,Mono-c-Si,"Could not solve, sanity check failed (-4): Rs < 0.001 || Rs > 75.0",mono,40.4,9.66,46,10.12,0.0088044,-0.13432,-0.395,72,25
EMMVEE Photovoltaic Power Private Limited,E395M72-B,Mono-c-Si,"Could not solve, sanity check failed (-4): Rs < 0.001 || Rs > 75.0",mono,40.5,9.75,46.1,10.21,0.0088827,-0.134612,-0.395,72,25
GAF Energy LLC,294000328,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,9,4.89,10.9,5.14,0.0021074,-0.028776,-0.347,8,25
GAF Energy LLC,TLS-1,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,9,5.16,10.9,5.4,0.001674,-0.035316,-0.454,8,25
GAF Energy LLC,TLS-1.1,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,9,5.16,10.9,5.4,0.001674,-0.035316,-0.454,8,25
GAF Energy LLC,TLS-1.2,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,9.1,5.16,10.9,5.4,0.001782,-0.033027,-0.382,8,25
GCL System Integration Technology Co. Ltd.,GCL-P6/60B260,Multi-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",multi,30.8,8.44,37.9,9.09,0.0060903,-0.12886,-0.443,1,25
GCL System Integration Technology Co. Ltd.,GCL-P6/60B265,Multi-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",multi,31,8.55,38.1,9.2,0.006164,-0.12954,-0.443,1,25
GCL System Integration Technology Co. Ltd.,GCL-P6/60B270,Multi-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",multi,31.2,8.65,38.3,9.29,0.0062243,-0.13022,-0.443,1,25
GCL System Integration Technology Co. Ltd.,GCL-P6/72B315,Multi-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",multi,37.2,8.47,45.6,9.08,0.0060836,-0.15504,-0.443,1,25
GCL System Integration Technology Co. Ltd.,GCL-P6/72B320,Multi-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",multi,37.4,8.56,45.8,9.17,0.0061439,-0.15572,-0.443,1,25
GCL System Integration Technology Co. Ltd.,GCL-P6/72B325,Multi-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",multi,37.6,8.64,46,9.24,0.0061908,-0.1564,-0.443,1,25
GCL System Integration Technology Co. Ltd.,GCL-P6/72B330,Multi-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",multi,37.8,8.73,46.2,9.33,0.0062511,-0.15708,-0.443,1,25
GCL System Integration Technology Co. Ltd.,GCL-P6/72B335,Multi-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",multi,38,8.82,46.4,9.41,0.0063047,-0.15776,-0.443,1,25
GCL System Integration Technology Co. Ltd.,GCL-P6/72B340,Multi-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",multi,38.2,8.9,46.6,9.49,0.0063583,-0.15844,-0.443,1,25
GCL System Integration Technology Co. Ltd.,GCL-P6/72B345,Multi-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",multi,38.4,8.99,46.8,9.57,0.0064119,-0.15912,-0.443,1,25
GOLDI SUN PRIVATE LIMITED,GS10-B144-GF-525,Mono-c-Si,"Could not solve, sanity check failed (-4): Rs < 0.001 || Rs > 75.0",mono,43.3,12.12,49.3,13.36,0.0054776,-0.122757,-0.332,72,25
GOLDI SUN PRIVATE LIMITED,GS10-B144-TF-525,Mono-c-Si,"Could not solve, sanity check failed (-4): Rs < 0.001 || Rs > 75.0",mono,43.3,12.12,49.3,13.36,0.0065464,-0.135575,-0.36,72,25
GOLDI SUN PRIVATE LIMITED,GS10-M144-WF-525,Mono-c-Si,"Could not solve, sanity check failed (-4): Rs < 0.001 || Rs > 75.0",mono,43.3,12.12,49.3,13.36,0.004008,-0.122757,-0.339,72,25
GOLDI SUN PRIVATE LIMITED,GS10-B144-GF-530,Mono-c-Si,"Could not solve, sanity check failed (-4): Rs < 0.001 || Rs > 75.0",mono,43.6,12.17,49.3,13.39,0.0054899,-0.122757,-0.332,72,25
GOLDI SUN PRIVATE LIMITED,GS10-B144-TF-530,Mono-c-Si,"Could not solve, sanity check failed (-4): Rs < 0.001 || Rs > 75.0",mono,43.6,12.17,49.3,13.39,0.0065611,-0.135575,-0.36,72,25
GOLDI SUN PRIVATE LIMITED,GS10-M144-BF-530,Mono-c-Si,"Could not solve, sanity check failed (-4): Rs < 0.001 || Rs > 75.0",mono,43.6,12.17,49.3,13.39,0.0036153,-0.120292,-0.316,72,25
GOLDI SUN PRIVATE LIMITED,GS10-M144-WF-530,Mono-c-Si,"Could not solve, sanity check failed (-4): Rs < 0.001 || Rs > 75.0",mono,43.6,12.17,49.3,13.39,0.004017,-0.122757,-0.339,72,25
GOLDI SUN PRIVATE LIMITED,GS10-B144-GF-535,Mono-c-Si,"Could not solve, sanity check failed (-4): Rs < 0.001 || Rs > 75.0",mono,43.6,12.26,49.4,13.41,0.0054981,-0.123006,-0.332,72,25
GOLDI SUN PRIVATE LIMITED,GS10-B144-TF-535,Mono-c-Si,"Could not solve, sanity check failed (-4): Rs < 0.001 || Rs > 75.0",mono,43.6,12.26,49.4,13.41,0.0065709,-0.13585,-0.36,72,25
GOLDI SUN PRIVATE LIMITED,GS10-M144-BF-535,Mono-c-Si,"Could not solve, sanity check failed (-4): Rs < 0.001 || Rs > 75.0",mono,43.6,12.26,49.4,13.41,0.0036207,-0.120536,-0.316,72,25
GOLDI SUN PRIVATE LIMITED,GS10-M144-WF-535,Mono-c-Si,"Could not solve, sanity check failed (-4): Rs < 0.001 || Rs > 75.0",mono,43.6,12.26,49.4,13.41,0.004023,-0.123006,-0.339,72,25
GOLDI SUN PRIVATE LIMITED,GS10-B144-GF-540,Mono-c-Si,"Could not solve, sanity check failed (-4): Rs < 0.001 || Rs > 75.0",mono,43.9,12.31,49.5,13.45,0.0055145,-0.123255,-0.332,72,25
GOLDI SUN PRIVATE LIMITED,GS10-B144-TF-540,Mono-c-Si,"Could not solve, sanity check failed (-4): Rs < 0.001 || Rs > 75.0",mono,43.9,12.31,49.5,13.45,0.0065905,-0.136125,-0.36,72,25
GOLDI SUN PRIVATE LIMITED,GS10-M144-BF-540,Mono-c-Si,"Could not solve, sanity check failed (-4): Rs < 0.001 || Rs > 75.0",mono,43.9,12.31,49.5,13.45,0.0036315,-0.12078,-0.316,72,25
GOLDI SUN PRIVATE LIMITED,GS10-M144-WF-540,Mono-c-Si,"Could not solve, sanity check failed (-4): Rs < 0.001 || Rs > 75.0",mono,43.9,12.31,49.5,13.45,0.004035,-0.123255,-0.339,72,25
Grenzebach Envelon GmbH,ON Generate-36-S1,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,20.2,9.17,24.3,9.6,0.003552,-0.065367,-0.358,18,25
Heliene,60M305,Mono-c-Si,"fail(Nser, positive): 0",mono,32.51,9.03,39.49,9.45,0.0053865,-0.121234,-0.429,0,25
Heliene,72M-375 Bifacial,Mono-c-Si,"Could not solve, sanity check failed (-4): Rs < 0.001 || Rs > 75.0",mono,41.3,9.09,47.2,9.92,0.0032736,-0.12744,-0.368,72,25
Hyperion Solar,HY-WH108P8-390-b [Wht]390 W 108 half-cut cell monocrystalline module white backsheet black frame 1500V max system Vdc,1.95,"precheck input: variable 'celltype' (Cell technology type) required but not assignedssc variable does not exist: 'celltype'",<null>,44,30.6,12.73,36.9,-0.109962,0,0.071,2,25
Jinko Solar Co. Ltd,JKMS260M-60B-MX,Mono-c-Si,"Could not solve, sanity check failed (-4): Rs < 0.001 || Rs > 75.0",mono,29.4,8.86,35,12,0.00828,-0.1078,-0.417,60,25
Jinko Solar Co. Ltd,JKMS265M-60B-MX,Mono-c-Si,"Could not solve, sanity check failed (-4): Rs < 0.001 || Rs > 75.0",mono,29.6,8.96,35,12,0.00828,-0.1078,-0.417,60,25
Jinko Solar Co. Ltd,JKMS265PP-60-MX,Multi-c-Si,"Could not solve, sanity check failed (-3): Io < 1e-16 || Io > 1e-7",multi,29.8,8.88,35,12,0.0078,-0.11375,-0.426,60,25
Jinko Solar Co. Ltd,JKMS270M-60B-MX,Mono-c-Si,"Could not solve, sanity check failed (-4): Rs < 0.001 || Rs > 75.0",mono,29.8,9.07,35,12,0.00828,-0.1078,-0.417,60,25
Jinko Solar Co. Ltd,JKMS270M-60-MX,Mono-c-Si,"Could not solve, sanity check failed (-4): Rs < 0.001 || Rs > 75.0",mono,29.8,9.07,35,12,0.0078,-0.1078,-0.409,60,25
Jinko Solar Co. Ltd,JKMS270PP-60-MX,Multi-c-Si,"Could not solve, sanity check failed (-4): Rs < 0.001 || Rs > 75.0",multi,30.1,8.97,35,12,0.0078,-0.11375,-0.426,60,25
Jinko Solar Co. Ltd,JKMS275M-60B-MX,Mono-c-Si,"Could not solve, sanity check failed (-4): Rs < 0.001 || Rs > 75.0",mono,30,9.17,35,12,0.00828,-0.1078,-0.417,60,25
Jinko Solar Co. Ltd,JKMS275M-60-MX,Mono-c-Si,"Could not solve, sanity check failed (-4): Rs < 0.001 || Rs > 75.0",mono,30,9.17,35,12,0.0078,-0.1078,-0.409,60,25
Jinko Solar Co. Ltd,JKMS275PP-60-MX,Multi-c-Si,"Could not solve, sanity check failed (-4): Rs < 0.001 || Rs > 75.0",multi,30.5,9.06,35,12,0.0078,-0.11375,-0.426,60,25
Jinko Solar Co. Ltd,JKMS280M-60B-MX,Mono-c-Si,"Could not solve, sanity check failed (-4): Rs < 0.001 || Rs > 75.0",mono,30.2,9.28,35,12,0.00828,-0.1078,-0.417,60,25
Jinko Solar Co. Ltd,JKMS280M-60-MX,Mono-c-Si,"Could not solve, sanity check failed (-4): Rs < 0.001 || Rs > 75.0",mono,30.2,9.28,35,12,0.0078,-0.1078,-0.409,60,25
Jinko Solar Co. Ltd,JKMS280PP-60-MX,Multi-c-Si,"Could not solve, sanity check failed (-4): Rs < 0.001 || Rs > 75.0",multi,30.7,9.15,35,12,0.0078,-0.11375,-0.426,60,25
Jinko Solar Co. Ltd,JKMS285M-60B-MX,Mono-c-Si,"Could not solve, sanity check failed (-4): Rs < 0.001 || Rs > 75.0",mono,30.4,9.38,35,12,0.00828,-0.1078,-0.417,60,25
Jinko Solar Co. Ltd,JKMS285M-60-MX,Mono-c-Si,"Could not solve, sanity check failed (-4): Rs < 0.001 || Rs > 75.0",mono,30.4,9.38,35,12,0.0078,-0.1078,-0.409,60,25
Jinko Solar Co. Ltd,JKMS285PP-60-MX,Multi-c-Si,"Could not solve, sanity check failed (-4): Rs < 0.001 || Rs > 75.0",multi,31,9.2,35,12,0.0078,-0.11375,-0.426,60,25
Jinko Solar Co. Ltd,JKM290PP-60H,Multi-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",multi,32.8,8.86,39.8,9.32,0.0056852,-0.129748,-0.403,120,25
Jinko Solar Co. Ltd,JKM290PP-60H-V,Multi-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",multi,32.8,8.86,39.8,9.32,0.0058716,-0.135718,-0.408,120,25
Jinko Solar Co. Ltd,JKMS290M-60B-MX,Mono-c-Si,"Could not solve, sanity check failed (-4): Rs < 0.001 || Rs > 75.0",mono,30.6,9.49,35,12,0.00828,-0.1078,-0.417,60,25
Jinko Solar Co. Ltd,JKMS290M-60-MX,Mono-c-Si,"Could not solve, sanity check failed (-4): Rs < 0.001 || Rs > 75.0",mono,30.6,9.49,35,12,0.0078,-0.1078,-0.409,60,25
Jinko Solar Co. Ltd,JKMS290PP-60-MX,Multi-c-Si,"Could not solve, sanity check failed (-4): Rs < 0.001 || Rs > 75.0",multi,31.4,9.25,35,12,0.0078,-0.11375,-0.426,60,25
Jinko Solar Co. Ltd,JKM295PP-60H,Multi-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",multi,33.1,8.95,40.1,9.37,0.0057157,-0.130726,-0.403,120,25
Jinko Solar Co. Ltd,JKM295PP-60H-V,Multi-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",multi,33.1,8.95,40.1,9.37,0.0059031,-0.136741,-0.408,120,25
Jinko Solar Co. Ltd,JKMS295M-60B-MX,Mono-c-Si,"Could not solve, sanity check failed (-4): Rs < 0.001 || Rs > 75.0",mono,30.8,9.58,35,12,0.00828,-0.1078,-0.417,60,25
Jinko Solar Co. Ltd,JKMS295M-60-MX,Mono-c-Si,"Could not solve, sanity check failed (-4): Rs < 0.001 || Rs > 75.0",mono,30.8,9.58,35,12,0.0078,-0.1078,-0.409,60,25
Jinko Solar Co. Ltd,JKM300M-60HBL-Q,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,32.3,9.29,39.4,9.98,0.0048902,-0.124504,-0.424,20,25
Jinko Solar Co. Ltd,JKM300PP-60H,Multi-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",multi,33.4,9.03,40.3,9.43,0.0057523,-0.131378,-0.403,120,25
Jinko Solar Co. Ltd,JKM300PP-60H-V,Multi-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",multi,33.4,9.03,40.3,9.43,0.0059409,-0.137423,-0.408,120,25
Jinko Solar Co. Ltd,JKMS300M-60B-MX,Mono-c-Si,"Could not solve, sanity check failed (-4): Rs < 0.001 || Rs > 75.0",mono,31,9.69,35,12,0.00828,-0.1078,-0.417,60,25
Jinko Solar Co. Ltd,JKMS300M-60-MX,Mono-c-Si,"Could not solve, sanity check failed (-4): Rs < 0.001 || Rs > 75.0",mono,31,9.69,35,12,0.0078,-0.1078,-0.409,60,25
Jinko Solar Co. Ltd,JKM305M-60HBL-Q,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,32.5,9.38,39.6,10.07,0.0049343,-0.125136,-0.424,20,25
Jinko Solar Co. Ltd,JKM305M-60HL-Q,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,32.5,9.38,39.6,10.07,0.0071497,-0.127512,-0.387,20,25
Jinko Solar Co. Ltd,JKM305PP-60H,Multi-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",multi,33.6,9.11,40.6,9.49,0.0057889,-0.132356,-0.403,120,25
Jinko Solar Co. Ltd,JKM305PP-60H-V,Multi-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",multi,33.6,9.11,40.6,9.49,0.0059787,-0.138446,-0.408,120,25
Jinko Solar Co. Ltd,JKM310M-60HBL,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,33,9.4,40.5,9.92,0.00496,-0.128385,-0.407,20,25
Jinko Solar Co. Ltd,JKM310M-60HBL-Q,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,32.7,9.47,39.8,10.15,0.0049735,-0.125768,-0.424,20,25
Jinko Solar Co. Ltd,JKM310M-60HL-BDVP,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,32.6,9.51,39.8,10.01,0.0047047,-0.129748,-0.42,20,25
Jinko Solar Co. Ltd,JKM310M-60HL-Q,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,32.7,9.47,39.8,10.15,0.0072065,-0.128156,-0.387,20,25
Jinko Solar Co. Ltd,JKM310PP-60H,Multi-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",multi,33.9,9.19,40.8,9.59,0.0058499,-0.133008,-0.403,120,25
