Name,Manufacturer,Technology,Bifacial,STC,PTC,A_c,Length,Width,N_s,I_sc_ref,V_oc_ref,I_mp_ref,V_mp_ref,alpha_sc,beta_oc,T_NOCT,a_ref,I_L_ref,I_o_ref,R_s,R_sh_ref,Adjust,gamma_r,BIPV,Version,Date
SunPower SPR-230E-WHT-D,SunPower,Mono-c-Si,0,230.04,209.4,1.244,1.559,0.798,72,6.05,48.2,5.68,40.5,0.000968,-0.14942,46,1.93443,6.05426,8.97341e-11,0.314309,446.089,9.16274,-0.43,N,SAM 2021.12.02,11/16/2022
SunPower SPR-230NE-BLK-D,SunPower,Mono-c-Si,0,230.04,210.9,1.244,1.559,0.798,72,6.05,48.2,5.68,40.5,0.0023595,-0.121464,50.3,1.75645,6.05659,7.15286e-12,0.383592,352.018,9.36955,-0.331,N,SAM 2021.12.02,11/16/2022
SunPower SPR-230-WHT-U,SunPower,Mono-c-Si,0,230.01,212.3,1.244,1.559,0.798,72,5.99,48.7,5.61,41,0.00213244,-0.137383,44.7,1.91267,5.99525,5.13035e-11,0.32131,366.71,14.6007,-0.393,N,SAM 2021.12.02,11/16/2022
SunPower SPR-235NE-WHT-D,SunPower,Mono-c-Si,0,234.9,216,1.244,1.559,0.798,72,6.18,48.4,5.8,40.5,0.0024102,-0.122936,50.3,1.74672,6.18759,5.59066e-12,0.415493,338.478,6.16916,-0.324,N,SAM 2021.12.02,11/16/2022
SunPower SPR-E18-235,SunPower,Mono-c-Si,0,234.9,216,1.244,1.559,0.798,72,6.18,48.4,5.8,40.5,0.0024102,-0.122936,50.3,1.74672,6.18759,5.59066e-12,0.415493,338.478,6.16916,-0.324,N,SAM 2021.12.02,11/16/2022
SunPower SPR-E19-235,SunPower,Mono-c-Si,0,234.9,216,1.244,1.559,0.798,72,6.18,48.4,5.8,40.5,0.0024102,-0.122936,50.3,1.74672,6.18759,5.59066e-12,0.415493,338.478,6.16916,-0.324,N,SAM 2021.12.02,11/16/2022
SunPower T5-SER-235P,SunPower,Multi-c-Si,0,235.066,212,1.625,1.653,0.983,60,8.48,36.96,7.99,29.42,0.00398229,-0.127103,44.6,1.55061,8.48235,3.7615e-10,0.382353,1378.31,6.99265,-0.470856,N,SAM 2021.12.02,11/16/2022
SunPower SPR-238E-WHT-D,SunPower,Mono-c-Si,0,238.14,216.9,1.244,1.559,0.798,72,6.25,48.5,5.88,40.5,0.001,-0.15035,46,1.93746,6.25426,8.28145e-11,0.356868,524.012,8.1699,-0.43,N,SAM 2021.12.02,11/16/2022
SunPower SPR-240E-WHT-D,SunPower,Mono-c-Si,0,240.165,218.8,1.244,1.559,0.798,72,6.3,48.6,5.93,40.5,0.001008,-0.15066,46,1.9387,6.30425,8.06189e-11,0.371323,550.36,7.8656,-0.43,N,SAM 2021.12.02,11/16/2022
SunPower SPR-E19-240,SunPower,Mono-c-Si,0,240.165,218.8,1.244,1.559,0.798,72,6.3,48.6,5.93,40.5,0.001008,-0.15066,46,1.9387,6.30425,8.06189e-11,0.371323,550.36,7.8656,-0.43,N,SAM 2021.12.02,11/16/2022
SunPower SPR-X19-240-BLK,SunPower,Mono-c-Si,0,240.165,223.5,1.61,1.626,0.99,72,6.3,48.6,5.93,40.5,0.003213,-0.114696,48.8,1.66397,6.30836,1.27606e-12,0.474143,357.352,0.923363,-0.274,N,SAM 2021.12.02,11/16/2022
SunPower SPR-X19-240-BLK-B-AC,SunPower,Mono-c-Si,0,240.165,223.5,1.61,1.626,0.99,72,6.3,48.6,5.93,40.5,0.003213,-0.114696,48.8,1.66397,6.30836,1.27606e-12,0.474143,357.352,0.923363,-0.274,N,SAM 2021.12.02,11/16/2022
SunPower SPR-245NE-WHT-D,SunPower,Mono-c-Si,0,245.025,225.5,1.244,1.559,0.798,72,6.43,48.8,6.05,40.5,0.0025077,-0.123952,50.3,1.75172,6.43768,5.02928e-12,0.466491,390.703,4.90377,-0.324,N,SAM 2021.12.02,11/16/2022
SunPower SPR-E19-245,SunPower,Mono-c-Si,0,245.025,225.5,1.244,1.559,0.798,72,6.43,48.8,6.05,40.5,0.0025077,-0.123952,50.3,1.75172,6.43768,5.02928e-12,0.466491,390.703,4.90377,-0.324,N,SAM 2021.12.02,11/16/2022
SunPower SPR-E20-245,SunPower,Mono-c-Si,0,245.025,225.5,1.244,1.559,0.798,72,6.43,48.8,6.05,40.5,0.0025077,-0.123952,50.3,1.75172,6.43768,5.02928e-12,0.466491,390.703,4.90377,-0.324,N,SAM 2021.12.02,11/16/2022
SunPower SPR-X20-245,SunPower,Mono-c-Si,0,244.816,231.7,1.244,1.559,0.798,72,6.08,50.8,5.72,42.8,0.002432,-0.12192,43.6,1.78217,6.08655,2.4848e-12,0.407377,378.058,5.31758,-0.3,N,SAM 2021.12.02,11/16/2022
SunPower SPR-250NX-BLK-D,SunPower,Mono-c-Si,0,249.952,231.7,1.244,1.559,0.798,72,6.2,50.93,5.84,42.8,0.0008246,-0.148206,44.5,1.93866,6.20451,2.37816e-11,0.362431,498.476,4.39638,-0.39,N,SAM 2021.12.02,11/16/2022
SunPower SPR-X20-250-BLK,SunPower,Mono-c-Si,0,249.952,231.7,1.244,1.559,0.798,72,6.2,50.93,5.84,42.8,0.0008246,-0.148206,44.5,1.93866,6.20451,2.37816e-11,0.362431,498.476,4.39638,-0.39,N,SAM 2021.12.02,11/16/2022
SunPower SPR-X20-250-BLK-A-AC,SunPower,Mono-c-Si,0,249.952,231.7,1.244,1.559,0.798,72,6.2,50.93,5.84,42.8,0.0008246,-0.148206,44.5,1.93866,6.20451,2.37816e-11,0.362431,498.476,4.39638,-0.39,N,SAM 2021.12.02,11/16/2022
SunPower SPR-X20-255,SunPower,Mono-c-Si,0,254.66,241.4,1.244,1.559,0.798,72,6.3,51,5.95,42.8,0.00252,-0.1224,43.6,1.78245,6.30571,2.32297e-12,0.427775,472.248,4.41166,-0.3,N,SAM 2021.12.02,11/16/2022
SunPower SPR-X21-255,SunPower,Mono-c-Si,0,254.66,241.7,1.182,1.559,0.758,72,6.3,51,5.95,42.8,0.00252,-0.1224,43.6,1.78245,6.30571,2.32297e-12,0.427775,472.248,4.41166,-0.3,N,SAM 2021.12.02,11/16/2022
SunPower SPT-290-Mono,SunPower,Mono-c-Si,0,293.48,264,1.62,,,60,9.75,39.6,9.2,31.9,0.002925,-0.1188,46.3,1.55271,9.75588,8.12665e-11,0.334317,554.337,7.50858,-0.42,N,SAM 2021.12.02,11/16/2022
SunPower SPT-290-Mono-BK,SunPower,Mono-c-Si,0,293.48,266.3,1.62,,,60,9.75,39.6,9.2,31.9,0.0039,-0.11088,45.9,1.51414,9.75724,4.23801e-11,0.343165,462.037,9.22565,-0.39,N,SAM 2021.12.02,11/16/2022
SunPower SPR-E18-295-COM,SunPower,Mono-c-Si,0,295.39,271.1,1.631,1.559,1.046,96,5.83,63.3,5.45,54.2,0.00359944,-0.172619,46,2.54799,5.83294,9.24155e-11,0.220297,437.069,24.295,-0.386,N,SAM 2021.12.02,11/16/2022
SunPower SPT-295-Mono,SunPower,Mono-c-Si,0,298.775,268.7,1.62,,,60,9.78,39.8,9.25,32.3,0.002934,-0.1194,46.3,1.5649,9.7838,8.7679e-11,0.304817,784.257,8.13269,-0.42,N,SAM 2021.12.02,11/16/2022
SunPower SPT-295-Mono-BK,SunPower,Mono-c-Si,0,298.775,266.7,1.62,,,60,9.78,39.8,9.25,32.3,0.0031296,-0.114624,48.9,1.53715,9.78465,5.53427e-11,0.311174,654.804,8.54793,-0.403,N,SAM 2021.12.02,11/16/2022
SunPower SPT-300-Mono,SunPower,Mono-c-Si,0,303.506,271.7,1.62,,,60,9.83,40,9.31,32.6,0.0032439,-0.1144,48.4,1.55342,9.83334,6.4228e-11,0.292562,859.974,10.5637,-0.406,N,SAM 2021.12.02,11/16/2022
SunPower SPT-300-Mono-BK,SunPower,Mono-c-Si,0,303.506,271.4,1.62,,,60,9.83,40,9.31,32.6,0.0031456,-0.1152,48.9,1.54725,9.83352,5.79505e-11,0.293973,821.048,8.90168,-0.403,N,SAM 2021.12.02,11/16/2022
SunPower SPT-305-Mono,SunPower,Mono-c-Si,0,307.664,276.4,1.62,,,60,9.9,40.1,9.38,32.8,0.003267,-0.114686,48.4,1.55999,9.90313,6.76179e-11,0.276548,874.214,10.9582,-0.406,N,SAM 2021.12.02,11/16/2022
SunPower SPT-305-Mono-BK,SunPower,Mono-c-Si,0,307.664,276,1.62,,,60,9.9,40.1,9.38,32.8,0.003168,-0.115488,48.9,1.55379,9.9033,6.10165e-11,0.277959,834.198,9.29135,-0.403,N,SAM 2021.12.02,11/16/2022
SunPower SPR-308E-WHT-D,SunPower,Mono-c-Si,0,308.508,283.4,1.631,1.559,1.046,96,6.02,64.3,5.64,54.7,0.00371675,-0.175346,46,2.57622,6.02358,8.52567e-11,0.291519,490.044,23.1553,-0.386,N,SAM 2021.12.02,11/16/2022
SunPower SPR-308NE-WHT-D,SunPower,Mono-c-Si,0,308.508,283.4,1.631,1.559,1.046,96,6.02,64.3,5.64,54.7,0.00371675,-0.175346,46,2.57622,6.02358,8.52567e-11,0.291519,490.044,23.1553,-0.386,N,SAM 2021.12.02,11/16/2022
SunPower SPR-310E-WHT-D,SunPower,Mono-c-Si,0,310.149,285.3,1.631,1.559,1.046,96,6.05,64.4,5.67,54.7,0.00373527,-0.175619,46,2.57764,6.05373,8.36043e-11,0.30812,500.069,22.9092,-0.386,N,SAM 2021.12.02,11/16/2022
SunPower SPR-310E-WHT-U,SunPower,Mono-c-Si,0,310.149,285.3,1.631,1.559,1.046,96,6.05,64.4,5.67,54.7,0.00373527,-0.175619,46,2.57764,6.05373,8.36043e-11,0.30812,500.069,22.9092,-0.386,N,SAM 2021.12.02,11/16/2022
SunPower SPR-310-WHT-U,SunPower,Mono-c-Si,0,310.149,285.3,1.631,1.559,1.046,96,6.05,64.4,5.67,54.7,0.00373527,-0.175619,46,2.57764,6.05373,8.36043e-11,0.30812,500.069,22.9092,-0.386,N,SAM 2021.12.02,11/16/2022
SunPower SPR-E19-310-COM,SunPower,Mono-c-Si,0,310.149,285.3,1.631,1.559,1.046,96,6.05,64.4,5.67,54.7,0.00373527,-0.175619,46,2.57764,6.05373,8.36043e-11,0.30812,500.069,22.9092,-0.386,N,SAM 2021.12.02,11/16/2022
SunPower SPT-310-Mono,SunPower,Mono-c-Si,0,312.795,281.1,1.62,,,60,9.94,40.3,9.45,33.1,0.0032802,-0.115258,48.4,1.5684,9.94052,6.88396e-11,0.26023,4994.36,11.0686,-0.406,N,SAM 2021.12.02,11/16/2022
SunPower SPT-310-Mono-BK,SunPower,Mono-c-Si,0,312.795,280.7,1.62,,,60,9.94,40.3,9.45,33.1,0.0031808,-0.116064,48.9,1.56217,9.94066,6.21217e-11,0.261642,3926.44,9.40036,-0.403,N,SAM 2021.12.02,11/16/2022
SunPower SPR-E19-315,SunPower,Mono-c-Si,0,315.072,290,1.631,1.559,1.046,96,6.14,64.6,5.76,54.7,0.00379084,-0.176164,46,2.58002,6.14394,8.04681e-11,0.339337,529.161,22.3781,-0.386,N,SAM 2021.12.02,11/16/2022
SunPower SPR-E19-315-COM,SunPower,Mono-c-Si,0,315.072,290,1.631,1.559,1.046,96,6.14,64.6,5.76,54.7,0.00379084,-0.176164,46,2.58002,6.14394,8.04681e-11,0.339337,529.161,22.3781,-0.386,N,SAM 2021.12.02,11/16/2022
SunPower SPR-318E-WHT-D,SunPower,Mono-c-Si,0,318.354,292.9,1.631,1.559,1.046,96,6.2,64.7,5.82,54.7,0.00382788,-0.176437,46,2.581,6.20399,7.89856e-11,0.353811,549.271,22.0949,-0.386,N,SAM 2021.12.02,11/16/2022
SunPower SPR-E19-320,SunPower,Mono-c-Si,0,320.542,296.3,1.63,1.559,1.046,96,6.24,64.8,5.86,54.7,0.0021216,-0.175608,46.2,2.44286,6.24535,1.8453e-11,0.42161,491.863,9.54942,-0.36,N,SAM 2021.12.02,11/16/2022
SunPower SPR-E19-320-BLK,SunPower,Mono-c-Si,0,320.542,296.3,1.63,,,96,6.24,64.8,5.86,54.7,0.0021216,-0.175608,46.2,2.44286,6.24535,1.8453e-11,0.42161,491.863,9.54942,-0.36,N,SAM 2021.12.02,11/16/2022
SunPower SPR-E19-320-BLK-E-AC,SunPower,Mono-c-Si,0,320.542,296.3,1.63,,,96,6.24,64.8,5.86,54.7,0.0021216,-0.175608,46.2,2.44286,6.24535,1.8453e-11,0.42161,491.863,9.54942,-0.36,N,SAM 2021.12.02,11/16/2022
SunPower SPR-E19-320-C-AC,SunPower,Mono-c-Si,0,320.542,294.8,1.631,1.559,1.046,96,6.24,64.8,5.86,54.7,0.00385258,-0.17671,46,2.5823,6.24407,7.74927e-11,0.369039,565.146,21.8409,-0.386,N,SAM 2021.12.02,11/16/2022
SunPower SPR-E19-320-COM,SunPower,Mono-c-Si,0,320.542,294.8,1.631,1.559,1.046,96,6.24,64.8,5.86,54.7,0.00385258,-0.17671,46,2.5823,6.24407,7.74927e-11,0.369039,565.146,21.8409,-0.386,N,SAM 2021.12.02,11/16/2022
SunPower SPR-E19-320-COM-MLSD,SunPower,Mono-c-Si,0,320.542,296.3,1.63,,,96,6.24,64.8,5.86,54.7,0.0021216,-0.175608,46.2,2.44286,6.24535,1.8453e-11,0.42161,491.863,9.54942,-0.36,N,SAM 2021.12.02,11/16/2022
SunPower SPR-E19-320-D-AC,SunPower,Mono-c-Si,0,320.542,294.8,1.631,1.559,1.046,96,6.24,64.8,5.86,54.7,0.00385258,-0.17671,46,2.5823,6.24407,7.74927e-11,0.369039,565.146,21.8409,-0.386,N,SAM 2021.12.02,11/16/2022
SunPower SPR-E19-320-E-AC,SunPower,Mono-c-Si,0,320.542,296.3,1.63,,,96,6.24,64.8,5.86,54.7,0.0021216,-0.175608,46.2,2.44286,6.24535,1.8453e-11,0.42161,491.863,9.54942,-0.36,N,SAM 2021.12.02,11/16/2022
SunPower SPR-E20-325-BLK,SunPower,Mono-c-Si,0,325.465,301,1.63,,,96,6.46,64.9,5.95,54.7,0.0021964,-0.175879,46.2,2.471,6.47177,2.42576e-11,0.414657,227.627,11.7666,-0.36,N,SAM 2021.12.02,11/16/2022
SunPower SPR-E20-325-BLK-E-AC,SunPower,Mono-c-Si,0,325.465,301,1.63,,,96,6.46,64.9,5.95,54.7,0.0021964,-0.175879,46.2,2.471,6.47177,2.42576e-11,0.414657,227.627,11.7666,-0.36,N,SAM 2021.12.02,11/16/2022
SunPower SPR-P17-325-COM,SunPower,Multi-c-Si,0,325.312,291.6,2.042,2.067,0.988,83,8.43,50.7,7.82,41.6,0.0014331,-0.154128,48.9,1.98896,8.44731,6.9557e-11,0.391657,190.757,6.24939,-0.415,N,SAM 2021.12.02,11/16/2022
SunPower SPR-327NE-WHT-D,SunPower,Mono-c-Si,0,327.106,301.4,1.631,1.559,1.046,96,6.46,65.1,5.98,54.7,0.0039884,-0.177528,46,2.60874,6.46903,9.07054e-11,0.398877,285.479,23.1183,-0.386,N,SAM 2021.12.02,11/16/2022
SunPower SPR-E20-327,SunPower,Mono-c-Si,0,327.106,302.9,1.63,1.559,1.046,96,6.46,64.9,5.98,54.7,0.0021964,-0.175879,46.2,2.46402,6.47024,2.26522e-11,0.417205,263.137,11.1293,-0.36,N,SAM 2021.12.02,11/16/2022
SunPower SPR-E20-327-C-AC,SunPower,Mono-c-Si,0,327.106,301.4,1.631,1.559,1.046,96,6.46,65.1,5.98,54.7,0.0039884,-0.177528,46,2.60874,6.46903,9.07054e-11,0.398877,285.479,23.1183,-0.386,N,SAM 2021.12.02,11/16/2022
SunPower SPR-E20-327-COM,SunPower,Mono-c-Si,0,327.106,301.4,1.631,1.559,1.046,96,6.46,65.1,5.98,54.7,0.0039884,-0.177528,46,2.60874,6.46903,9.07054e-11,0.398877,285.479,23.1183,-0.386,N,SAM 2021.12.02,11/16/2022
SunPower SPR-E20-327-COM-MLSD,SunPower,Mono-c-Si,0,327.106,302.9,1.63,,,96,6.46,64.9,5.98,54.7,0.0021964,-0.175879,46.2,2.46402,6.47024,2.26522e-11,0.417205,263.137,11.1293,-0.36,N,SAM 2021.12.02,11/16/2022
SunPower SPR-E20-327-D-AC,SunPower,Mono-c-Si,0,327.106,301.4,1.631,1.559,1.046,96,6.46,65.1,5.98,54.7,0.0039884,-0.177528,46,2.60874,6.46903,9.07054e-11,0.398877,285.479,23.1183,-0.386,N,SAM 2021.12.02,11/16/2022
SunPower SPR-E20-327-E-AC,SunPower,Mono-c-Si,0,327.106,302.9,1.63,,,96,6.46,64.9,5.98,54.7,0.0021964,-0.175879,46.2,2.46402,6.47024,2.26522e-11,0.417205,263.137,11.1293,-0.36,N,SAM 2021.12.02,11/16/2022
SunPower SPR-X20-327,SunPower,Mono-c-Si,0,327.183,308.1,1.631,1.559,1.046,96,6.09,67.6,5.71,57.3,0.00186354,-0.182385,43.7,2.42908,6.09637,4.87092e-12,0.452522,432.373,-0.949495,-0.321,N,SAM 2021.12.02,11/16/2022
SunPower SPR-X20-327-BLK,SunPower,Mono-c-Si,0,327.183,306.1,1.631,1.559,1.046,96,6.09,67.6,5.71,57.3,0.002436,-0.169,46.4,2.41672,6.0965,4.22369e-12,0.457468,428.527,5.56631,-0.31,N,SAM 2021.12.02,11/16/2022
SunPower SPR-X20-327-BLK-C-AC,SunPower,Mono-c-Si,0,327.183,306.1,1.631,1.559,1.046,96,6.09,67.6,5.71,57.3,0.002436,-0.169,46.4,2.41672,6.0965,4.22369e-12,0.457468,428.527,5.56631,-0.31,N,SAM 2021.12.02,11/16/2022
SunPower SPR-X20-327-BLK-D-AC,SunPower,Mono-c-Si,0,327.183,306.1,1.631,1.559,1.046,96,6.09,67.6,5.71,57.3,0.002436,-0.169,46.4,2.41672,6.0965,4.22369e-12,0.457468,428.527,5.56631,-0.31,N,SAM 2021.12.02,11/16/2022
SunPower SPR-X20-327-BLK-E-AC,SunPower,Mono-c-Si,0,327.183,306.1,1.63,,,96,6.07,67.6,5.71,57.3,0.002428,-0.169,46.4,2.41267,6.07552,4.03242e-12,0.460395,506.616,5.1809,-0.31,N,SAM 2021.12.02,11/16/2022
SunPower SPR-X20-327-C-AC,SunPower,Mono-c-Si,0,327.183,308.1,1.631,1.559,1.046,96,6.09,67.6,5.71,57.3,0.00186354,-0.182385,43.7,2.42908,6.09637,4.87092e-12,0.452522,432.373,-0.949495,-0.321,N,SAM 2021.12.02,11/16/2022
SunPower SPR-X20-327-COM,SunPower,Mono-c-Si,0,327.183,308.1,1.631,1.559,1.046,96,6.09,67.6,5.71,57.3,0.00186354,-0.182385,43.7,2.42908,6.09637,4.87092e-12,0.452522,432.373,-0.949495,-0.321,N,SAM 2021.12.02,11/16/2022
SunPower SPR-X20-327-COM-MLSD,SunPower,Mono-c-Si,0,327.183,305.8,1.63,,,96,6.07,67.6,5.71,57.3,0.0021245,-0.190632,45.3,2.47326,6.07496,8.01865e-12,0.436261,534.218,-1.39328,-0.331,N,SAM 2021.12.02,11/16/2022
SunPower SPR-X20-327-D-AC,SunPower,Mono-c-Si,0,327.183,308.1,1.631,1.559,1.046,96,6.09,67.6,5.71,57.3,0.00186354,-0.182385,43.7,2.42908,6.09637,4.87092e-12,0.452522,432.373,-0.949495,-0.321,N,SAM 2021.12.02,11/16/2022
SunPower SPR-X20-327-E-AC,SunPower,Mono-c-Si,0,327.183,308.1,1.63,,,96,6.07,67.6,5.71,57.3,0.0018817,-0.18252,43.7,2.42628,6.07539,4.7197e-12,0.454955,512.569,-1.27038,-0.321,N,SAM 2021.12.02,11/16/2022
SunPower SPR-E20-330,SunPower,Mono-c-Si,0,330.388,305.8,1.63,,,96,6.52,64.9,6.04,54.7,0.0022168,-0.175879,46.2,2.463,6.53011,2.26355e-11,0.413727,266.843,11.0366,-0.36,N,SAM 2021.12.02,11/16/2022
SunPower SPR-E20-330-COM,SunPower,Mono-c-Si,0,330.388,305.8,1.63,,,96,6.52,64.9,6.04,54.7,0.0022168,-0.175879,46.2,2.463,6.53011,2.26355e-11,0.413727,266.843,11.0366,-0.36,N,SAM 2021.12.02,11/16/2022
SunPower SPR-E20-330-COM-MLSD,SunPower,Mono-c-Si,0,330.388,305.8,1.63,,,96,6.52,64.9,6.04,54.7,0.0022168,-0.175879,46.2,2.463,6.53011,2.26355e-11,0.413727,266.843,11.0366,-0.36,N,SAM 2021.12.02,11/16/2022
SunPower SPR-P17-330-COM,SunPower,Multi-c-Si,0,330.172,296.3,2.042,2.067,0.988,83,8.47,50.9,7.88,41.9,0.0014399,-0.154736,48.9,1.99711,8.48477,7.03768e-11,0.371676,213.142,6.29793,-0.415,N,SAM 2021.12.02,11/16/2022
SunPower SPR-E20-333,SunPower,Mono-c-Si,0,333.123,308.6,1.63,,,96,6.56,65.3,6.09,54.7,0.0022304,-0.176963,46.2,2.46724,6.57086,2.03265e-11,0.478628,289.175,10.0112,-0.36,N,SAM 2021.12.02,11/16/2022
SunPower SPR-E20-333-COM,SunPower,Mono-c-Si,0,333.123,308.6,1.63,,,96,6.56,65.3,6.09,54.7,0.0022304,-0.176963,46.2,2.46724,6.57086,2.03265e-11,0.478628,289.175,10.0112,-0.36,N,SAM 2021.12.02,11/16/2022
SunPower SPR-335NX-BLK-D,SunPower,Mono-c-Si,0,335.205,310.7,1.631,1.559,1.046,96,6.23,67.9,5.85,57.3,0.00082859,-0.197589,44.5,2.59478,6.23508,2.63784e-11,0.432309,530.266,5.24286,-0.39,N,SAM 2021.12.02,11/16/2022
SunPower SPR-E20-335,SunPower,Mono-c-Si,0,334.764,310.6,1.63,,,96,6.61,67.9,6.12,54.7,0.0022474,-0.184009,46.2,2.51683,6.63043,1.22894e-11,0.90484,292.826,5.56021,-0.36,N,SAM 2021.12.02,11/16/2022
SunPower SPR-E20-335-COM,SunPower,Mono-c-Si,0,334.764,310.6,1.63,,,96,6.61,67.9,6.12,54.7,0.0022474,-0.184009,46.2,2.51683,6.63043,1.22894e-11,0.90484,292.826,5.56021,-0.36,N,SAM 2021.12.02,11/16/2022
SunPower SPR-E20-335-COM-MLSD,SunPower,Mono-c-Si,0,334.764,310.6,1.63,,,96,6.61,64.9,6.12,54.7,0.0022474,-0.175879,46.2,2.46376,6.62042,2.31196e-11,0.407828,258.671,11.1057,-0.36,N,SAM 2021.12.02,11/16/2022
SunPower SPR-E20-335-E-AC,SunPower,Mono-c-Si,0,334.764,310.6,1.63,,,96,6.61,67.9,6.12,54.7,0.0022474,-0.184009,46.2,2.51683,6.63043,1.22894e-11,0.90484,292.826,5.56021,-0.36,N,SAM 2021.12.02,11/16/2022
SunPower SPR-P17-335-COM,SunPower,Multi-c-Si,0,335.068,300.9,2.042,2.067,0.988,83,8.51,51.1,7.94,42.2,0.0014467,-0.155344,48.9,2.00525,8.52243,7.11987e-11,0.352009,241.005,6.34578,-0.415,N,SAM 2021.12.02,11/16/2022
SunPower SPR-X21-335,SunPower,Mono-c-Si,0,335.205,313.7,1.631,1.559,1.046,96,6.23,67.9,5.85,57.3,0.002492,-0.16975,46.4,2.42033,6.23681,3.98831e-12,0.499388,457.186,4.86979,-0.31,N,SAM 2021.12.02,11/16/2022
SunPower SPR-X21-335-BLK,SunPower,Mono-c-Si,0,335.205,313.5,1.63,,,96,6.23,67.9,5.85,57.3,0.00216181,-0.19175,45.3,2.47898,6.23619,7.7532e-12,0.476643,479.446,-1.99879,-0.3306,N,SAM 2021.12.02,11/16/2022
SunPower SPR-X21-335-BLK-C-AC,SunPower,Mono-c-Si,0,335.205,313.7,1.631,1.559,1.046,96,6.23,67.9,5.85,57.3,0.002492,-0.16975,46.4,2.42033,6.23681,3.98831e-12,0.499388,457.186,4.86979,-0.31,N,SAM 2021.12.02,11/16/2022
SunPower SPR-X21-335-BLK-D-AC,SunPower,Mono-c-Si,0,335.205,313.7,1.631,1.559,1.046,96,6.23,67.9,5.85,57.3,0.002492,-0.16975,46.4,2.42033,6.23681,3.98831e-12,0.499388,457.186,4.86979,-0.31,N,SAM 2021.12.02,11/16/2022
SunPower SPR-X21-335-BLK-E-AC,SunPower,Mono-c-Si,0,335.205,313.5,1.63,,,96,6.23,67.9,5.85,57.3,0.0021805,-0.191478,45.3,2.48097,6.23617,7.92624e-12,0.475873,480.241,-1.68762,-0.331,N,SAM 2021.12.02,11/16/2022
SunPower SPR-X21-335-C-AC,SunPower,Mono-c-Si,0,335.205,313.7,1.631,1.559,1.046,96,6.23,67.9,5.85,57.3,0.002492,-0.16975,46.4,2.42033,6.23681,3.98831e-12,0.499388,457.186,4.86979,-0.31,N,SAM 2021.12.02,11/16/2022
