Name,Vac,Pso,Paco,Pdco,Vdco,C0,C1,C2,C3,Pnt,Vdcmax,Idcmax,Mppt_low,Mppt_high,CEC_Date,CEC_Type
ABB: PVI-3.0-OUTD-S-US-Z-M-A [277V],277,22.046629,3000,3106.850738,390,-0.000005,-0.000033,-0.000032,-0.001180,0.900000,480,7.966284,100,480,10/15/2018,Utility Interactive
ABB: PVI-3.0-OUTD-US [208V],208,18.167402,3000,3142.301077,310,-0.000008,-0.000011,0.000999,-0.000287,0.1,480,10.136455,100,480,n/a,Utility Interactive
ABB: PVI-3.0-OUTD-US [240V],240,16.881294,3000,3121.670114,340,-0.000006,-0.000021,0.000583,-0.000712,0.1,480,9.181383,100,480,n/a,Utility Interactive
ABB: PVI-3.0-OUTD-US [277V],277,22.046629,3000,3106.850738,390,-0.000005,-0.000033,-0.000032,-0.001180,0.2,480,7.966284,100,480,n/a,Utility Interactive
ABB: PVI-3.6-OUTD-S-US [208V],208,25.594222,3600,3757.450092,310,-0.000005,-0.000003,0.000859,0.000536,0.1,480,12.120807,100,480,n/a,Utility Interactive
ABB: PVI-3.6-OUTD-S-US [240V],240,22.812851,3600,3739.761390,340,-0.000003,-0.000018,0.000483,0.001023,0.2,480,10.999298,100,480,n/a,Utility Interactive
ABB: PVI-3.6-OUTD-S-US [277V],277,29.808331,3600,3724.187187,395,-0.000004,-0.000035,-0.000142,0.000468,0.2,480,9.428322,100,480,n/a,Utility Interactive
ABB: PVI-3.6-OUTD-S-US-A [208V],208,25.594222,3600,3757.450092,310,-0.000005,-0.000003,0.000859,0.000536,0.1,480,12.120807,100,480,10/15/2018,Utility Interactive
ABB: PVI-3.6-OUTD-S-US-A [240V],240,22.812851,3600,3739.761390,340,-0.000003,-0.000018,0.000483,0.001023,0.2,480,10.999298,100,480,10/15/2018,Utility Interactive
ABB: PVI-3.6-OUTD-S-US-A [277V],277,29.808331,3600,3724.187187,395,-0.000004,-0.000035,-0.000142,0.000468,0.2,480,9.428322,100,480,10/15/2018,Utility Interactive
ABB: PVI-3.6-OUTD-S-US-Z [208V],208,25.594222,3600,3757.450092,310,-0.000005,-0.000003,0.000859,0.000536,0.1,480,12.120807,100,480,n/a,Utility Interactive
ABB: PVI-3.6-OUTD-S-US-Z [240V],240,22.812851,3600,3739.761390,340,-0.000003,-0.000018,0.000483,0.001023,0.2,480,10.999298,100,480,n/a,Utility Interactive
ABB: PVI-3.6-OUTD-S-US-Z [277V],277,29.808331,3600,3724.187187,395,-0.000004,-0.000035,-0.000142,0.000468,0.2,480,9.428322,100,480,n/a,Utility Interactive
ABB: PVI-3.6-OUTD-S-US-Z-A [208V],208,25.594222,3600,3757.450092,310,-0.000005,-0.000003,0.000859,0.000536,0.1,480,12.120807,100,480,10/15/2018,Utility Interactive
ABB: PVI-3.6-OUTD-S-US-Z-A [240V],240,22.812851,3600,3739.761390,340,-0.000003,-0.000018,0.000483,0.001023,0.2,480,10.999298,100,480,10/15/2018,Utility Interactive
ABB: PVI-3.6-OUTD-S-US-Z-A [277V],277,29.808331,3600,3724.187187,395,-0.000004,-0.000035,-0.000142,0.000468,0.2,480,9.428322,100,480,10/15/2018,Utility Interactive
ABB: PVI-3.6-OUTD-S-US-Z-M-A [208V],208,25.594222,3600,3757.450092,310,-0.000005,-0.000003,0.000859,0.000536,1.080000,480,12.120807,100,480,10/15/2018,Utility Interactive
ABB: PVI-3.6-OUTD-S-US-Z-M-A [240V],240,22.812851,3600,3739.761390,340,-0.000003,-0.000018,0.000483,0.001023,1.080000,480,10.999298,100,480,10/15/2018,Utility Interactive
ABB: PVI-3.6-OUTD-S-US-Z-M-A [277V],277,29.808331,3600,3724.187187,395,-0.000004,-0.000035,-0.000142,0.000468,1.080000,480,9.428322,100,480,10/15/2018,Utility Interactive
ABB: PVI-3.6-OUTD-US [208V],208,25.594222,3600,3757.450092,310,-0.000005,-0.000003,0.000859,0.000536,0.1,480,12.120807,100,480,n/a,Utility Interactive
ABB: PVI-3.6-OUTD-US [240V],240,22.812851,3600,3739.761390,340,-0.000003,-0.000018,0.000483,0.001023,0.2,480,10.999298,100,480,n/a,Utility Interactive
ABB: PVI-3.6-OUTD-US [277V],277,29.808331,3600,3724.187187,395,-0.000004,-0.000035,-0.000142,0.000468,0.2,480,9.428322,100,480,n/a,Utility Interactive
ABB: PVI-3.8-I-OUTD-x-US-y-Z [208V],208,25.362013,3300,3429.628567,310,-0.000005,-0.000006,0.002169,0.000453,0.1,416,11.063318,100,416,n/a,Utility Interactive
ABB: PVI-3.8-I-OUTD-x-US-y-Z [240V],240,25.459550,3800,3936.679539,340,-0.000004,-0.000016,0.001421,-0.000446,0.1,416,11.578469,100,416,n/a,Utility Interactive
ABB: PVI-3.8-I-OUTD-x-US-y-Z [277V],277,26.154385,3800,3925.976866,362,-0.000003,-0.000026,0.000742,-0.001012,0.1,416,10.845240,100,416,n/a,Utility Interactive
ABB: PVI-3.8-OUTD-S-US [208V],208,25.785443,3800,3972.822184,310,-0.000005,-0.000012,0.001047,0.000260,1.140000,480,12.815555,100,480,n/a,Utility Interactive
ABB: PVI-3.8-OUTD-S-US [240V],240,26.981642,3800,3950.148578,340,-0.000003,-0.000024,0.000674,0.000510,1.140000,480,11.618084,100,480,n/a,Utility Interactive
ABB: PVI-3.8-OUTD-S-US [277V],277,29.741049,3800,3931.927908,395,-0.000003,-0.000038,0.000018,-0.000022,1.140000,480,9.954248,100,480,n/a,Utility Interactive
ABB: PVI-3.8-OUTD-S-US-A [208V],208,25.785443,3800,3972.822184,310,-0.000005,-0.000012,0.001047,0.000260,1.140000,480,12.815555,100,480,10/15/2018,Utility Interactive
ABB: PVI-3.8-OUTD-S-US-A [240V],240,26.981642,3800,3950.148578,340,-0.000003,-0.000024,0.000674,0.000510,1.140000,480,11.618084,100,480,10/15/2018,Utility Interactive
ABB: PVI-3.8-OUTD-S-US-A [277V],277,29.741049,3800,3931.927908,395,-0.000003,-0.000038,0.000018,-0.000022,1.140000,480,9.954248,100,480,10/15/2018,Utility Interactive
ABB: PVI-3.8-OUTD-S-US-Z [208V],208,25.785443,3800,3972.822184,310,-0.000005,-0.000012,0.001047,0.000260,1.140000,480,12.815555,100,480,n/a,Utility Interactive
ABB: PVI-3.8-OUTD-S-US-Z [240V],240,26.981642,3800,3950.148578,340,-0.000003,-0.000024,0.000674,0.000510,1.140000,480,11.618084,100,480,n/a,Utility Interactive
ABB: PVI-3.8-OUTD-S-US-Z [277V],277,29.741049,3800,3931.927908,395,-0.000003,-0.000038,0.000018,-0.000022,1.140000,480,9.954248,100,480,n/a,Utility Interactive
ABB: PVI-3.8-OUTD-S-US-Z-A [208V],208,25.785443,3800,3972.822184,310,-0.000005,-0.000012,0.001047,0.000260,1.140000,480,12.815555,100,480,10/15/2018,Utility Interactive
ABB: PVI-3.8-OUTD-S-US-Z-A [240V],240,26.981642,3800,3950.148578,340,-0.000003,-0.000024,0.000674,0.000510,1.140000,480,11.618084,100,480,10/15/2018,Utility Interactive
ABB: PVI-3.8-OUTD-S-US-Z-A [277V],277,29.741049,3800,3931.927908,395,-0.000003,-0.000038,0.000018,-0.000022,1.140000,480,9.954248,100,480,10/15/2018,Utility Interactive
ABB: PVI-3.8-OUTD-S-US-Z-M-A [208V],208,25.785443,3800,3972.822184,310,-0.000005,-0.000012,0.001047,0.000260,1.140000,480,12.815555,100,480,10/15/2018,Utility Interactive
ABB: PVI-3.8-OUTD-S-US-Z-M-A [240V],240,26.981642,3800,3950.148578,340,-0.000003,-0.000024,0.000674,0.000510,1.140000,480,11.618084,100,480,10/15/2018,Utility Interactive
ABB: PVI-3.8-OUTD-S-US-Z-M-A [277V],277,29.741049,3800,3931.927908,395,-0.000003,-0.000038,0.000018,-0.000022,1.140000,480,9.954248,100,480,10/15/2018,Utility Interactive
ABB: PVI-3.8-OUTD-US [208V],208,25.785443,3800,3972.822184,310,-0.000005,-0.000012,0.001047,0.000260,1.140000,480,12.815555,100,480,n/a,Utility Interactive
ABB: PVI-3.8-OUTD-US [240V],240,26.981642,3800,3950.148578,340,-0.000003,-0.000024,0.000674,0.000510,1.140000,480,11.618084,100,480,n/a,Utility Interactive
ABB: PVI-3.8-OUTD-US [277V],277,29.741049,3800,3931.927908,395,-0.000003,-0.000038,0.000018,-0.000022,1.140000,480,9.954248,100,480,n/a,Utility Interactive
ABB: PVI-4.2-OUTD-S-US [208V],208,24.647652,4200,4393.078427,310,-0.000005,-0.000003,0.000630,0.000206,0.1,480,14.171221,100,480,n/a,Utility Interactive
ABB: PVI-4.2-OUTD-S-US [240V],240,27.735159,4200,4369.962549,340,-0.000004,-0.000024,-0.000063,-0.000598,0.2,480,12.852831,100,480,n/a,Utility Interactive
ABB: PVI-4.2-OUTD-S-US [277V],277,29.071818,4200,4347.115072,395,-0.000003,-0.000034,-0.000283,0.000289,0.2,480,11.005355,100,480,n/a,Utility Interactive
ABB: PVI-4.2-OUTD-S-US-A [208V],208,24.647652,4200,4393.078427,310,-0.000005,-0.000003,0.000630,0.000206,0.1,480,14.171221,100,480,10/15/2018,Utility Interactive
ABB: PVI-4.2-OUTD-S-US-A [240V],240,27.735159,4200,4369.962549,340,-0.000004,-0.000024,-0.000063,-0.000598,0.2,480,12.852831,100,480,10/15/2018,Utility Interactive
ABB: PVI-4.2-OUTD-S-US-A [277V],277,29.071818,4200,4347.115072,395,-0.000003,-0.000034,-0.000283,0.000289,0.2,480,11.005355,100,480,10/15/2018,Utility Interactive
ABB: PVI-4.2-OUTD-S-US-Z [208V],208,24.647652,4200,4393.078427,310,-0.000005,-0.000003,0.000630,0.000206,0.1,480,14.171221,100,480,n/a,Utility Interactive
ABB: PVI-4.2-OUTD-S-US-Z [240V],240,27.735159,4200,4369.962549,340,-0.000004,-0.000024,-0.000063,-0.000598,0.2,480,12.852831,100,480,n/a,Utility Interactive
ABB: PVI-4.2-OUTD-S-US-Z [277V],277,29.071818,4200,4347.115072,395,-0.000003,-0.000034,-0.000283,0.000289,0.2,480,11.005355,100,480,n/a,Utility Interactive
ABB: PVI-4.2-OUTD-S-US-Z-A [208V],208,24.647652,4200,4393.078427,310,-0.000005,-0.000003,0.000630,0.000206,0.1,480,14.171221,100,480,10/15/2018,Utility Interactive
ABB: PVI-4.2-OUTD-S-US-Z-A [240V],240,27.735159,4200,4369.962549,340,-0.000004,-0.000024,-0.000063,-0.000598,0.2,480,12.852831,100,480,10/15/2018,Utility Interactive
ABB: PVI-4.2-OUTD-S-US-Z-A [277V],277,29.071818,4200,4347.115072,395,-0.000003,-0.000034,-0.000283,0.000289,0.2,480,11.005355,100,480,10/15/2018,Utility Interactive
ABB: PVI-4.2-OUTD-S-US-Z-M-A [208V],208,24.647652,4200,4393.078427,310,-0.000005,-0.000003,0.000630,0.000206,1.260000,480,14.171221,100,480,10/15/2018,Utility Interactive
ABB: PVI-4.2-OUTD-S-US-Z-M-A [240V],240,27.735159,4200,4369.962549,340,-0.000004,-0.000024,-0.000063,-0.000598,1.260000,480,12.852831,100,480,10/15/2018,Utility Interactive
ABB: PVI-4.2-OUTD-S-US-Z-M-A [277V],277,29.071818,4200,4347.115072,395,-0.000003,-0.000034,-0.000283,0.000289,1.260000,480,11.005355,100,480,10/15/2018,Utility Interactive
ABB: PVI-4.2-OUTD-US [208V],208,24.647652,4200,4393.078427,310,-0.000005,-0.000003,0.000630,0.000206,0.1,480,14.171221,100,480,n/a,Utility Interactive
ABB: PVI-4.2-OUTD-US [240V],240,27.735159,4200,4369.962549,340,-0.000004,-0.000024,-0.000063,-0.000598,0.2,480,12.852831,100,480,n/a,Utility Interactive
ABB: PVI-4.2-OUTD-US [277V],277,29.071818,4200,4347.115072,395,-0.000003,-0.000034,-0.000283,0.000289,0.2,480,11.005355,100,480,n/a,Utility Interactive
ABB: PVI-4.6-1-OUTD-x-US-y [208V],208,24.160213,4600,4800.855124,310,-0.000005,-0.000028,0.000934,-0.002180,0.1,416,15.486629,100,416,n/a,Utility Interactive
ABB: PVI-4.6-1-OUTD-x-US-y [240V],240,25.041549,4600,4772.467796,340,-0.000003,-0.000031,0.000561,-0.002531,0.1,416,14.036670,100,416,n/a,Utility Interactive
ABB: PVI-4.6-1-OUTD-x-US-y [277V],277,25.381918,4600,4756.201766,360,-0.000003,-0.000031,0.000267,-0.001631,0.1,416,13.211672,100,416,n/a,Utility Interactive
ABB: PVI-4.6-I-OUTD-x-US-y-Z [208V],208,24.160213,4600,4800.855124,310,-0.000005,-0.000028,0.000934,-0.002180,0.1,416,15.486629,100,416,n/a,Utility Interactive
ABB: PVI-4.6-I-OUTD-x-US-y-Z [240V],240,25.041549,4600,4772.467796,340,-0.000003,-0.000031,0.000561,-0.002531,0.1,416,14.036670,100,416,n/a,Utility Interactive
ABB: PVI-4.6-I-OUTD-x-US-y-Z [277V],277,25.381918,4600,4756.201766,360,-0.000003,-0.000031,0.000267,-0.001631,0.1,416,13.211672,100,416,n/a,Utility Interactive
ABB: PVI-5000-OUTD-S-US-Z [208V],208,30.860588,5000,5208.397003,310,-0.000004,-0.000003,0.001130,-0.000327,1.500000,480,16.801281,100,480,n/a,Utility Interactive
ABB: PVI-5000-OUTD-S-US-Z [240V],240,32.032491,5000,5190.294318,345,-0.000004,-0.000010,0.000445,-0.000412,1.500000,480,15.044331,100,480,n/a,Utility Interactive
ABB: PVI-5000-OUTD-S-US-Z [277V],277,38.206573,5000,5162.439019,400,-0.000003,-0.000018,0.000153,-0.000797,1.500000,480,12.906098,100,480,n/a,Utility Interactive
ABB: PVI-5000-OUTD-S-US-Z-A [208V],208,30.860588,5000,5208.397003,310,-0.000004,-0.000003,0.001130,-0.000327,1.500000,480,16.801281,100,480,n/a,Utility Interactive
ABB: PVI-5000-OUTD-S-US-Z-A [240V],240,32.032491,5000,5190.294318,345,-0.000004,-0.000010,0.000445,-0.000412,1.500000,480,15.044331,100,480,n/a,Utility Interactive
ABB: PVI-5000-OUTD-S-US-Z-A [277V],277,38.206573,5000,5162.439019,400,-0.000003,-0.000018,0.000153,-0.000797,1.500000,480,12.906098,100,480,n/a,Utility Interactive
ABB: PVI-5000-OUTD-US [208V],208,30.860588,5000,5208.397003,310,-0.000004,-0.000003,0.001130,-0.000327,1.500000,480,16.801281,100,480,n/a,Utility Interactive
ABB: PVI-5000-OUTD-US [240V],240,32.032491,5000,5190.294318,345,-0.000004,-0.000010,0.000445,-0.000412,1.500000,480,15.044331,100,480,n/a,Utility Interactive
ABB: PVI-5000-OUTD-US [277V],277,38.206573,5000,5162.439019,400,-0.000003,-0.000018,0.000153,-0.000797,1.500000,480,12.906098,100,480,n/a,Utility Interactive
ABB: PVI-5000-OUTD-US-A [208V],208,30.860588,5000,5208.397003,310,-0.000004,-0.000003,0.001130,-0.000327,1.500000,480,16.801281,100,480,10/15/2018,Utility Interactive
ABB: PVI-5000-OUTD-US-A [240V],240,32.032491,5000,5190.294318,345,-0.000004,-0.000010,0.000445,-0.000412,1.500000,480,15.044331,100,480,10/15/2018,Utility Interactive
ABB: PVI-5000-OUTD-US-A [277V],277,38.206573,5000,5162.439019,400,-0.000003,-0.000018,0.000153,-0.000797,1.500000,480,12.906098,100,480,10/15/2018,Utility Interactive
ABB: PVI-5000-OUTD-US-Z [208V],208,30.860588,5000,5208.397003,310,-0.000004,-0.000003,0.001130,-0.000327,1.500000,480,16.801281,100,480,n/a,Utility Interactive
ABB: PVI-5000-OUTD-US-Z [240V],240,32.032491,5000,5190.294318,345,-0.000004,-0.000010,0.000445,-0.000412,1.500000,480,15.044331,100,480,n/a,Utility Interactive
ABB: PVI-5000-OUTD-US-Z [277V],277,38.206573,5000,5162.439019,400,-0.000003,-0.000018,0.000153,-0.000797,1.500000,480,12.906098,100,480,n/a,Utility Interactive
ABB: PVI-5000-OUTD-US-Z-A [208V],208,30.860588,5000,5208.397003,310,-0.000004,-0.000003,0.001130,-0.000327,1.500000,480,16.801281,100,480,10/15/2018,Utility Interactive
ABB: PVI-5000-OUTD-US-Z-A [240V],240,32.032491,5000,5190.294318,345,-0.000004,-0.000010,0.000445,-0.000412,1.500000,480,15.044331,100,480,10/15/2018,Utility Interactive
ABB: PVI-5000-OUTD-US-Z-A [277V],277,38.206573,5000,5162.439019,400,-0.000003,-0.000018,0.000153,-0.000797,1.500000,480,12.906098,100,480,10/15/2018,Utility Interactive
ABB: PVI-5000-OUTD-US-Z-M-A [208V],208,30.860588,5000,5208.397003,310,-0.000004,-0.000003,0.001130,-0.000327,1.500000,480,16.801281,100,480,10/15/2018,Utility Interactive
ABB: PVI-5000-OUTD-US-Z-M-A [240V],240,32.032491,5000,5190.294318,345,-0.000004,-0.000010,0.000445,-0.000412,1.500000,480,15.044331,100,480,10/15/2018,Utility Interactive
ABB: PVI-5000-OUTD-US-Z-M-A [277V],277,38.206573,5000,5162.439019,400,-0.000003,-0.000018,0.000153,-0.000797,1.500000,480,12.906098,100,480,10/15/2018,Utility Interactive
ABB: PVI-6000-OUTD-S-US-A [208V],208,30.174872,6000,6267.336010,310,-0.000004,-0.000006,0.001075,-0.000453,1.800000,480,20.217213,100,480,n/a,Utility Interactive
ABB: PVI-6000-OUTD-S-US-A [240V],240,29.692899,6000,6236.588821,345,-0.000003,-0.000013,0.000347,-0.000753,1.800000,480,18.077069,100,480,n/a,Utility Interactive
ABB: PVI-6000-OUTD-S-US-A [277V],277,35.360936,6000,6196.809519,400,-0.000002,-0.000024,-0.000044,-0.001749,1.800000,480,15.492024,100,480,n/a,Utility Interactive
ABB: PVI-6000-OUTD-S-US-Z [208V],208,30.174872,6000,6267.336010,310,-0.000004,-0.000006,0.001075,-0.000453,1.800000,480,20.217213,100,480,n/a,Utility Interactive
ABB: PVI-6000-OUTD-S-US-Z [240V],240,29.692899,6000,6236.588821,345,-0.000003,-0.000013,0.000347,-0.000753,1.800000,480,18.077069,100,480,n/a,Utility Interactive
ABB: PVI-6000-OUTD-S-US-Z [277V],277,35.360936,6000,6196.809519,400,-0.000002,-0.000024,-0.000044,-0.001749,1.800000,480,15.492024,100,480,n/a,Utility Interactive
ABB: PVI-6000-OUTD-S-US-Z-A [208V],208,30.174872,6000,6267.336010,310,-0.000004,-0.000006,0.001075,-0.000453,1.800000,480,20.217213,100,480,n/a,Utility Interactive
ABB: PVI-6000-OUTD-S-US-Z-A [240V],240,29.692899,6000,6236.588821,345,-0.000003,-0.000013,0.000347,-0.000753,1.800000,480,18.077069,100,480,n/a,Utility Interactive
ABB: PVI-6000-OUTD-S-US-Z-A [277V],277,35.360936,6000,6196.809519,400,-0.000002,-0.000024,-0.000044,-0.001749,1.800000,480,15.492024,100,480,n/a,Utility Interactive
ABB: PVI-6000-OUTD-US [208V],208,30.174872,6000,6267.336010,310,-0.000004,-0.000006,0.001075,-0.000453,1.800000,480,20.217213,100,480,n/a,Utility Interactive
ABB: PVI-6000-OUTD-US [240V],240,29.692899,6000,6236.588821,345,-0.000003,-0.000013,0.000347,-0.000753,1.800000,480,18.077069,100,480,n/a,Utility Interactive
ABB: PVI-6000-OUTD-US [277V],277,35.360936,6000,6196.809519,400,-0.000002,-0.000024,-0.000044,-0.001749,1.800000,480,15.492024,100,480,n/a,Utility Interactive
ABB: PVI-6000-OUTD-US-A [208V],208,30.174872,6000,6267.336010,310,-0.000004,-0.000006,0.001075,-0.000453,1.800000,480,20.217213,100,480,10/15/2018,Utility Interactive
ABB: PVI-6000-OUTD-US-A [240V],240,29.692899,6000,6236.588821,345,-0.000003,-0.000013,0.000347,-0.000753,1.800000,480,18.077069,100,480,10/15/2018,Utility Interactive
ABB: PVI-6000-OUTD-US-A [277V],277,35.360936,6000,6196.809519,400,-0.000002,-0.000024,-0.000044,-0.001749,1.800000,480,15.492024,100,480,10/15/2018,Utility Interactive
ABB: PVI-6000-OUTD-US-Z [208V],208,30.174872,6000,6267.336010,310,-0.000004,-0.000006,0.001075,-0.000453,1.800000,480,20.217213,100,480,n/a,Utility Interactive
ABB: PVI-6000-OUTD-US-Z [240V],240,29.692899,6000,6236.588821,345,-0.000003,-0.000013,0.000347,-0.000753,1.800000,480,18.077069,100,480,n/a,Utility Interactive
ABB: PVI-6000-OUTD-US-Z [277V],277,35.360936,6000,6196.809519,400,-0.000002,-0.000024,-0.000044,-0.001749,1.800000,480,15.492024,100,480,n/a,Utility Interactive
ABB: PVI-6000-OUTD-US-Z-A [208V],208,30.174872,6000,6267.336010,310,-0.000004,-0.000006,0.001075,-0.000453,1.800000,480,20.217213,100,480,10/15/2018,Utility Interactive
ABB: PVI-6000-OUTD-US-Z-A [240V],240,29.692899,6000,6236.588821,345,-0.000003,-0.000013,0.000347,-0.000753,1.800000,480,18.077069,100,480,10/15/2018,Utility Interactive
ABB: PVI-6000-OUTD-US-Z-A [277V],277,35.360936,6000,6196.809519,400,-0.000002,-0.000024,-0.000044,-0.001749,1.800000,480,15.492024,100,480,10/15/2018,Utility Interactive
ABB: PVI-6000-OUTD-US-Z-M-A [208V],208,30.174872,6000,6267.336010,310,-0.000004,-0.000006,0.001075,-0.000453,1.800000,480,20.217213,100,480,10/15/2018,Utility Interactive
ABB: PVI-6000-OUTD-US-Z-M-A [240V],240,29.692899,6000,6236.588821,345,-0.000003,-0.000013,0.000347,-0.000753,1.800000,480,18.077069,100,480,10/15/2018,Utility Interactive
ABB: PVI-6000-OUTD-US-Z-M-A [277V],277,35.360936,6000,6196.809519,400,-0.000002,-0.000024,-0.000044,-0.001749,1.800000,480,15.492024,100,480,10/15/2018,Utility Interactive
ABB: PVI-CENTRAL-100-US [208V],208,764.544358,100000,105695.342319,370,-0.000000,0.000021,0.001080,0.000120,47,480,285.663087,330,480,n/a,Utility Interactive
ABB: PVI-CENTRAL-100-US [480V],480,830.721657,100000,105669.858881,370,-0.000000,0.000022,0.000719,-0.000142,50,480,285.594213,330,480,n/a,Utility Interactive
ABB: PVI-CENTRAL-250-US [480V],480,868.213402,250000,259210.759791,360,-0.000000,0.000037,0.003627,-0.000250,105.3,480,720.029888,320,480,n/a,Utility Interactive
ABB: PVI-CENTRAL-300-US [480V],480,1000.210506,300000,311352.931782,360,-0.000000,0.000046,0.001258,-0.001242,119,480,864.869255,320,480,n/a,Utility Interactive
ABB: PVI-CENTRAL-50-US [208V],208,435.548819,50000,52854.512544,370,-0.000001,0.000021,0.000425,-0.000447,33,480,142.850034,330,480,n/a,Utility Interactive
ABB: PVI-CENTRAL-50-US [480V],480,453.710233,50000,52623.739959,370,-0.000001,0.000020,0.000727,0.000086,41,480,142.226324,330,480,n/a,Utility Interactive
ABB: PVS-60-TL-S-US [480V],480,148.911997,60030,61142.058837,720,-0.000000,-0.000034,0.001040,-0.000666,18.009000,800,84.919526,570,800,n/a,Grid Support
