P_0,h_0,P_50,h_50,P_100,h_100,P_150,h_150,P_200,h_200,P_250,h_250,P_300,h_300,P_350,h_350,P_400,h_400,P_450,h_450,P_500,h_500,P_550,h_550,P_600,h_600,P_650,h_650,P_700,h_700,P_750,h_750,P_800,h_800
6.25628,197.514,6.25628,465.023,6.25628,532.747,6.25628,590.498,6.25628,645.992,6.25628,701.163,6.25628,756.726,6.25628,812.978,6.25628,870.038,6.25628,927.942,6.25628,986.681,6.25628,1046.23,6.25628,1106.54,6.25628,1167.57,6.25628,1229.28,6.25628,1291.61,6.25628,1354.53
6.38191,197.426,6.38191,463.247,6.38191,531.847,6.38191,589.886,6.38191,645.534,6.38191,700.805,6.38191,756.437,6.38191,812.741,6.38191,869.842,6.38191,927.778,6.38191,986.544,6.38191,1046.11,6.38191,1106.45,6.38191,1167.49,6.38191,1229.22,6.38191,1291.56,6.38191,1354.49
6.50754,197.341,6.50754,461.435,6.50754,530.942,6.50754,589.273,6.50754,645.077,6.50754,700.446,6.50754,756.149,6.50754,812.505,6.50754,869.645,6.50754,927.614,6.50754,986.407,6.50754,1046,6.50754,1106.35,6.50754,1167.42,6.50754,1229.15,6.50754,1291.51,6.50754,1354.45
6.63317,197.256,6.63317,459.585,6.63317,530.033,6.63317,588.659,6.63317,644.619,6.63317,700.088,6.63317,755.86,6.63317,812.268,6.63317,869.45,6.63317,927.45,6.63317,986.27,6.63317,1045.88,6.63317,1106.25,6.63317,1167.34,6.63317,1229.09,6.63317,1291.46,6.63317,1354.4
6.75879,197.174,6.75879,457.696,6.75879,529.12,6.75879,588.044,6.75879,644.162,6.75879,699.73,6.75879,755.572,6.75879,812.032,6.75879,869.254,6.75879,927.287,6.75879,986.134,6.75879,1045.77,6.75879,1106.16,6.75879,1167.26,6.75879,1229.02,6.75879,1291.41,6.75879,1354.36
6.88442,197.093,6.88442,455.764,6.88442,528.202,6.88442,587.428,6.88442,643.704,6.88442,699.373,6.88442,755.285,6.88442,811.797,6.88442,869.059,6.88442,927.124,6.88442,985.998,6.88442,1045.66,6.88442,1106.06,6.88442,1167.18,6.88442,1228.96,6.88442,1291.35,6.88442,1354.32
7.01005,197.013,7.01005,453.788,7.01005,527.281,7.01005,586.811,7.01005,643.246,7.01005,699.015,7.01005,754.997,7.01005,811.561,7.01005,868.864,7.01005,926.962,7.01005,985.862,7.01005,1045.54,7.01005,1105.97,7.01005,1167.1,7.01005,1228.89,7.01005,1291.3,7.01005,1354.28
7.13568,196.935,7.13568,451.765,7.13568,526.355,7.13568,586.194,7.13568,642.789,7.13568,698.658,7.13568,754.71,7.13568,811.326,7.13568,868.669,7.13568,926.799,7.13568,985.726,7.13568,1045.43,7.13568,1105.88,7.13568,1167.02,7.13568,1228.83,7.13568,1291.25,7.13568,1354.24
7.26131,196.858,7.26131,449.692,7.26131,525.425,7.26131,585.575,7.26131,642.331,7.26131,698.301,7.26131,754.423,7.26131,811.091,7.26131,868.475,7.26131,926.637,7.26131,985.591,7.26131,1045.32,7.26131,1105.78,7.26131,1166.95,7.26131,1228.77,7.26131,1291.2,7.26131,1354.2
7.38693,196.783,7.38693,447.567,7.38693,524.491,7.38693,584.956,7.38693,641.873,7.38693,697.945,7.38693,754.137,7.38693,810.857,7.38693,868.281,7.38693,926.476,7.38693,985.456,7.38693,1045.2,7.38693,1105.69,7.38693,1166.87,7.38693,1228.7,7.38693,1291.15,7.38693,1354.16
7.51256,196.709,7.51256,445.385,7.51256,523.552,7.51256,584.336,7.51256,641.415,7.51256,697.588,7.51256,753.851,7.51256,810.623,7.51256,868.087,7.51256,926.314,7.51256,985.321,7.51256,1045.09,7.51256,1105.59,7.51256,1166.79,7.51256,1228.64,7.51256,1291.1,7.51256,1354.13
7.63819,196.636,7.63819,443.144,7.63819,522.609,7.63819,583.716,7.63819,640.958,7.63819,697.232,7.63819,753.565,7.63819,810.389,7.63819,867.893,7.63819,926.153,7.63819,985.186,7.63819,1044.98,7.63819,1105.5,7.63819,1166.71,7.63819,1228.58,7.63819,1291.05,7.63819,1354.09
7.76382,196.565,7.76382,440.84,7.76382,521.662,7.76382,583.094,7.76382,640.5,7.76382,696.876,7.76382,753.279,7.76382,810.156,7.76382,867.7,7.76382,925.992,7.76382,985.052,7.76382,1044.87,7.76382,1105.41,7.76382,1166.64,7.76382,1228.52,7.76382,1291,7.76382,1354.05
7.88945,196.494,7.88945,438.468,7.88945,520.711,7.88945,582.472,7.88945,640.042,7.88945,696.52,7.88945,752.994,7.88945,809.923,7.88945,867.508,7.88945,925.832,7.88945,984.918,7.88945,1044.75,7.88945,1105.31,7.88945,1166.56,7.88945,1228.45,7.88945,1290.95,7.88945,1354.01
8.01508,196.426,8.01508,436.024,8.01508,519.755,8.01508,581.849,8.01508,639.585,8.01508,696.165,8.01508,752.709,8.01508,809.69,8.01508,867.315,8.01508,925.672,8.01508,984.784,8.01508,1044.64,8.01508,1105.22,8.01508,1166.48,8.01508,1228.39,8.01508,1290.9,8.01508,1353.97
8.1407,196.358,8.1407,433.503,8.1407,518.796,8.1407,581.225,8.1407,639.127,8.1407,695.81,8.1407,752.425,8.1407,809.457,8.1407,867.123,8.1407,925.512,8.1407,984.65,8.1407,1044.53,8.1407,1105.13,8.1407,1166.41,8.1407,1228.33,8.1407,1290.85,8.1407,1353.93
8.26633,196.291,8.26633,430.899,8.26633,517.832,8.26633,580.601,8.26633,638.669,8.26633,695.455,8.26633,752.141,8.26633,809.225,8.26633,866.931,8.26633,925.352,8.26633,984.517,8.26633,1044.42,8.26633,1105.04,8.26633,1166.33,8.26633,1228.27,8.26633,1290.8,8.26633,1353.89
8.39196,196.226,8.39196,428.208,8.39196,516.863,8.39196,579.976,8.39196,638.212,8.39196,695.1,8.39196,751.857,8.39196,808.994,8.39196,866.74,8.39196,925.193,8.39196,984.384,8.39196,1044.31,8.39196,1104.94,8.39196,1166.26,8.39196,1228.2,8.39196,1290.75,8.39196,1353.85
8.51759,196.162,8.51759,425.422,8.51759,515.891,8.51759,579.35,8.51759,637.754,8.51759,694.746,8.51759,751.573,8.51759,808.762,8.51759,866.549,8.51759,925.034,8.51759,984.252,8.51759,1044.2,8.51759,1104.85,8.51759,1166.18,8.51759,1228.14,8.51759,1290.7,8.51759,1353.82
8.64322,196.099,8.64322,422.536,8.64322,514.914,8.64322,578.724,8.64322,637.297,8.64322,694.392,8.64322,751.29,8.64322,808.531,8.64322,866.358,8.64322,924.875,8.64322,984.119,8.64322,1044.09,8.64322,1104.76,8.64322,1166.1,8.64322,1228.08,8.64322,1290.65,8.64322,1353.78
8.76884,196.037,8.76884,419.543,8.76884,513.934,8.76884,578.097,8.76884,636.84,8.76884,694.038,8.76884,751.007,8.76884,808.3,8.76884,866.167,8.76884,924.717,8.76884,983.987,8.76884,1043.98,8.76884,1104.67,8.76884,1166.03,8.76884,1228.02,8.76884,1290.6,8.76884,1353.74
8.89447,195.977,8.89447,416.438,8.89447,512.949,8.89447,577.469,8.89447,636.383,8.89447,693.685,8.89447,750.725,8.89447,808.07,8.89447,865.977,8.89447,924.559,8.89447,983.855,8.89447,1043.87,8.89447,1104.58,8.89447,1165.95,8.89447,1227.96,8.89447,1290.55,8.89447,1353.7
9.0201,195.917,9.0201,413.213,9.0201,511.96,9.0201,576.841,9.0201,635.926,9.0201,693.331,9.0201,750.443,9.0201,807.84,9.0201,865.787,9.0201,924.401,9.0201,983.724,9.0201,1043.76,9.0201,1104.49,9.0201,1165.88,9.0201,1227.9,9.0201,1290.51,9.0201,1353.66
9.14573,195.858,9.14573,409.864,9.14573,510.967,9.14573,576.213,9.14573,635.469,9.14573,692.978,9.14573,750.161,9.14573,807.61,9.14573,865.598,9.14573,924.243,9.14573,983.592,9.14573,1043.65,9.14573,1104.4,9.14573,1165.8,9.14573,1227.84,9.14573,1290.46,9.14573,1353.63
9.27136,195.801,9.27136,406.388,9.27136,509.969,9.27136,575.583,9.27136,635.012,9.27136,692.626,9.27136,749.879,9.27136,807.381,9.27136,865.408,9.27136,924.086,9.27136,983.461,9.27136,1043.54,9.27136,1104.31,9.27136,1165.73,9.27136,1227.78,9.27136,1290.41,9.27136,1353.59
9.39698,195.744,9.39698,402.785,9.39698,508.968,9.39698,574.954,9.39698,634.555,9.39698,692.274,9.39698,749.598,9.39698,807.152,9.39698,865.219,9.39698,923.929,9.39698,983.33,9.39698,1043.43,9.39698,1104.22,9.39698,1165.66,9.39698,1227.72,9.39698,1290.36,9.39698,1353.55
9.52261,195.689,9.52261,399.055,9.52261,507.963,9.52261,574.323,9.52261,634.099,9.52261,691.922,9.52261,749.317,9.52261,806.923,9.52261,865.031,9.52261,923.772,9.52261,983.2,9.52261,1043.32,9.52261,1104.13,9.52261,1165.58,9.52261,1227.66,9.52261,1290.31,9.52261,1353.51
9.64824,195.634,9.64824,395.208,9.64824,506.954,9.64824,573.693,9.64824,633.642,9.64824,691.57,9.64824,749.037,9.64824,806.695,9.64824,864.843,9.64824,923.616,9.64824,983.07,9.64824,1043.21,9.64824,1104.04,9.64824,1165.51,9.64824,1227.6,9.64824,1290.26,9.64824,1353.48
9.77387,195.581,9.77387,391.257,9.77387,505.941,9.77387,573.061,9.77387,633.186,9.77387,691.219,9.77387,748.757,9.77387,806.467,9.77387,864.655,9.77387,923.46,9.77387,982.94,9.77387,1043.11,9.77387,1103.95,9.77387,1165.43,9.77387,1227.54,9.77387,1290.22,9.77387,1353.44
9.8995,195.528,9.8995,387.223,9.8995,504.924,9.8995,572.43,9.8995,632.73,9.8995,690.868,9.8995,748.477,9.8995,806.239,9.8995,864.467,9.8995,923.304,9.8995,982.81,9.8995,1043,9.8995,1103.86,9.8995,1165.36,9.8995,1227.48,9.8995,1290.17,9.8995,1353.4
10.0251,195.476,10.0251,383.133,10.0251,503.904,10.0251,571.798,10.0251,632.275,10.0251,690.517,10.0251,748.198,10.0251,806.012,10.0251,864.28,10.0251,923.149,10.0251,982.68,10.0251,1042.89,10.0251,1103.77,10.0251,1165.29,10.0251,1227.42,10.0251,1290.12,10.0251,1353.37
10.1508,195.426,10.1508,379.026,10.1508,502.88,10.1508,571.165,10.1508,631.819,10.1508,690.167,10.1508,747.919,10.1508,805.785,10.1508,864.093,10.1508,922.993,10.1508,982.551,10.1508,1042.78,10.1508,1103.68,10.1508,1165.21,10.1508,1227.36,10.1508,1290.08,10.1508,1353.33
10.2764,195.376,10.2764,374.945,10.2764,501.852,10.2764,570.532,10.2764,631.364,10.2764,689.817,10.2764,747.64,10.2764,805.559,10.2764,863.906,10.2764,922.839,10.2764,982.422,10.2764,1042.68,10.2764,1103.59,10.2764,1165.14,10.2764,1227.3,10.2764,1290.03,10.2764,1353.3
10.402,195.327,10.402,370.943,10.402,500.821,10.402,569.899,10.402,630.909,10.402,689.468,10.402,747.362,10.402,805.332,10.402,863.72,10.402,922.684,10.402,982.294,10.402,1042.57,10.402,1103.5,10.402,1165.07,10.402,1227.24,10.402,1289.98,10.402,1353.26
10.5276,195.279,10.5276,367.07,10.5276,499.786,10.5276,569.266,10.5276,630.454,10.5276,689.118,10.5276,747.084,10.5276,805.107,10.5276,863.534,10.5276,922.53,10.5276,982.165,10.5276,1042.46,10.5276,1103.41,10.5276,1164.99,10.5276,1227.18,10.5276,1289.94,10.5276,1353.22
10.6533,195.232,10.6533,363.371,10.6533,498.748,10.6533,568.632,10.6533,629.999,10.6533,688.77,10.6533,746.807,10.6533,804.881,10.6533,863.348,10.6533,922.376,10.6533,982.037,10.6533,1042.36,10.6533,1103.32,10.6533,1164.92,10.6533,1227.12,10.6533,1289.89,10.6533,1353.19
10.7789,195.186,10.7789,359.875,10.7789,497.707,10.7789,567.998,10.7789,629.545,10.7789,688.421,10.7789,746.53,10.7789,804.656,10.7789,863.163,10.7789,922.222,10.7789,981.909,10.7789,1042.25,10.7789,1103.24,10.7789,1164.85,10.7789,1227.06,10.7789,1289.84,10.7789,1353.15
10.9045,195.14,10.9045,356.595,10.9045,496.662,10.9045,567.364,10.9045,629.091,10.9045,688.073,10.9045,746.253,10.9045,804.431,10.9045,862.978,10.9045,922.069,10.9045,981.782,10.9045,1042.14,10.9045,1103.15,10.9045,1164.78,10.9045,1227.01,10.9045,1289.8,10.9045,1353.12
11.0302,195.095,11.0302,353.536,11.0302,495.614,11.0302,566.73,11.0302,628.637,11.0302,687.726,11.0302,745.977,11.0302,804.207,11.0302,862.793,11.0302,921.916,11.0302,981.655,11.0302,1042.04,11.0302,1103.06,11.0302,1164.71,11.0302,1226.95,11.0302,1289.75,11.0302,1353.08
11.1558,195.052,11.1558,350.694,11.1558,494.564,11.1558,566.095,11.1558,628.183,11.1558,687.378,11.1558,745.701,11.1558,803.983,11.1558,862.609,11.1558,921.763,11.1558,981.528,11.1558,1041.93,11.1558,1102.97,11.1558,1164.64,11.1558,1226.89,11.1558,1289.7,11.1558,1353.05
11.2814,195.009,11.2814,348.061,11.2814,493.51,11.2814,565.46,11.2814,627.73,11.2814,687.031,11.2814,745.425,11.2814,803.759,11.2814,862.425,11.2814,921.61,11.2814,981.401,11.2814,1041.83,11.2814,1102.89,11.2814,1164.56,11.2814,1226.83,11.2814,1289.66,11.2814,1353.01
11.407,194.967,11.407,345.625,11.407,492.454,11.407,564.826,11.407,627.277,11.407,686.685,11.407,745.15,11.407,803.536,11.407,862.241,11.407,921.458,11.407,981.274,11.407,1041.72,11.407,1102.8,11.407,1164.49,11.407,1226.77,11.407,1289.61,11.407,1352.98
11.5327,194.925,11.5327,343.37,11.5327,491.396,11.5327,564.191,11.5327,626.825,11.5327,686.339,11.5327,744.876,11.5327,803.313,11.5327,862.058,11.5327,921.306,11.5327,981.148,11.5327,1041.62,11.5327,1102.71,11.5327,1164.42,11.5327,1226.72,11.5327,1289.57,11.5327,1352.94
11.6583,194.884,11.6583,341.28,11.6583,490.335,11.6583,563.556,11.6583,626.372,11.6583,685.993,11.6583,744.601,11.6583,803.09,11.6583,861.875,11.6583,921.155,11.6583,981.022,11.6583,1041.51,11.6583,1102.63,11.6583,1164.35,11.6583,1226.66,11.6583,1289.52,11.6583,1352.91
11.7839,194.845,11.7839,339.341,11.7839,489.271,11.7839,562.921,11.7839,625.921,11.7839,685.648,11.7839,744.327,11.7839,802.868,11.7839,861.692,11.7839,921.003,11.7839,980.897,11.7839,1041.41,11.7839,1102.54,11.7839,1164.28,11.7839,1226.6,11.7839,1289.48,11.7839,1352.87
11.9095,194.805,11.9095,337.538,11.9095,488.206,11.9095,562.286,11.9095,625.469,11.9095,685.303,11.9095,744.054,11.9095,802.646,11.9095,861.51,11.9095,920.853,11.9095,980.771,11.9095,1041.3,11.9095,1102.45,11.9095,1164.21,11.9095,1226.55,11.9095,1289.43,11.9095,1352.84
12.0352,194.767,12.0352,335.857,12.0352,487.138,12.0352,561.651,12.0352,625.018,12.0352,684.959,12.0352,743.781,12.0352,802.425,12.0352,861.328,12.0352,920.702,12.0352,980.646,12.0352,1041.2,12.0352,1102.37,12.0352,1164.14,12.0352,1226.49,12.0352,1289.39,12.0352,1352.8
12.1608,194.729,12.1608,334.286,12.1608,486.069,12.1608,561.016,12.1608,624.567,12.1608,684.615,12.1608,743.508,12.1608,802.204,12.1608,861.147,12.1608,920.551,12.1608,980.521,12.1608,1041.1,12.1608,1102.28,12.1608,1164.07,12.1608,1226.43,12.1608,1289.34,12.1608,1352.77
12.2864,194.693,12.2864,332.814,12.2864,484.998,12.2864,560.382,12.2864,624.117,12.2864,684.271,12.2864,743.236,12.2864,801.983,12.2864,860.965,12.2864,920.401,12.2864,980.397,12.2864,1040.99,12.2864,1102.2,12.2864,1164,12.2864,1226.38,12.2864,1289.3,12.2864,1352.74
12.4121,194.656,12.4121,331.432,12.4121,483.926,12.4121,559.747,12.4121,623.667,12.4121,683.928,12.4121,742.964,12.4121,801.763,12.4121,860.784,12.4121,920.252,12.4121,980.272,12.4121,1040.89,12.4121,1102.11,12.4121,1163.93,12.4121,1226.32,12.4121,1289.25,12.4121,1352.7
12.5377,194.621,12.5377,330.13,12.5377,482.852,12.5377,559.113,12.5377,623.218,12.5377,683.586,12.5377,742.693,12.5377,801.543,12.5377,860.604,12.5377,920.102,12.5377,980.148,12.5377,1040.79,12.5377,1102.03,12.5377,1163.86,12.5377,1226.26,12.5377,1289.21,12.5377,1352.67
12.6633,194.586,12.6633,328.901,12.6633,481.777,12.6633,558.479,12.6633,622.769,12.6633,683.243,12.6633,742.422,12.6633,801.324,12.6633,860.423,12.6633,919.953,12.6633,980.024,12.6633,1040.68,12.6633,1101.94,12.6633,1163.79,12.6633,1226.21,12.6633,1289.17,12.6633,1352.64
12.7889,194.552,12.7889,327.738,12.7889,480.702,12.7889,557.845,12.7889,622.32,12.7889,682.902,12.7889,742.151,12.7889,801.104,12.7889,860.243,12.7889,919.804,12.7889,979.901,12.7889,1040.58,12.7889,1101.86,12.7889,1163.72,12.7889,1226.15,12.7889,1289.12,12.7889,1352.6
12.9146,194.518,12.9146,326.636,12.9146,479.626,12.9146,557.211,12.9146,621.872,12.9146,682.561,12.9146,741.881,12.9146,800.886,12.9146,860.064,12.9146,919.656,12.9146,979.778,12.9146,1040.48,12.9146,1101.77,12.9146,1163.65,12.9146,1226.1,12.9146,1289.08,12.9146,1352.57
13.0402,194.486,13.0402,325.589,13.0402,478.55,13.0402,556.578,13.0402,621.424,13.0402,682.22,13.0402,741.611,13.0402,800.667,13.0402,859.885,13.0402,919.507,13.0402,979.655,13.0402,1040.38,13.0402,1101.69,13.0402,1163.58,13.0402,1226.04,13.0402,1289.04,13.0402,1352.54
13.1658,194.453,13.1658,324.592,13.1658,477.473,13.1658,555.945,13.1658,620.977,13.1658,681.88,13.1658,741.342,13.1658,800.449,13.1658,859.706,13.1658,919.359,13.1658,979.532,13.1658,1040.28,13.1658,1101.61,13.1658,1163.52,13.1658,1225.99,13.1658,1288.99,13.1658,1352.5
13.2915,194.422,13.2915,323.642,13.2915,476.397,13.2915,555.313,13.2915,620.531,13.2915,681.54,13.2915,741.073,13.2915,800.232,13.2915,859.527,13.2915,919.212,13.2915,979.41,13.2915,1040.17,13.2915,1101.52,13.2915,1163.45,13.2915,1225.93,13.2915,1288.95,13.2915,1352.47
13.4171,194.391,13.4171,322.735,13.4171,475.321,13.4171,554.681,13.4171,620.084,13.4171,681.2,13.4171,740.805,13.4171,800.014,13.4171,859.349,13.4171,919.065,13.4171,979.287,13.4171,1040.07,13.4171,1101.44,13.4171,1163.38,13.4171,1225.88,13.4171,1288.91,13.4171,1352.44
13.5427,194.361,13.5427,321.867,13.5427,474.246,13.5427,554.049,13.5427,619.639,13.5427,680.862,13.5427,740.537,13.5427,799.798,13.5427,859.171,13.5427,918.918,13.5427,979.166,13.5427,1039.97,13.5427,1101.36,13.5427,1163.31,13.5427,1225.82,13.5427,1288.86,13.5427,1352.41
13.6683,194.331,13.6683,321.037,13.6683,473.171,13.6683,553.418,13.6683,619.194,13.6683,680.523,13.6683,740.269,13.6683,799.581,13.6683,858.994,13.6683,918.771,13.6683,979.044,13.6683,1039.87,13.6683,1101.27,13.6683,1163.24,13.6683,1225.77,13.6683,1288.82,13.6683,1352.37
13.794,194.302,13.794,320.24,13.794,472.098,13.794,552.787,13.794,618.749,13.794,680.186,13.794,740.002,13.794,799.365,13.794,858.816,13.794,918.624,13.794,978.923,13.794,1039.77,13.794,1101.19,13.794,1163.18,13.794,1225.71,13.794,1288.78,13.794,1352.34
13.9196,194.274,13.9196,319.475,13.9196,471.026,13.9196,552.157,13.9196,618.305,13.9196,679.848,13.9196,739.736,13.9196,799.15,13.9196,858.64,13.9196,918.478,13.9196,978.801,13.9196,1039.67,13.9196,1101.11,13.9196,1163.11,13.9196,1225.66,13.9196,1288.74,13.9196,1352.31
14.0452,194.246,14.0452,318.739,14.0452,469.956,14.0452,551.528,14.0452,617.862,14.0452,679.512,14.0452,739.47,14.0452,798.934,14.0452,858.463,14.0452,918.332,14.0452,978.681,14.0452,1039.57,14.0452,1101.03,14.0452,1163.04,14.0452,1225.61,14.0452,1288.69,14.0452,1352.28
14.1709,194.219,14.1709,318.031,14.1709,468.888,14.1709,550.899,14.1709,617.419,14.1709,679.175,14.1709,739.204,14.1709,798.72,14.1709,858.287,14.1709,918.187,14.1709,978.56,14.1709,1039.47,14.1709,1100.94,14.1709,1162.98,14.1709,1225.55,14.1709,1288.65,14.1709,1352.24
14.2965,194.192,14.2965,317.349,14.2965,467.822,14.2965,550.271,14.2965,616.977,14.2965,678.84,14.2965,738.939,14.2965,798.505,14.2965,858.111,14.2965,918.042,14.2965,978.44,14.2965,1039.37,14.2965,1100.86,14.2965,1162.91,14.2965,1225.5,14.2965,1288.61,14.2965,1352.21
14.4221,194.166,14.4221,316.692,14.4221,466.759,14.4221,549.644,14.4221,616.536,14.4221,678.504,14.4221,738.674,14.4221,798.291,14.4221,857.936,14.4221,917.897,14.4221,978.32,14.4221,1039.27,14.4221,1100.78,14.4221,1162.84,14.4221,1225.45,14.4221,1288.57,14.4221,1352.18
14.5477,194.141,14.5477,316.057,14.5477,465.699,14.5477,549.017,14.5477,616.095,14.5477,678.17,14.5477,738.41,14.5477,798.077,14.5477,857.761,14.5477,917.752,14.5477,978.2,14.5477,1039.17,14.5477,1100.7,14.5477,1162.78,14.5477,1225.39,14.5477,1288.53,14.5477,1352.15
14.6734,194.116,14.6734,315.443,14.6734,464.641,14.6734,548.392,14.6734,615.655,14.6734,677.836,14.6734,738.146,14.6734,797.864,14.6734,857.586,14.6734,917.608,14.6734,978.081,14.6734,1039.07,14.6734,1100.62,14.6734,1162.71,14.6734,1225.34,14.6734,1288.48,14.6734,1352.12
14.799,194.092,14.799,314.85,14.799,463.588,14.799,547.767,14.799,615.215,14.799,677.502,14.799,737.883,14.799,797.651,14.799,857.412,14.799,917.464,14.799,977.962,14.799,1038.98,14.799,1100.54,14.799,1162.64,14.799,1225.29,14.799,1288.44,14.799,1352.09
14.9246,194.068,14.9246,314.276,14.9246,462.537,14.9246,547.143,14.9246,614.776,14.9246,677.169,14.9246,737.62,14.9246,797.439,14.9246,857.238,14.9246,917.321,14.9246,977.843,14.9246,1038.88,14.9246,1100.46,14.9246,1162.58,14.9246,1225.23,14.9246,1288.4,14.9246,1352.06
15.0503,194.045,15.0503,313.72,15.0503,461.492,15.0503,546.52,15.0503,614.338,15.0503,676.837,15.0503,737.357,15.0503,797.227,15.0503,857.064,15.0503,917.177,15.0503,977.724,15.0503,1038.78,15.0503,1100.37,15.0503,1162.51,15.0503,1225.18,15.0503,1288.36,15.0503,1352.03
15.1759,194.022,15.1759,313.181,15.1759,460.45,15.1759,545.898,15.1759,613.901,15.1759,676.505,15.1759,737.095,15.1759,797.015,15.1759,856.891,15.1759,917.034,15.1759,977.606,15.1759,1038.68,15.1759,1100.29,15.1759,1162.45,15.1759,1225.13,15.1759,1288.32,15.1759,1352
15.3015,194,15.3015,312.659,15.3015,459.414,15.3015,545.277,15.3015,613.464,15.3015,676.174,15.3015,736.834,15.3015,796.804,15.3015,856.718,15.3015,916.891,15.3015,977.488,15.3015,1038.58,15.3015,1100.21,15.3015,1162.38,15.3015,1225.08,15.3015,1288.28,15.3015,1351.97
15.4271,193.978,15.4271,312.151,15.4271,458.382,15.4271,544.657,15.4271,613.028,15.4271,675.843,15.4271,736.573,15.4271,796.594,15.4271,856.545,15.4271,916.749,15.4271,977.37,15.4271,1038.49,15.4271,1100.13,15.4271,1162.32,15.4271,1225.02,15.4271,1288.24,15.4271,1351.93
15.5528,193.957,15.5528,311.659,15.5528,457.355,15.5528,544.038,15.5528,612.593,15.5528,675.513,15.5528,736.313,15.5528,796.383,15.5528,856.373,15.5528,916.607,15.5528,977.252,15.5528,1038.39,15.5528,1100.05,15.5528,1162.25,15.5528,1224.97,15.5528,1288.2,15.5528,1351.9
15.6784,193.937,15.6784,311.18,15.6784,456.334,15.6784,543.42,15.6784,612.158,15.6784,675.184,15.6784,736.053,15.6784,796.173,15.6784,856.201,15.6784,916.465,15.6784,977.135,15.6784,1038.29,15.6784,1099.98,15.6784,1162.19,15.6784,1224.92,15.6784,1288.16,15.6784,1351.87
15.804,193.917,15.804,310.715,15.804,455.319,15.804,542.804,15.804,611.724,15.804,674.855,15.804,735.793,15.804,795.964,15.804,856.03,15.804,916.324,15.804,977.018,15.804,1038.2,15.804,1099.9,15.804,1162.12,15.804,1224.87,15.804,1288.12,15.804,1351.84
