T_35,s_35,T_25,s_25,T_15,s_15,T_5,s_5
112.772,1.52032,102.05,1.5634,79.3016,1.62236,14.2839,1.72818
114.849,1.53053,103.847,1.57381,80.6078,1.6331,14.2839,1.73974
116.945,1.54074,105.664,1.58423,81.9507,1.64384,14.2839,1.75129
119.058,1.55096,107.501,1.59464,83.3326,1.65459,15.0954,1.76284
121.191,1.56117,109.361,1.60505,84.7552,1.66533,16.2955,1.7744
123.343,1.57139,111.244,1.61546,86.2208,1.67607,17.6019,1.78595
125.516,1.5816,113.152,1.62588,87.731,1.68682,19.0133,1.79751
127.709,1.59181,115.085,1.63629,89.2877,1.69756,20.528,1.80906
129.925,1.60203,117.046,1.6467,90.8926,1.7083,22.1445,1.82062
132.163,1.61224,119.034,1.65711,92.5473,1.71905,23.8611,1.83217
134.425,1.62245,121.052,1.66753,94.2533,1.72979,25.676,1.84373
136.711,1.63267,123.101,1.67794,96.0121,1.74053,27.5875,1.85528
139.021,1.64288,125.182,1.68835,97.825,1.75128,29.5937,1.86683
141.357,1.65309,127.296,1.69876,99.6933,1.76202,31.6929,1.87839
143.719,1.66331,129.444,1.70918,101.618,1.77276,33.8832,1.88994
146.109,1.67352,131.627,1.71959,103.6,1.78351,36.1628,1.9015
148.526,1.68373,133.848,1.73,105.64,1.79425,38.53,1.91305
150.972,1.69395,136.105,1.74041,107.74,1.80499,40.9831,1.92461
153.447,1.70416,138.402,1.75083,109.899,1.81573,43.5204,1.93616
155.953,1.71437,140.739,1.76124,112.118,1.82648,46.1403,1.94772
158.489,1.72459,143.116,1.77165,114.399,1.83722,48.8411,1.95927
161.058,1.7348,145.535,1.78206,116.741,1.84796,51.6214,1.97083
163.659,1.74501,147.997,1.79248,119.144,1.85871,54.4796,1.98238
166.294,1.75523,150.503,1.80289,121.61,1.86945,57.4143,1.99393
168.962,1.76544,153.052,1.8133,124.138,1.88019,60.4239,2.00549
171.666,1.77565,155.647,1.82371,126.728,1.89094,63.5072,2.01704
174.406,1.78587,158.288,1.83413,129.38,1.90168,66.6629,2.0286
177.182,1.79608,160.976,1.84454,132.095,1.91242,69.8896,2.04015
179.995,1.80629,163.71,1.85495,134.872,1.92317,73.1863,2.05171
182.846,1.81651,166.492,1.86536,137.711,1.93391,76.5517,2.06326
185.735,1.82672,169.323,1.87578,140.613,1.94465,79.9848,2.07482
188.664,1.83693,172.202,1.88619,143.576,1.9554,83.4846,2.08637
191.632,1.84715,175.131,1.8966,146.602,1.96614,87.0501,2.09792
194.641,1.85736,178.109,1.90701,149.689,1.97688,90.6803,2.10948
197.69,1.86757,181.137,1.91743,152.838,1.98762,94.3743,2.12103
200.782,1.87779,184.215,1.92784,156.047,1.99837,98.1312,2.13259
203.915,1.888,187.345,1.93825,159.317,2.00911,101.95,2.14414
207.09,1.89821,190.525,1.94866,162.648,2.01985,105.83,2.1557
210.309,1.90843,193.756,1.95908,166.039,2.0306,109.771,2.16725
213.571,1.91864,197.038,1.96949,169.49,2.04134,113.772,2.17881
216.876,1.92885,200.372,1.9799,173,2.05208,117.832,2.19036
220.226,1.93907,203.758,1.99031,176.57,2.06283,121.95,2.20192
223.621,1.94928,207.195,2.00073,180.198,2.07357,126.127,2.21347
227.06,1.95949,210.684,2.01114,183.885,2.08431,130.36,2.22502
230.545,1.96971,214.225,2.02155,187.629,2.09506,134.651,2.23658
234.075,1.97992,217.818,2.03196,191.432,2.1058,138.998,2.24813
237.65,1.99013,221.463,2.04238,195.291,2.11654,143.4,2.25969
241.272,2.00035,225.16,2.05279,199.208,2.12729,147.858,2.27124
244.94,2.01056,228.909,2.0632,203.181,2.13803,152.37,2.2828
248.654,2.02077,232.71,2.07361,207.211,2.14877,156.937,2.29435
252.415,2.03099,236.562,2.08403,211.296,2.15951,161.558,2.30591
256.223,2.0412,240.467,2.09444,215.437,2.17026,166.232,2.31746
260.078,2.05141,244.423,2.10485,219.633,2.181,170.96,2.32901
263.979,2.06163,248.431,2.11526,223.884,2.19174,175.741,2.34057
267.928,2.07184,252.491,2.12568,228.19,2.20249,180.575,2.35212
271.924,2.08205,256.602,2.13609,232.55,2.21323,185.462,2.36368
275.968,2.09227,260.764,2.1465,236.964,2.22397,190.4,2.37523
280.059,2.10248,264.978,2.15691,241.432,2.23472,195.391,2.38679
284.198,2.11269,269.244,2.16733,245.953,2.24546,200.434,2.39834
288.385,2.12291,273.56,2.17774,250.528,2.2562,205.528,2.4099
292.619,2.13312,277.928,2.18815,255.155,2.26695,210.674,2.42145
296.901,2.14333,282.346,2.19857,259.835,2.27769,215.872,2.433
301.231,2.15355,286.816,2.20898,264.568,2.28843,221.12,2.44456
305.608,2.16376,291.336,2.21939,269.352,2.29918,226.42,2.45611
310.034,2.17397,295.907,2.2298,274.189,2.30992,231.771,2.46767
314.507,2.18419,300.529,2.24022,279.078,2.32066,237.174,2.47922
319.029,2.1944,305.201,2.25063,284.019,2.3314,242.627,2.49078
323.599,2.20461,309.923,2.26104,289.011,2.34215,248.131,2.50233
328.216,2.21483,314.696,2.27145,294.054,2.35289,253.686,2.51389
332.882,2.22504,319.519,2.28187,299.149,2.36363,259.292,2.52544
337.596,2.23525,324.393,2.29228,304.294,2.37438,264.949,2.537
342.357,2.24547,329.316,2.30269,309.491,2.38512,270.656,2.54855
347.167,2.25568,334.289,2.3131,314.739,2.39586,276.415,2.5601
352.025,2.26589,339.313,2.32352,320.037,2.40661,282.225,2.57166
356.931,2.27611,344.386,2.33393,325.386,2.41735,288.086,2.58321
361.886,2.28632,349.509,2.34434,330.785,2.42809,293.998,2.59477
366.888,2.29654,354.682,2.35475,336.235,2.43884,299.961,2.60632
371.939,2.30675,359.905,2.36517,341.736,2.44958,305.976,2.61788
377.038,2.31696,365.177,2.37558,347.287,2.46032,312.042,2.62943
382.185,2.32718,370.5,2.38599,352.888,2.47107,318.159,2.64099
387.38,2.33739,375.871,2.3964,358.54,2.48181,324.328,2.65254
392.624,2.3476,381.293,2.40682,364.242,2.49255,330.549,2.66409
397.916,2.35782,386.764,2.41723,369.995,2.50329,336.822,2.67565
403.257,2.36803,392.285,2.42764,375.797,2.51404,343.146,2.6872
408.645,2.37824,397.855,2.43805,381.651,2.52478,349.523,2.69876
414.083,2.38846,403.475,2.44847,387.554,2.53552,355.952,2.71031
419.568,2.39867,409.145,2.45888,393.508,2.54627,362.434,2.72187
425.103,2.40888,414.865,2.46929,399.513,2.55701,368.968,2.73342
430.686,2.4191,420.634,2.4797,405.568,2.56775,375.555,2.74498
436.317,2.42931,426.453,2.49012,411.674,2.5785,382.196,2.75653
441.997,2.43952,432.322,2.50053,417.83,2.58924,388.889,2.76808
447.727,2.44974,438.24,2.51094,424.037,2.59998,395.636,2.77964
453.504,2.45995,444.209,2.52135,430.295,2.61073,402.437,2.79119
459.331,2.47016,450.227,2.53177,436.604,2.62147,409.292,2.80275
465.207,2.48038,456.296,2.54218,442.964,2.63221,416.201,2.8143
471.132,2.49059,462.415,2.55259,449.375,2.64296,423.164,2.82586
477.106,2.5008,468.584,2.563,455.837,2.6537,430.182,2.83741
483.129,2.51102,474.803,2.57342,462.351,2.66444,437.255,2.84897
489.202,2.52123,481.073,2.58383,468.917,2.67518,444.383,2.86052
495.324,2.53144,487.393,2.59424,475.534,2.68593,451.566,2.87208
501.496,2.54166,493.764,2.60465,482.203,2.69667,458.806,2.88363
507.718,2.55187,500.186,2.61507,488.924,2.70741,466.101,2.89518
513.989,2.56208,506.658,2.62548,495.697,2.71816,473.453,2.90674
520.311,2.5723,513.182,2.63589,502.522,2.7289,480.861,2.91829
526.682,2.58251,519.756,2.6463,509.4,2.73964,488.326,2.92985
533.104,2.59272,526.382,2.65672,516.331,2.75039,495.849,2.9414
539.576,2.60294,533.06,2.66713,523.315,2.76113,503.429,2.95296
546.098,2.61315,539.789,2.67754,530.351,2.77187,511.067,2.96451
552.671,2.62336,546.57,2.68795,537.442,2.78262,518.763,2.97607
559.295,2.63358,553.403,2.69837,544.585,2.79336,526.518,2.98762
565.97,2.64379,560.288,2.70878,551.783,2.8041,534.332,2.99917
572.696,2.654,567.225,2.71919,559.035,2.81485,542.205,3.01073
579.474,2.66422,574.214,2.7296,566.34,2.82559,550.138,3.02228
586.303,2.67443,581.257,2.74002,573.701,2.83633,558.131,3.03384
593.184,2.68464,588.352,2.75043,581.116,2.84707,566.184,3.04539
600.116,2.69486,595.501,2.76084,588.586,2.85782,574.298,3.05695
607.101,2.70507,602.703,2.77125,596.112,2.86856,582.474,3.0685
614.138,2.71528,609.958,2.78167,603.693,2.8793,590.711,3.08006
621.227,2.7255,617.267,2.79208,611.33,2.89005,599.01,3.09161
628.369,2.73571,624.631,2.80249,619.023,2.90079,607.371,3.10316
635.564,2.74592,632.048,2.8129,626.772,2.91153,615.795,3.11472
642.812,2.75614,639.52,2.82332,634.578,2.92228,624.283,3.12627
650.114,2.76635,647.047,2.83373,642.441,2.93302,632.834,3.13783
657.469,2.77656,654.628,2.84414,650.362,2.94376,641.449,3.14938
664.878,2.78678,662.265,2.85455,658.34,2.95451,650.129,3.16094
672.341,2.79699,669.958,2.86497,666.376,2.96525,658.873,3.17249
679.858,2.8072,677.706,2.87538,674.471,2.97599,667.684,3.18405
687.429,2.81742,685.51,2.88579,682.624,2.98674,676.56,3.1956
695.056,2.82763,693.371,2.8962,690.836,2.99748,685.502,3.20716
702.738,2.83784,701.288,2.90662,699.107,3.00822,694.512,3.21871
710.475,2.84806,709.263,2.91703,707.438,3.01896,703.588,3.23026
718.267,2.85827,717.294,2.92744,715.829,3.02971,712.733,3.24182
726.116,2.86848,725.384,2.93785,724.28,3.04045,721.946,3.25337
734.021,2.8787,733.531,2.94827,732.792,3.05119,731.228,3.26493
741.982,2.88891,741.736,2.95868,741.365,3.06194,740.579,3.27648
750,2.89912,750,2.96909,750,3.07268,750,3.28804
